Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,18.5156,18.65625,18.25,18.25,18.25,185600
2000-01-04,18.5,18.5,17.0,17.8125,17.8125,34400
2000-01-05,17.0625,18.1875,16.9375,18.0,18.0,122800
2000-01-06,17.625,18.0625,17.625,18.03125,18.03125,84200
2000-01-07,18.0,18.25,17.5625,17.9375,17.9375,69000
2000-01-10,18.0625,20.5,17.8125,20.5,20.5,282600
2000-01-11,20.125,20.4375,19.25,19.8125,19.8125,107200
2000-01-12,20.3125,20.3125,19.3125,19.59375,19.59375,80400
2000-01-13,19.25,21.4375,19.25,21.0,21.0,101600
2000-01-14,21.4375,22.4375,21.25,21.375,21.375,125000
2000-01-18,22.5,26.0,22.5,26.0,26.0,214400
2000-01-19,25.75,26.0,23.65625,24.375,24.375,105200
2000-01-20,23.53125,24.4375,23.46875,23.5,23.5,53400
2000-01-21,23.5,30.125,23.5,29.4375,29.4375,598600
2000-01-24,30.125,32.5,29.9375,31.375,31.375,585600
2000-01-25,31.5,32.25,28.25,28.75,28.75,342800
2000-01-26,29.875,29.875,28.5,28.875,28.875,100800
2000-01-27,29.25,29.4375,28.5,29.0,29.0,155000
2000-01-28,29.0,29.5,29.0,29.4375,29.4375,109000
2000-01-31,29.3125,29.5,23.8125,29.25,29.25,273200
2000-02-01,27.75,29.0625,27.75,28.75,28.75,120600
2000-02-02,28.53125,29.0,25.875,28.125,28.125,52000
2000-02-03,27.9375,27.9375,25.0,26.75,26.75,169200
2000-02-04,26.875,28.5,25.6875,27.5625,27.5625,50200
2000-02-07,30.1875,31.375,28.4375,29.5625,29.5625,142000
2000-02-08,29.1875,29.5625,28.34375,28.375,28.375,33200
2000-02-09,29.59375,29.6875,26.125,27.375,27.375,30800
2000-02-10,28.90625,30.21875,28.90625,29.4375,29.4375,52200
2000-02-11,29.0625,29.5625,28.4375,29.5,29.5,39400
2000-02-14,29.5,29.9375,28.875,29.25,29.25,20200
2000-02-15,29.25,32.5625,29.25,32.5,32.5,196000
2000-02-16,32.5,37.0625,32.25,35.375,35.375,258800
2000-02-17,35.03125,41.375,34.9375,41.3125,41.3125,378000
2000-02-18,40.28125,41.6875,38.375,40.75,40.75,371200
2000-02-22,39.25,40.5,36.1875,36.9375,36.9375,218000
2000-02-23,36.9375,37.0625,35.375,35.554649,35.554649,129400
2000-02-24,35.5,36.375,35.375,35.625,35.625,79400
2000-02-25,36.4375,40.125,36.3125,37.625,37.625,188200
2000-02-28,37.5,37.6875,35.625,37.0,37.0,233000
2000-02-29,37.5,41.0,36.5,36.96875,36.96875,485000
2000-03-01,34.0625,34.96875,33.03125,33.625,33.625,3240600
2000-03-02,34.0625,34.125,32.25,32.3125,32.3125,291600
2000-03-03,33.375,34.375,32.75,33.875,33.875,565000
2000-03-06,33.9375,34.0625,33.75,34.0625,34.0625,341800
2000-03-07,34.0,34.0,32.0,32.125,32.125,375000
2000-03-08,32.84375,32.875,28.9375,29.5,29.5,610400
2000-03-09,29.75,30.625,29.625,30.625,30.625,755200
2000-03-10,30.75,32.0,30.75,30.75,30.75,316200
2000-03-13,31.0,31.0,26.5,28.3125,28.3125,198200
2000-03-14,28.9375,28.9375,25.375,26.34375,26.34375,366800
2000-03-15,26.375,26.625,21.9375,22.875,22.875,331200
2000-03-16,24.8125,25.5625,22.75,23.0,23.0,252200
2000-03-17,24.125,27.0,23.5,25.75,25.75,223600
2000-03-20,25.78125,27.3125,23.0,23.0,23.0,125600
2000-03-21,22.8125,24.25,20.8125,24.25,24.25,182400
2000-03-22,26.625,27.75,24.46875,27.125,27.125,228200
2000-03-23,27.1875,28.0,25.0,25.3125,25.3125,131200
2000-03-24,25.5,25.5625,24.0625,24.0625,24.0625,81400
2000-03-27,24.53125,24.53125,22.125,22.5625,22.5625,111800
2000-03-28,23.25,25.0625,22.3125,23.0,23.0,90200
2000-03-29,23.3125,23.625,21.5,21.96875,21.96875,85600
2000-03-30,21.25,21.75,18.71875,19.0625,19.0625,379400
2000-03-31,20.125,20.4375,18.4375,20.25,20.25,175200
2000-04-03,19.75,20.4375,18.5,19.125,19.125,208200
2000-04-04,19.15625,19.625,15.875,18.6875,18.6875,437200
2000-04-05,18.625,18.625,17.375,18.125,18.125,160600
2000-04-06,18.625,21.75,18.375,20.75,20.75,380400
2000-04-07,20.8125,21.625,19.5,20.0,20.0,52400
2000-04-10,20.875,21.25,20.0,20.125,20.125,77400
2000-04-11,20.1875,20.1875,18.5,19.4375,19.4375,143400
