Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.65625,9.65625,9.0,9.0,5.711201,134000
2000-01-04,8.875,9.28125,8.875,9.0,5.711201,68200
2000-01-05,9.0,9.25,9.0,9.15625,5.810352,70000
2000-01-06,9.09375,9.5,9.03125,9.46875,6.008659,78600
2000-01-07,9.4375,9.46875,9.25,9.3125,5.909505,71800
2000-01-10,9.34375,9.34375,9.1875,9.28125,5.889678,67000
2000-01-11,9.3125,9.34375,9.25,9.25,5.869845,68200
2000-01-12,9.25,9.3125,9.21875,9.3125,5.909505,93000
2000-01-13,9.3125,9.5,9.25,9.4375,5.98883,94400
2000-01-14,9.5,9.5,9.25,9.25,5.869845,118000
2000-01-18,9.1875,9.1875,8.9375,9.0625,5.7508610000000004,74000
2000-01-19,9.0625,9.21875,9.0,9.09375,5.7706919999999995,106000
2000-01-20,9.125,9.3125,8.875,8.96875,5.691368,77400
2000-01-21,9.03125,9.1875,8.875,9.09375,5.7706919999999995,111200
2000-01-24,9.28125,9.28125,8.9375,8.9375,5.671539,120400
2000-01-25,8.96875,8.96875,8.5625,8.5625,5.433572,67200
2000-01-26,8.59375,8.875,8.5625,8.875,5.6318779999999995,91200
2000-01-27,8.9375,9.09375,8.9375,9.03125,5.731031,83000
2000-01-28,9.03125,9.15625,8.75,8.8125,5.5922160000000005,90800
2000-01-31,8.84375,9.1875,8.84375,9.03125,5.731031,114600
2000-02-01,9.0,9.0,8.65625,8.78125,5.572388,59000
2000-02-02,8.71875,8.9375,8.65625,8.8125,5.5922160000000005,122200
2000-02-03,8.8125,8.875,8.6875,8.8125,5.5922160000000005,61600
2000-02-04,8.78125,8.78125,8.5625,8.6875,5.512894999999999,101400
2000-02-07,8.5625,8.6875,8.5,8.6875,5.512894999999999,62200
2000-02-08,8.78125,8.84375,8.5,8.5625,5.433572,70800
2000-02-09,8.625,8.8125,8.3125,8.4375,5.3542510000000005,98800
2000-02-10,8.40625,8.5,8.21875,8.4375,5.3542510000000005,522200
2000-02-11,8.4375,8.53125,7.96875,8.0,5.0766230000000006,135000
2000-02-14,7.96875,8.25,7.90625,8.21875,5.215436,56200
2000-02-15,8.3125,8.4375,8.15625,8.4375,5.3542510000000005,76200
2000-02-16,8.4375,8.53125,8.125,8.125,5.155946,86000
2000-02-17,8.21875,8.46875,8.1875,8.25,5.235268,82400
2000-02-18,8.28125,8.28125,7.9375,7.96875,5.056792,60400
2000-02-22,7.96875,8.0,7.8125,7.96875,5.056792,123800
2000-02-23,8.03125,8.09375,7.6875,7.875,4.9973,95600
2000-02-24,7.875,7.9375,7.65625,7.6875,4.878316000000001,41400
2000-02-25,7.71875,7.75,7.625,7.65625,4.858485,63600
2000-02-28,7.625,7.78125,7.5,7.65625,4.858485,110800
2000-02-29,7.65625,8.09375,7.53125,7.53125,4.779163,194800
2000-03-01,7.5,7.53125,7.28125,7.28125,4.620519,123200
2000-03-02,7.28125,7.5,7.28125,7.46875,4.739504,156600
2000-03-03,7.4375,7.5625,7.4375,7.5,4.759333,65000
2000-03-06,7.5,8.0,7.5,7.78125,4.937808,179000
2000-03-07,7.84375,7.9531,7.5,7.5,4.759333,222600
2000-03-08,7.875,7.96875,7.875,7.875,4.9973,152400
2000-03-09,7.78125,7.90625,7.6875,7.71875,4.898147,161200
2000-03-10,7.6875,8.0781,7.59375,8.0,5.0766230000000006,167600
2000-03-13,7.8125,8.0,7.65625,7.84375,5.046863,85600
2000-03-14,7.90625,7.9375,7.84375,7.90625,5.087077,139200
2000-03-15,7.90625,8.65625,7.84375,8.625,5.549539,141200
2000-03-16,8.65625,9.28125,8.65625,9.28125,5.971789,368600
2000-03-17,9.125,9.5,9.125,9.46875,6.0924309999999995,267800
2000-03-20,9.46875,9.8125,9.46875,9.8125,6.313608,275800
2000-03-21,9.75,9.875,9.59375,9.875,6.35382,353400
2000-03-22,9.875,10.0,9.40625,9.40625,6.052217,338000
2000-03-23,9.3125,9.40625,9.0,9.34375,6.011998,399200
2000-03-24,9.25,9.5,9.0,9.4375,6.072324,61600
2000-03-27,9.375,9.5,9.09375,9.4375,6.072324,67800
2000-03-28,9.375,9.40625,8.8125,9.15625,5.891359,63800
2000-03-29,9.09375,9.09375,8.90625,8.96875,5.770716,134400
2000-03-30,9.03125,9.5625,9.03125,9.5625,6.15275,83800
2000-03-31,9.65625,10.5625,9.5,10.375,6.675535000000001,418200
2000-04-03,10.1875,10.1875,10.0,10.0,6.434248,172000
2000-04-04,10.0,10.1875,9.75,10.125,6.514676000000001,154400
2000-04-05,10.15625,10.15625,9.65625,9.78125,6.293499,86200
2000-04-06,9.84375,10.0,9.8125,9.9375,6.3940339999999996,99400
2000-04-07,9.9375,10.21875,9.9375,10.15625,6.534785,40200
2000-04-10,10.09375,10.1875,9.90625,9.90625,6.373927,71400
2000-04-11,9.90625,10.1875,9.84375,10.0,6.434248,375200
2000-04-12,10.0625,10.125,9.96875,9.96875,6.414142,295600
2000-04-13,9.96875,10.0,9.65625,9.96875,6.414142,219400
2000-04-14,10.0,10.125,9.90625,9.9375,6.3940339999999996,218800
2000-04-17,9.90625,9.90625,9.65625,9.75,6.273394000000001,81200
2000-04-18,9.75,9.75,9.375,9.46875,6.0924309999999995,173800
2000-04-19,9.53125,9.78125,9.53125,9.75,6.273394000000001,159000
2000-04-20,9.71875,10.0,9.6875,9.96875,6.414142,502200
2000-04-24,9.875,10.3125,9.875,10.28125,6.615213000000001,157200
2000-04-25,10.46875,11.0,10.34375,10.5625,6.7961789999999995,344200
2000-04-26,10.5625,10.625,10.0,10.15625,6.534785,147200
2000-04-27,10.15625,10.8125,10.09375,10.5,6.755961999999999,178400
2000-04-28,10.4375,10.46875,10.125,10.46875,6.735855,65600
2000-05-01,10.40625,10.75,10.40625,10.59375,6.816284,260200
2000-05-02,10.625,10.75,10.5625,10.65625,6.8564940000000005,71400
2000-05-03,10.71875,11.125,10.71875,11.09375,7.137994,355200
2000-05-04,11.0625,11.25,10.6875,10.75,6.9168210000000006,165200
2000-05-05,10.78125,11.25,10.625,10.84375,6.977139,237600
2000-05-08,10.875,11.0,10.78125,11.0,7.077677,86800
2000-05-09,10.9375,11.0,10.6875,11.0,7.077677,196200
2000-05-10,10.9375,10.9375,10.75,10.78125,6.936928,70400
2000-05-11,10.84375,11.0,10.8125,10.96875,7.057567999999999,182400
2000-05-12,10.90625,11.0,10.78125,10.9375,7.037462,75800
2000-05-15,10.90625,10.96875,10.78125,10.96875,7.057567999999999,72600
