Date,Open,High,Low,Close,Adj Close,Volume
2005-08-11,3.25,3.31,3.2,3.24,1.9460810000000002,76671500
2005-08-12,3.25,3.6,3.25,3.586,2.1539029999999997,29113500
2005-08-15,3.55,3.57,3.452,3.46,2.078223,10596500
2005-08-16,3.38,3.46,3.38,3.43,2.060203,5141000
2005-08-17,3.43,3.44,3.36,3.37,2.024164,6423500
2005-08-18,3.39,3.396,3.25,3.27,1.9641,12727000
2005-08-19,3.298,3.338,3.25,3.32,1.994132,3029500
2005-08-22,3.33,3.404,3.282,3.4,2.042184,2909500
2005-08-23,3.5,3.588,3.46,3.512,2.109456,13466000
2005-08-24,3.5,3.55,3.466,3.5,2.102248,3083000
2005-08-25,3.54,3.548,3.48,3.492,2.097444,4667000
2005-08-26,3.51,3.522,3.48,3.494,2.0986439999999997,2704000
2005-08-29,3.38,3.436,3.368,3.4,2.042184,5458000
2005-08-30,3.422,3.478,3.39,3.406,2.045788,2581000
2005-08-31,3.412,3.412,3.322,3.358,2.016957,3004500
2005-09-01,3.37,3.37,3.106,3.25,1.952088,12468500
2005-09-02,3.282,3.316,3.202,3.214,1.930465,5748500
2005-09-06,3.24,3.29,3.234,3.28,1.970107,2726500
2005-09-07,3.282,3.286,3.204,3.238,1.94488,3643500
2005-09-08,3.25,3.304,3.25,3.264,1.9604970000000002,2558500
2005-09-09,3.31,3.32,3.284,3.314,1.990529,2468500
2005-09-12,3.29,3.304,3.202,3.218,1.932867,3300500
2005-09-13,3.224,3.224,3.14,3.176,1.9076400000000002,3798500
2005-09-14,3.15,3.174,3.13,3.144,1.888421,2055500
2005-09-15,3.15,3.162,3.006,3.02,1.81394,6004000
2005-09-16,3.012,3.068,2.91,3.064,1.840368,9555000
2005-09-19,3.05,3.19,3.038,3.1,1.861991,5559000
2005-09-20,3.1,3.206,3.09,3.16,1.8980299999999999,4178000
2005-09-21,3.14,3.14,2.94,3.0,1.801927,8313500
2005-09-22,3.0,3.014,2.9,2.902,1.743064,7184000
2005-09-23,2.9,3.14,2.896,3.118,1.8728029999999998,4830500
2005-09-26,3.12,3.16,3.05,3.1,1.861991,7826500
2005-09-27,3.09,3.112,3.068,3.092,1.857186,4505000
2005-09-28,3.076,3.076,2.996,3.03,1.8199470000000002,3055000
2005-09-29,3.038,3.1,2.964,3.0,1.801927,6141000
2005-09-30,3.01,3.02,2.932,2.962,1.779102,12109000
2005-10-03,2.97,2.97,2.87,2.9,1.7418630000000002,4279000
2005-10-04,2.89,2.9,2.806,2.814,1.6902080000000002,2002000
2005-10-05,2.8,2.8,2.566,2.63,1.57969,10826000
2005-10-06,2.64,2.698,2.62,2.682,1.610922,4121000
2005-10-07,2.76,2.76,2.692,2.7,1.621734,2174500
2005-10-10,2.714,2.728,2.488,2.51,1.5076129999999999,2443000
2005-10-11,2.53,2.53,2.402,2.43,1.459561,3256500
2005-10-12,2.424,2.436,2.36,2.388,1.434334,2545500
2005-10-13,2.386,2.386,2.238,2.26,1.357452,3555000
2005-10-14,2.268,2.5,2.264,2.472,1.484788,7229500
2005-10-17,2.472,2.478,2.42,2.44,1.465568,3007000
2005-10-18,2.44,2.44,2.388,2.4,1.441542,2575000
2005-10-19,2.42,2.452,2.388,2.432,1.4607620000000001,5052000
2005-10-20,2.44,2.618,2.438,2.564,1.5400459999999998,7568500
2005-10-21,2.566,2.614,2.554,2.592,1.556865,4029500
2005-10-24,2.592,2.64,2.592,2.626,1.577287,2160000
2005-10-25,2.646,2.682,2.616,2.64,1.585696,2629500
2005-10-26,2.63,2.67,2.59,2.618,1.572482,2839500
2005-10-27,2.61,2.636,2.59,2.6,1.5616700000000001,810000
2005-10-28,2.64,2.692,2.64,2.67,1.603715,1664500
2005-10-31,2.7,2.798,2.7,2.764,1.6601759999999999,3915000
2005-11-01,2.83,2.85,2.71,2.72,1.633748,2830000
2005-11-02,2.724,2.75,2.65,2.708,1.626539,3455000
2005-11-03,2.68,2.7,2.642,2.66,1.597709,1815000
2005-11-04,2.66,2.756,2.644,2.68,1.6097219999999999,2600500
2005-11-07,2.68,2.762,2.672,2.706,1.625338,1783500
2005-11-08,2.686,2.71,2.664,2.704,1.6241370000000002,1599500
2005-11-09,2.706,2.756,2.692,2.706,1.637449,2294000
2005-11-10,2.72,2.878,2.662,2.75,1.664074,4019000
2005-11-11,2.758,2.83,2.758,2.808,1.6991720000000001,1347500
2005-11-14,2.796,2.84,2.784,2.814,1.7028020000000001,1282500
2005-11-15,2.83,3.01,2.812,2.952,1.7863080000000002,7032000
2005-11-16,3.02,3.1,3.0,3.034,1.8359279999999998,4794000
2005-11-17,3.05,3.176,3.024,3.16,1.912173,8077500
2005-11-18,3.16,3.16,3.03,3.122,1.8891790000000002,3764000
2005-11-21,3.18,3.19,3.132,3.164,1.914595,4266000
2005-11-22,3.164,3.18,3.102,3.146,1.9037009999999999,1920000
2005-11-23,3.15,3.15,3.094,3.1,1.875866,1068000
2005-11-25,3.11,3.134,3.11,3.124,1.8903889999999999,154000
2005-11-28,3.132,3.138,3.07,3.098,1.874656,1477000
2005-11-29,3.116,3.116,3.09,3.1,1.875866,792000
2005-11-30,3.096,3.116,3.078,3.09,1.8698150000000002,1513500
2005-12-01,3.084,3.1,3.018,3.054,1.8480310000000002,3586000
2005-12-02,3.052,3.11,3.03,3.106,1.8794970000000002,3127500
2005-12-05,3.09,3.16,3.06,3.128,1.8928099999999999,3232000
2005-12-06,3.146,3.17,3.134,3.164,1.914595,1503000
2005-12-07,3.17,3.198,3.124,3.124,1.8903889999999999,1762000
2005-12-08,3.124,3.124,3.016,3.024,1.829877,5745000
2005-12-09,3.038,3.06,2.984,3.034,1.8359279999999998,5531500
2005-12-12,3.044,3.074,3.01,3.022,1.8286669999999998,2333500
2005-12-13,3.022,3.05,2.946,2.978,1.802042,3260500
2005-12-14,2.97,2.99,2.938,2.96,1.79115,1973500
2005-12-15,2.95,2.996,2.922,2.994,1.8117240000000001,1495500
2005-12-16,3.016,3.04,3.004,3.02,1.8274569999999999,3498000
2005-12-19,3.02,3.06,2.96,3.05,1.8456099999999998,2893500
2005-12-20,2.96,3.01,2.926,2.994,1.8117240000000001,3497000
2005-12-21,2.996,3.0,2.924,2.952,1.7863080000000002,1900500
2005-12-22,2.952,3.074,2.952,3.068,1.856502,2252000
2005-12-23,3.03,3.08,3.03,3.046,1.84319,1622000
2005-12-27,3.056,3.098,3.05,3.06,1.851661,2007500
2005-12-28,3.056,3.058,2.986,3.05,1.8456099999999998,4846500
2005-12-29,3.06,3.088,3.05,3.066,1.8552919999999997,1294000
2005-12-30,3.066,3.086,3.038,3.05,1.8456099999999998,741000
2006-01-03,3.05,3.08,3.02,3.06,1.851661,2272500
2006-01-04,3.06,3.14,3.06,3.112,1.883127,2567500
2006-01-05,3.12,3.248,3.114,3.23,1.9545310000000002,5217500
2006-01-06,3.22,3.22,3.16,3.204,1.938798,5087000
2006-01-09,3.204,3.32,3.204,3.28,1.984788,3454500
2006-01-10,3.246,3.296,3.224,3.29,1.990838,2359500
2006-01-11,3.29,3.29,3.24,3.258,1.971475,2560500
2006-01-12,3.25,3.316,3.23,3.26,1.9726849999999998,2819000
2006-01-13,3.262,3.284,3.254,3.274,1.9811560000000001,1849000
2006-01-17,3.244,3.268,3.172,3.256,1.9702650000000002,2442500
2006-01-18,3.24,3.318,3.21,3.316,2.0065720000000002,1538500
2006-01-19,3.32,3.322,3.268,3.306,2.00052,1172500
2006-01-20,3.312,3.318,3.178,3.19,1.9303259999999998,1943500
2006-01-23,3.194,3.276,3.192,3.246,1.9642130000000002,1171000
2006-01-24,3.25,3.324,3.24,3.298,1.99568,3657000
2006-01-25,3.3,3.308,3.22,3.26,1.9726849999999998,11327500
2006-01-26,3.266,3.366,3.266,3.352,2.028355,2149500
2006-01-27,3.35,3.42,3.342,3.404,2.059822,1289500
2006-01-30,3.4,3.45,3.354,3.38,2.045299,1613500
2006-01-31,3.38,3.424,3.37,3.402,2.058612,2094500
2006-02-01,3.384,3.384,3.35,3.356,2.030777,2454500
2006-02-02,3.344,3.356,3.266,3.3,1.99689,7376500
2006-02-03,3.296,3.38,3.276,3.376,2.042879,2558000
2006-02-06,3.376,3.418,3.37,3.416,2.0670830000000002,2713000
2006-02-07,3.418,3.418,3.376,3.388,2.0501400000000003,2793000
2006-02-08,3.386,3.462,3.37,3.448,2.086447,2350000
2006-02-09,3.446,3.558,3.44,3.5,2.117913,1597500
2006-02-10,3.5,3.516,3.47,3.47,2.099759,2953000
2006-02-13,3.468,3.468,3.408,3.408,2.062243,1087500
2006-02-14,3.4,3.484,3.364,3.476,2.10339,1291000
2006-02-15,3.474,3.52,3.42,3.496,2.115493,955000
2006-02-16,3.494,3.52,3.446,3.47,2.099759,1903500
2006-02-17,3.494,3.51,3.442,3.464,2.096129,1560000
2006-02-21,3.456,3.456,3.368,3.412,2.064664,2890000
2006-02-22,3.418,3.548,3.406,3.542,2.143328,2073500
2006-02-23,3.53,3.58,3.498,3.566,2.157852,904500
2006-02-24,3.38,3.838,3.376,3.69,2.232886,4643000
2006-02-27,3.678,3.678,3.488,3.594,2.174794,3970000
2006-02-28,3.58,3.59,3.5,3.524,2.132437,1863500
2006-03-01,3.53,3.592,3.488,3.552,2.14938,2538500
2006-03-02,3.56,3.596,3.474,3.48,2.117736,4221000
2006-03-03,3.47,3.48,3.438,3.46,2.1055639999999998,5297000
2006-03-06,3.44,3.45,3.35,3.398,2.067834,2579500
2006-03-07,3.38,3.404,3.372,3.392,2.064184,1487000
2006-03-08,3.382,3.392,3.346,3.376,2.054447,1638000
2006-03-09,3.376,3.39,3.336,3.338,2.0313220000000003,563500
2006-03-10,3.344,3.388,3.33,3.372,2.052013,2066000
2006-03-13,3.38,3.38,3.342,3.36,2.04471,1571000
2006-03-14,3.35,3.376,3.34,3.37,2.050795,1968000
2006-03-15,3.37,3.404,3.328,3.338,2.0313220000000003,2505000
2006-03-16,3.348,3.358,3.304,3.32,2.020367,1293000
2006-03-17,3.33,3.38,3.328,3.37,2.050795,3242500
2006-03-20,3.37,3.374,3.324,3.34,2.032539,1892500
2006-03-21,3.338,3.338,3.23,3.256,1.981422,1888000
2006-03-22,3.248,3.366,3.236,3.364,2.047144,1547000
2006-03-23,3.362,3.412,3.338,3.374,2.053229,806000
2006-03-24,3.382,3.41,3.346,3.4,2.069052,977500
2006-03-27,3.398,3.41,3.37,3.372,2.052013,414500
2006-03-28,3.36,3.362,3.3,3.312,2.0155,2245000
