Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.125,19.125,18.125,19.0,6.405661,297800
2000-01-04,18.8125,18.875,18.5625,18.875,6.363518,621800
2000-01-05,18.8125,19.0625,18.75,18.9375,6.384593,439900
2000-01-06,18.875,19.5,18.875,19.375,6.532092,593400
2000-01-07,19.4375,20.0,19.375,19.75,6.658517,334800
2000-01-10,19.875,19.9375,19.625,19.875,6.7006619999999995,278200
2000-01-11,20.125,20.125,19.6875,19.6875,6.637446000000001,243100
2000-01-12,19.75,19.8125,19.5,19.5,6.574231,151100
2000-01-13,19.6875,19.6875,19.5,19.5625,6.595306,134700
2000-01-14,19.5625,19.6875,19.4375,19.5,6.574231,246200
2000-01-18,19.375,19.6875,19.375,19.625,6.616374,235600
2000-01-19,19.6875,19.875,19.5625,19.875,6.7006619999999995,350100
2000-01-20,19.875,19.9375,19.5625,19.875,6.7006619999999995,161400
2000-01-21,19.875,20.75,19.625,20.5,6.911372999999999,325700
2000-01-24,20.5,20.5625,20.0,20.0,6.742805000000001,226200
2000-01-25,20.0,20.125,19.8125,20.0625,6.763875,257700
2000-01-26,20.0,20.0,19.625,19.8125,6.679591,272900
2000-01-27,19.75,19.8125,19.5,19.625,6.616374,227100
2000-01-28,19.6875,19.75,19.5,19.6875,6.637446000000001,169000
2000-01-31,19.8125,20.0625,19.625,19.8125,6.679591,183000
2000-02-01,19.8125,20.0625,19.8125,20.0,6.742805000000001,150100
2000-02-02,20.1875,20.375,20.0,20.0625,6.763875,263100
2000-02-03,19.9375,20.375,19.9375,20.25,6.827089,116700
2000-02-04,20.0625,20.1875,20.0,20.125,6.784946000000001,113500
2000-02-07,19.875,20.25,19.875,20.125,6.784946000000001,248900
2000-02-08,20.1875,20.25,20.125,20.125,6.784946000000001,208100
2000-02-09,19.9375,20.0,19.6875,19.75,6.790103,294600
2000-02-10,19.5,19.6875,19.5,19.5625,6.725639999999999,201600
2000-02-11,19.5625,20.0625,19.5,19.5,6.70415,5817900
2000-02-14,18.5,19.375,18.5,19.125,6.575224,336100
2000-02-15,19.3125,19.375,18.75,18.9375,6.510762000000001,431100
2000-02-16,19.125,19.5,19.0,19.1875,6.596711,140700
2000-02-17,19.25,19.8125,19.125,19.3125,6.6396880000000005,212000
