Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,23.0625,23.25,21.0625,22.375,11.176048,440100
2000-01-04,21.875,22.25,21.5625,21.625,10.801434,529100
2000-01-05,21.8125,22.1875,21.3125,21.375,10.676559,362400
2000-01-06,21.625,21.625,20.8125,21.125,10.551689,491100
2000-01-07,21.4375,22.375,21.0625,22.125,11.051177000000001,357000
2000-01-10,21.875,22.1875,21.8125,21.9375,10.957524000000001,270200
2000-01-11,21.875,22.625,21.875,22.5625,11.269698,478700
2000-01-12,22.3125,22.5,21.0625,21.5625,10.770211999999999,333100
2000-01-13,21.5,21.5625,20.0,20.3125,10.145849,822600
2000-01-14,20.75,21.25,20.1875,21.25,10.614124,759200
2000-01-18,21.1875,21.5625,20.875,21.0625,10.520472,433200
2000-01-19,21.0,21.6875,20.9375,21.1875,10.582904,366200
2000-01-20,21.3125,21.5,20.625,20.6875,10.333164,268600
2000-01-21,21.0625,21.125,20.25,20.4375,10.208287,406600
2000-01-24,20.375,20.5,19.875,19.875,9.927325,710800
2000-01-25,20.25,23.375,20.125,21.25,10.614124,1474900
2000-01-26,21.125,21.375,20.1875,21.25,10.614124,877900
2000-01-27,21.4375,22.375,21.0625,21.4375,10.707775,1049800
2000-01-28,21.5,21.75,21.25,21.5625,10.770211999999999,762300
2000-01-31,21.5625,21.625,20.875,21.5,10.738995,358900
2000-02-01,21.3125,21.3125,20.625,21.0,10.489247,788700
2000-02-02,20.75,21.625,20.75,21.5,10.738995,595900
2000-02-03,22.25,22.25,21.25,21.75,10.863868,530600
2000-02-04,21.9375,22.0,21.3125,21.625,10.801434,445700
2000-02-07,21.375,21.4375,21.0625,21.3125,10.645341,211900
2000-02-08,21.5,22.0625,21.3125,22.0625,11.019958,349700
2000-02-09,21.625,21.6875,21.125,21.5,10.738995,494500
2000-02-10,21.625,22.1875,21.4375,21.9375,10.957524000000001,581700
2000-02-11,22.5,22.875,21.875,22.1875,11.08239,863500
2000-02-14,22.8125,22.8125,21.875,22.0,10.988741000000001,366100
2000-02-15,21.9375,22.3125,21.625,21.9375,10.957524000000001,455800
2000-02-16,21.9375,22.0625,21.5,21.75,10.863868,424000
2000-02-17,21.6875,21.875,21.5,21.75,10.863868,426500
2000-02-18,22.0,22.125,21.3125,21.3125,10.690809,590400
2000-02-22,20.9375,21.25,20.5625,21.1875,10.628105,423700
2000-02-23,20.9375,22.0,20.9375,21.75,10.910267,378300
2000-02-24,21.8125,22.0,20.4375,21.9375,11.004322,508300
2000-02-25,21.9375,21.9375,21.0,21.375,10.722159,425700
2000-02-28,21.0,21.1875,20.625,21.1875,10.628105,460900
2000-02-29,21.1875,21.625,20.9375,21.1875,10.628105,312200
2000-03-01,21.25,21.25,20.875,21.0625,10.565405,273400
2000-03-02,21.25,21.375,20.625,21.125,10.596756,1622000
2000-03-03,20.75,21.8125,20.6875,21.0,10.534047,418000
2000-03-06,20.75,21.25,20.4375,21.0625,10.565405,374300
2000-03-07,20.8125,21.375,20.625,20.8125,10.440000999999999,507800
2000-03-08,20.5625,21.0,20.375,20.9375,10.502701,328200
2000-03-09,21.0,21.9375,20.8125,21.4375,10.753509,553100
2000-03-10,21.125,22.125,21.0625,22.0625,11.067024,361800
2000-03-13,21.5625,22.0625,21.375,22.0,11.035672,548600
2000-03-14,21.75,22.0,21.5,21.5625,10.816212,309900
2000-03-15,21.3125,22.25,21.125,22.1875,11.129722000000001,505400
2000-03-16,22.875,24.375,22.625,24.3125,12.19567,644800
2000-03-17,22.0,24.1875,22.0,24.0,12.038916,873600
2000-03-20,23.75,23.875,22.1875,22.75,11.411886,446600
2000-03-21,23.0,23.0625,22.25,22.875,11.474592,334700
2000-03-22,23.3125,23.3125,22.25,23.125,11.599996,395600
2000-03-23,22.875,24.0625,22.5625,24.0,12.038916,447600
2000-03-24,24.0,24.375,23.6875,24.25,12.164325,485100
2000-03-27,24.25,24.9375,24.25,24.75,12.415131,387300
2000-03-28,25.0,25.5,24.9375,24.9375,12.509189,421900
2000-03-29,24.6875,25.0,24.0,24.25,12.164325,567900
2000-03-30,24.25,24.875,24.1875,24.6875,12.383782,352800
2000-03-31,25.0,25.4375,24.5625,25.25,12.665939,405200
2000-04-03,25.3125,26.0,25.0,26.0,13.042159,455700
2000-04-04,25.875,26.5,25.5,25.75,12.916753,470200
2000-04-05,25.875,26.25,25.1875,25.9375,13.010803999999998,337300
2000-04-06,25.6875,27.1875,25.6875,27.0625,13.57513,359300
2000-04-07,27.25,29.6875,26.25,28.3125,14.202154,593200
2000-04-10,28.125,28.125,27.4375,27.6875,13.888642,219800
2000-04-11,27.5625,28.6875,27.125,28.0625,14.076754999999999,316100
2000-04-12,28.0625,29.25,27.1875,28.625,14.358916,409200
2000-04-13,28.5,28.5,26.8125,27.0625,13.57513,475400
2000-04-14,27.125,27.125,25.5,26.4375,13.261617999999999,751700
2000-04-17,26.1875,26.375,25.75,25.9375,13.010803999999998,920100
2000-04-18,25.9375,26.0625,25.3125,25.5,12.791348,1130700
2000-04-19,25.5,25.625,24.6875,24.6875,12.383782,804000
2000-04-20,24.8125,25.75,24.75,25.5625,12.822697999999999,479000
2000-04-24,25.3125,25.9375,25.125,25.3125,12.697291,331300
2000-04-25,25.4375,26.875,25.1875,26.4375,13.261617999999999,525500
2000-04-26,26.1875,26.25,25.0625,25.125,12.60324,547900
2000-04-27,24.9375,25.0,24.0,24.75,12.415131,468800
2000-04-28,24.75,24.75,24.375,24.375,12.227022,272600
2000-05-01,24.4375,25.375,24.4375,25.0,12.540536,433100
2000-05-02,24.9375,25.125,24.6875,24.75,12.415131,542700
2000-05-03,24.75,24.8125,24.0625,24.625,12.352428999999999,686500
2000-05-04,24.5625,25.625,24.5625,24.875,12.477836,644000
2000-05-05,24.9375,25.5625,24.9375,25.0625,12.571885,268800
2000-05-08,25.0,25.5625,24.5625,24.9375,12.509189,332500
2000-05-09,24.9375,25.25,24.375,24.5,12.289727000000001,550100
2000-05-10,24.5625,24.5625,23.375,23.8125,11.944861,474900
2000-05-11,23.875,24.3125,23.5,24.125,12.10162,516900
2000-05-12,24.1875,24.75,23.75,24.375,12.227022,273700
2000-05-15,24.625,25.0625,24.625,24.8125,12.446482000000001,192500
2000-05-16,24.875,25.4375,24.8125,24.8125,12.446482000000001,399300
2000-05-17,24.75,24.9375,24.5625,24.625,12.352428999999999,395200
2000-05-18,24.625,25.6875,24.625,25.0,12.540536,409800
2000-05-19,24.5625,25.0,24.5625,24.875,12.477836,300400
2000-05-22,24.875,25.0625,24.5625,24.625,12.352428999999999,262900
2000-05-23,24.5,25.875,24.375,25.6875,12.933983999999999,483800
2000-05-24,25.6875,26.75,25.5,25.8125,12.996922,777600
2000-05-25,26.0625,26.5,26.0,26.125,13.154272,281800
2000-05-26,26.75,27.25,26.5,26.9375,13.563375,526800
2000-05-30,26.75,27.375,26.6875,27.3125,13.752195,319500
2000-05-31,27.3125,27.875,27.125,27.6875,13.94101,315600
2000-06-01,27.625,28.0625,27.5,27.625,13.909537,457400
2000-06-02,27.6875,28.375,27.5625,28.0625,14.129832,397500
2000-06-05,27.8125,28.4375,27.6875,28.0625,14.129832,275900
2000-06-06,27.8125,27.875,27.375,27.75,13.972479000000002,169300
2000-06-07,27.625,28.125,27.5625,28.0,14.098359,384600
2000-06-08,28.0625,28.25,27.75,27.875,14.035420000000002,205100
2000-06-09,27.75,28.0625,27.3125,27.875,14.035420000000002,173600
2000-06-12,28.125,28.125,26.875,27.0,13.594851,160400
2000-06-13,26.9375,27.375,26.75,27.0625,13.626313,126000
