Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,17.25,17.3125,16.5,16.9375,7.403275999999999,917400
2000-01-04,16.75,17.0625,16.5625,16.8125,7.348642,890600
2000-01-05,16.8125,17.875,16.8125,17.625,7.703778,1035200
2000-01-06,17.4375,18.0,17.1875,17.65625,7.717439,874200
2000-01-07,17.6875,18.6875,17.5,17.65625,7.717439,2686600
2000-01-10,18.40625,18.84375,18.28125,18.71875,8.181848,1020400
2000-01-11,18.625,18.84375,18.5625,18.59375,8.127213000000001,974400
2000-01-12,18.5,18.9375,18.40625,18.75,8.195511999999999,1382200
2000-01-13,18.84375,19.40625,18.6875,19.3125,8.441372,1100600
2000-01-14,19.1875,19.5,19.03125,19.25,8.414056,1040000
2000-01-18,19.125,19.21875,18.625,18.84375,8.236483,906800
2000-01-19,18.90625,19.28125,18.84375,19.1875,8.386736,1042800
2000-01-20,19.0625,19.09375,18.625,18.90625,8.263803,961400
2000-01-21,19.125,19.53125,18.78125,19.4375,8.49601,3596200
2000-01-24,19.4375,20.5,19.375,20.3125,8.878467,2606000
2000-01-25,20.28125,20.28125,19.84375,20.0,8.741874000000001,2527600
2000-01-26,19.9375,20.5625,19.71875,20.4375,8.933100999999999,1538000
2000-01-27,20.5,21.09375,20.46875,21.0,9.178968,9224200
2000-01-28,20.90625,21.25,20.59375,20.59375,9.001402,3436000
2000-01-31,20.625,20.875,20.28125,20.875,9.124333,2972200
2000-02-01,20.8125,21.0625,20.60935,20.78125,9.083357000000001,2746000
2000-02-02,20.78125,21.15625,20.75,20.84375,9.110675,1080000
2000-02-03,20.96875,21.84375,20.96875,21.75,9.506793,1765400
2000-02-04,21.71875,21.75,21.46875,21.5,9.397516,5839000
2000-02-07,21.3125,21.4375,21.0,21.0,9.178968,1156000
2000-02-08,21.03125,21.25,21.03125,21.1875,9.260928,1108200
2000-02-09,21.1875,21.46875,21.15625,21.25,9.288243,4433000
2000-02-10,21.125,21.25,20.96875,20.96875,9.165313000000001,2660600
2000-02-11,20.90625,21.0,20.59375,20.625,9.015058999999999,1441600
2000-02-14,20.625,20.75,20.40625,20.59375,9.001402,3236600
2000-02-15,20.5,20.65625,20.34375,20.4375,8.933100999999999,1908800
2000-02-16,20.25,20.46875,20.0625,20.375,8.905783999999999,2052800
2000-02-17,20.125,20.53125,20.0625,20.125,8.796512,1335200
2000-02-18,20.03125,20.15625,19.71875,19.78125,8.646262,973200
2000-02-22,19.8125,20.1875,19.8125,19.90625,8.700897,1546200
2000-02-23,19.78125,20.3125,19.78125,20.1875,8.936055999999999,2460600
2000-02-24,20.1875,20.1875,18.8125,19.0,8.410406,1995800
2000-02-25,19.28125,19.28125,19.0,19.28125,8.534905,1486000
2000-02-28,19.28125,19.90625,19.0625,19.65625,8.700899,887200
2000-02-29,19.53125,19.53125,18.65625,18.65625,8.258247,1613800
2000-03-01,19.25,19.28125,18.75,18.875,8.355075999999999,1197800
2000-03-02,18.875,19.5,18.8125,19.5,8.631736,1188600
2000-03-03,19.8125,19.90625,19.53125,19.75,8.742397,2300600
2000-03-06,19.75,19.875,19.3125,19.375,8.576404,2042000
2000-03-07,19.375,19.59375,18.84375,18.875,8.355075999999999,2483200
2000-03-08,19.0,19.375,19.0,19.09375,8.451908999999999,1318800
2000-03-09,18.96875,19.21875,18.90625,19.15625,8.479571,1543800
2000-03-10,19.03125,19.21875,18.9375,19.125,8.465736999999999,758800
2000-03-13,19.03125,19.125,18.90625,19.0625,8.438072,626600
2000-03-14,18.8125,18.96875,18.5,18.65625,8.258247,1466400
2000-03-15,18.5625,19.34375,18.53125,19.3125,8.548735,1899800
2000-03-16,19.3125,20.375,19.3125,20.03125,8.866892,1312000
2000-03-17,20.0625,20.125,19.1875,19.25,8.52107,1210200
2000-03-20,19.125,19.59375,19.09375,19.21875,8.507237,872200
2000-03-21,19.125,19.59375,19.0625,19.375,8.576404,1362000
2000-03-22,19.375,19.375,18.75,18.875,8.355075999999999,1228800
2000-03-23,18.75,18.875,18.59375,18.71875,8.285910000000001,1411000
2000-03-24,18.75,19.03125,18.65625,19.0,8.410406,1105200
2000-03-27,18.8125,19.34375,18.65625,18.65625,8.258247,1122400
2000-03-28,18.5,18.6875,17.96875,18.34375,8.119916,1279000
2000-03-29,18.28125,18.59375,18.25,18.59375,8.230578999999999,1591200
2000-03-30,18.75,18.78125,18.5,18.5625,8.216746,975000
2000-03-31,18.5625,18.9375,18.1875,18.4375,8.161413,2352600
2000-04-03,18.625,18.78125,18.28125,18.46875,8.175249,656000
2000-04-04,18.59375,19.6875,18.59375,19.6875,8.71473,2341000
2000-04-05,19.8125,21.0,19.8125,20.28125,8.977559,2886000
2000-04-06,20.21875,20.53125,19.625,19.8125,8.770062,1463200
2000-04-07,19.75,20.125,19.6875,19.84375,8.783895,911800
2000-04-10,19.875,20.84375,19.84375,20.6875,9.157380999999999,1412200
2000-04-11,20.71875,21.34375,20.6875,20.84375,9.226552,1971200
2000-04-12,20.9375,21.75,20.78125,21.25,9.406375,1775200
2000-04-13,21.625,22.3125,21.34375,21.78125,9.641536,1546000
2000-04-14,21.6875,22.46875,20.8125,21.48435,9.510114,1809600
2000-04-17,20.90625,21.3125,20.09375,21.0,9.295712,1407000
2000-04-18,21.0,21.5625,20.375,20.46875,9.060555,1076800
2000-04-19,20.34375,20.5,19.875,20.34375,9.005219,678800
2000-04-20,20.21875,20.875,20.21875,20.8125,9.212716,841200
2000-04-24,20.9375,21.46875,20.8125,21.0,9.295712,674200
2000-04-25,21.4375,21.6875,20.9375,21.59375,9.558542,1255200
2000-04-26,21.5,22.09375,21.40625,21.8125,9.655368,602000
2000-04-27,21.9375,21.9375,21.15625,21.53125,9.530873,1088600
2000-04-28,21.5625,21.5625,20.84375,20.84375,9.226552,950200
2000-05-01,20.65625,21.09375,20.625,20.875,9.240383,548200
2000-05-02,20.875,21.0625,20.3125,20.34375,9.005219,1130200
2000-05-03,20.5625,20.78125,20.375,20.78125,9.198886,1780400
2000-05-04,20.78125,21.8125,20.78125,21.28125,9.420206,969400
2000-05-05,21.25,21.53125,20.90625,21.5,9.517038000000001,1035400
2000-05-08,21.5,22.46875,21.5,21.625,9.572371,1453400
2000-05-09,22.0,22.03125,21.59375,21.875,9.683038,905800
2000-05-10,22.03125,22.6875,21.90625,22.375,9.904361,1578400
2000-05-11,22.28125,22.875,22.1875,22.75,10.070355000000001,1430200
2000-05-12,22.5625,22.625,22.0,22.3125,9.876694,1084600
2000-05-15,22.21875,22.875,22.21875,22.40625,9.918197,883000
2000-05-16,22.53125,22.53125,21.71875,22.3125,9.876694,1082400
2000-05-17,22.5,22.5,21.4375,21.625,9.572371,1168200
2000-05-18,21.625,22.15625,21.625,21.625,9.572371,851200
2000-05-19,21.5625,21.96875,21.40625,21.71875,9.613873,741800
2000-05-22,22.0625,22.84375,22.0625,22.59375,10.001194,1588000
2000-05-23,22.53125,22.875,22.4375,22.59375,10.001194,1302200
2000-05-24,22.5,23.40625,22.5,23.0,10.181021000000001,2012800
2000-05-25,22.8125,22.90625,22.375,22.59375,10.111094,2232400
2000-05-26,22.625,23.03125,22.53125,22.59375,10.111094,464400
2000-05-30,22.625,22.6875,22.0,22.125,9.901323,1290400
2000-05-31,22.0625,22.46875,21.96875,21.96875,9.831403,1601600
2000-06-01,21.84375,21.90625,21.5,21.8125,9.761471,2007800
2000-06-02,21.6875,21.84375,21.40625,21.75,9.733504,1820400
2000-06-05,21.5625,21.6875,20.84375,21.0625,9.425837,1017000
2000-06-06,21.125,21.71875,21.0625,21.25,9.509742,798600
2000-06-07,21.15625,21.3125,20.875,20.90625,9.355909,1052200
2000-06-08,20.78125,21.5625,20.75,21.40625,9.579664999999999,1240400
2000-06-09,21.28125,22.1875,21.25,22.15625,9.915303999999999,1689200
2000-06-12,22.03125,22.46875,22.03125,22.2031,9.936273,1050600
2000-06-13,22.09375,22.6875,22.0,22.09375,9.887336999999999,1183400
2000-06-14,22.0625,22.09375,21.375,21.5,9.621619,1727200
2000-06-15,21.5,21.8125,21.25,21.53125,9.635609,1704200
2000-06-16,21.5625,21.96875,21.21875,21.5625,9.649595,3756000
2000-06-19,21.71875,21.78125,21.1875,21.40625,9.579664999999999,2228200
2000-06-20,20.9375,21.375,20.90625,21.21875,9.49576,843200
2000-06-21,21.21875,21.75,21.1875,21.1875,9.481775,1571800
2000-06-22,21.1875,21.3125,20.75,21.0625,9.425837,1037800
2000-06-23,21.125,21.40625,21.0,21.15625,9.467789,984000
2000-06-26,21.1875,21.5625,21.125,21.375,9.565682,904400
2000-06-27,21.25,21.34375,20.59375,20.59375,9.216063,856800
2000-06-28,20.71875,21.53125,20.28125,21.35935,9.558682000000001,1118600
2000-06-29,21.625,21.6875,20.84375,21.0625,9.425837,1056400
2000-06-30,20.9375,21.40625,20.125,20.15625,9.020275,2791800
2000-07-03,20.28125,21.15625,20.28125,20.8125,9.313955,901000
2000-07-05,20.9375,21.25,20.25,20.3125,9.090196,858400
2000-07-06,20.5625,20.8125,20.46875,20.5625,9.202073,546200
2000-07-07,20.5625,20.78125,20.5625,20.625,9.230045,686200
2000-07-10,20.625,21.25,20.625,21.0,9.397864,837400
2000-07-11,21.0,21.625,20.84375,21.5625,9.649595,1247800
2000-07-12,21.5625,21.59375,21.15625,21.34375,9.551697,827200
2000-07-13,21.1875,21.5,21.0625,21.5,9.621619,687400
2000-07-14,21.3125,21.8125,21.21875,21.34375,9.551697,820000
2000-07-17,21.28125,22.03125,21.28125,21.90625,9.803425,1140400
2000-07-18,22.0,22.25,21.78125,22.0625,9.873351,1111400
2000-07-19,22.1875,22.5,22.0625,22.28125,9.971246,894800
2000-07-20,22.34375,22.4375,21.65625,21.75,9.733504,1442800
2000-07-21,21.9375,22.25,21.875,22.0,9.84538,934600
2000-07-24,22.03125,22.0625,21.65625,21.75,9.733504,978400
2000-07-25,21.625,22.0625,21.625,21.90625,9.803425,1351000
2000-07-26,21.90625,21.90625,21.40625,21.445299,9.597142,1072200
2000-07-27,21.5625,21.9375,21.5,21.8125,9.761471,543600
2000-07-28,21.8125,22.0625,21.65625,21.75,9.733504,1372400
2000-07-31,21.5,21.96875,21.3125,21.34375,9.551697,1482400
2000-08-01,21.375,22.0,21.375,21.90625,9.803425,1007000
2000-08-02,21.78125,22.09375,21.78125,21.96875,9.831403,1669800
2000-08-03,22.1875,22.9375,22.125,22.570299,10.100597,1519200
2000-08-04,22.4375,23.0,22.125,23.0,10.292899,1406600
2000-08-07,22.84375,23.65625,22.6875,23.601549,10.562104,1372200
2000-08-08,23.71875,23.71875,23.28125,23.53125,10.530646,990000
2000-08-09,23.40625,23.5625,23.21875,23.34375,10.446735,1030600
2000-08-10,23.375,23.46875,23.09375,23.226549,10.394285,467200
2000-08-11,23.3125,23.8125,23.25,23.664049,10.590072,1130800
2000-08-14,23.625,24.40625,23.5625,24.03125,10.754399000000001,1744400
2000-08-15,24.0625,24.875,23.90625,24.46875,10.950191,1159400
2000-08-16,24.125,24.6875,24.125,24.25,10.852297,980800
2000-08-17,24.59375,24.59375,24.15625,24.375,10.908237,1431800
2000-08-18,24.375,24.5,24.25,24.34375,10.894244,649600
2000-08-21,24.25,24.3125,24.03125,24.1875,10.824325,733200
2000-08-22,24.3125,24.40625,24.21875,24.28125,10.86628,1113200
2000-08-23,24.21875,24.625,24.21875,24.5,10.964177000000001,967600
2000-08-24,24.5625,24.5625,24.1875,24.21875,10.838308999999999,741000
2000-08-25,24.25,24.25,23.8125,23.90625,10.698462,624800
2000-08-28,23.65625,24.34375,23.65625,24.3125,10.995252,3177200
2000-08-29,24.28125,24.28125,23.84375,23.875,10.797394,2940000
2000-08-30,23.96875,24.09375,23.8125,24.0,10.853921000000001,2260200
2000-08-31,23.875,24.28125,23.875,24.101549,10.899844,2822200
2000-09-01,24.0625,24.3125,24.03125,24.15625,10.924581,415600
