Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.53125,10.71875,10.375,10.59375,5.8372910000000005,1455000
2000-01-04,10.46875,10.5,9.96875,10.0,5.510127,1618200
2000-01-05,10.03125,10.40625,10.03125,10.375,5.716755,1535600
2000-01-06,10.375,10.46875,9.90625,10.0625,5.544565,2296600
2000-01-07,9.9375,10.25,9.65625,9.8125,5.406809,2253000
2000-01-10,10.125,10.125,9.84375,9.875,5.441249,1169200
2000-01-11,9.84375,10.0,9.78125,9.9375,5.475688,845400
2000-01-12,9.875,9.90625,9.5625,9.78125,5.389591,1784000
2000-01-13,9.75,9.9375,9.6875,9.71875,5.355154,1897600
2000-01-14,9.65625,9.71875,9.375,9.5,5.234618,1986800
2000-01-18,9.5625,9.75,9.34375,9.75,5.372371,1356000
2000-01-19,9.75,10.0,9.6875,10.0,5.510127,1086000
2000-01-20,10.0,10.0,9.53125,9.53125,5.251837,1130400
2000-01-21,9.625,9.625,9.1875,9.1875,5.062427,1141000
2000-01-24,9.25,9.25,8.75,8.9375,4.924675,711400
2000-01-25,8.875,8.90625,8.5,8.8125,4.855797,592200
2000-01-26,8.75,8.75,8.15625,8.34375,4.597512999999999,877400
2000-01-27,8.40625,8.90625,8.375,8.90625,4.907456,1056800
2000-01-28,8.75,9.125,8.5625,8.71875,4.804142,1770800
2000-01-31,8.65625,8.84375,8.65625,8.71875,4.804142,859400
2000-02-01,8.59375,8.90625,8.59375,8.71875,4.804142,735600
2000-02-02,8.71875,8.875,8.6875,8.71875,4.804142,1475200
2000-02-03,8.6875,8.8125,8.65625,8.75,4.821358999999999,1541000
2000-02-04,9.0,9.375,9.0,9.28125,5.114083,1479400
2000-02-07,9.4375,9.46875,9.1875,9.1875,5.062427,1530800
2000-02-08,9.1875,9.21875,8.96875,9.0,4.959112999999999,1079800
2000-02-09,9.0,9.15625,8.90625,8.96875,4.941892,1466600
2000-02-10,9.0,9.03125,8.875,8.90625,4.907456,1569000
2000-02-11,8.84375,9.09375,8.8125,9.09375,5.010771,1071400
2000-02-14,9.03125,9.25,9.03125,9.1875,5.062427,757800
2000-02-15,9.21875,9.34375,9.125,9.15625,5.045208000000001,1684400
2000-02-16,9.125,9.1875,8.96875,9.0,4.959112999999999,616600
2000-02-17,9.0,9.28125,8.9375,9.0625,4.993551999999999,775800
2000-02-18,9.03125,9.1875,8.96875,9.0,4.959112999999999,1126400
2000-02-22,8.9375,9.125,8.6875,8.875,4.890238,915400
2000-02-23,8.9375,8.9375,8.3125,8.34375,4.597512999999999,771400
2000-02-24,8.34375,8.34375,7.46875,7.46875,4.115375,1482600
2000-02-25,7.4375,7.4375,7.0,7.0,3.8570879999999996,1446400
2000-02-28,7.1875,7.40625,6.8125,6.875,3.788212,1726600
2000-02-29,6.90625,7.125,6.8125,6.875,3.788212,886400
2000-03-01,6.90625,7.125,6.625,7.03125,3.874307,1116600
2000-03-02,7.03125,7.03125,6.5,6.65625,3.667676,1086800
2000-03-03,6.65625,6.96875,6.5,6.84375,3.7709919999999997,1030400
2000-03-06,6.8125,6.9375,6.625,6.65625,3.667676,899400
2000-03-07,6.71875,6.96875,6.71875,6.96875,3.839869,925800
2000-03-08,6.8125,6.90625,6.65625,6.78125,3.736553,1219200
2000-03-09,6.71875,6.84375,6.53125,6.625,3.6504589999999997,636600
2000-03-10,6.84375,6.84375,6.53125,6.53125,3.5988,463200
2000-03-13,6.59375,6.65625,6.4375,6.46875,3.564361,453800
