Date,Open,High,Low,Close,Adj Close,Volume
2001-01-16,3.75,3.75,3.75,3.75,3.3473599999999997,3200
2001-01-17,3.75,3.75,3.75,3.75,3.3473599999999997,122800
2001-01-18,3.875,4.125,3.875,4.125,3.682096,167200
2001-01-19,4.1875,4.28125,4.1875,4.28125,3.821569,59600
2001-01-22,4.25,4.625,4.25,4.5625,4.07262,146800
2001-01-23,4.5,4.78125,4.5,4.6875,4.184198,76000
2001-01-24,4.625,4.625,4.5625,4.5625,4.07262,560000
2001-01-25,4.65625,4.6875,4.625,4.6875,4.184198,143200
2001-01-26,4.625,4.640625,4.625,4.625,4.128411,82000
2001-01-29,4.63,4.6875,4.6,4.675,4.173043,262000
2001-01-30,4.675,4.675,4.5875,4.65,4.150728,339200
2001-01-31,4.675,4.7625,4.675,4.6875,4.184198,326000
2001-02-01,4.75,5.3,4.69,5.225,4.663986,2556800
2001-02-02,5.1875,5.25,5.15,5.2075,4.6483669999999995,795600
2001-02-05,5.2125,5.3625,4.98,4.9925,4.456451,644800
2001-02-06,4.975,5.005,4.9375,4.9375,4.407357,1338800
2001-02-07,4.925,5.0,4.9125,5.0,4.463147,1350400
2001-02-08,5.0,5.04,4.875,4.875,4.351566,578800
2001-02-09,4.875,4.9375,4.875,4.9375,4.407357,441600
2001-02-12,4.9375,4.9375,4.825,4.825,4.306936,327200
2001-02-13,4.825,4.885,4.8125,4.8125,4.295778,648800
2001-02-14,4.8125,4.8125,4.7675,4.77,4.257842,135600
2001-02-15,4.775,4.7875,4.575,4.575,4.08378,454400
2001-02-16,4.525,4.525,4.35,4.5175,4.032453,427200
2001-02-20,4.5175,4.5375,4.4525,4.5225,4.036916000000001,1000400
2001-02-21,4.5225,4.5225,4.475,4.52,4.034683,443600
2001-02-22,4.52,4.535,4.475,4.5075,4.023527,623600
2001-02-23,4.525,4.675,4.5,4.6125,4.117251,1222800
2001-02-26,4.625,4.78,4.625,4.75,4.239989,1182400
2001-02-27,4.75,4.75,4.725,4.725,4.217674,690000
2001-02-28,4.725,4.75,4.7125,4.75,4.239989,326000
2001-03-01,4.725,4.725,4.675,4.675,4.173043,155200
2001-03-02,4.6875,4.7025,4.675,4.69,4.186432,836800
2001-03-05,4.6875,4.7625,4.6875,4.7525,4.24222,402800
2001-03-06,4.7525,4.775,4.7,4.7,4.195358000000001,610000
2001-03-07,4.7,4.7475,4.7,4.7475,4.237757,89600
2001-03-08,4.745,4.745,4.7,4.7,4.195358000000001,211600
2001-03-09,4.7,4.7025,4.675,4.695,4.190894999999999,269600
2001-03-12,4.695,4.725,4.6625,4.675,4.173043,106400
2001-03-13,4.7125,4.7125,4.6125,4.6125,4.117251,671600
2001-03-14,4.6125,4.6375,4.4675,4.475,3.994514,455600
2001-03-15,4.45,4.45,4.2875,4.3575,3.8896339999999996,1160400
2001-03-16,4.3875,4.45,4.3375,4.3375,3.871779,402800
2001-03-19,4.2875,4.4375,4.2875,4.3,3.838305,1173600
2001-03-20,4.3125,4.39,4.25,4.275,3.8159910000000004,222000
2001-03-21,4.275,4.3,4.0625,4.1625,3.715568,135200
2001-03-22,4.3125,4.4625,4.25,4.4625,3.9833589999999997,2125600
2001-03-23,4.475,4.575,4.475,4.575,4.08378,757600
2001-03-26,4.6125,4.625,4.57,4.625,4.128411,207600
2001-03-27,4.6,4.6125,4.5325,4.5875,4.094937,435200
2001-03-28,4.575,4.6,4.4625,4.4625,3.9833589999999997,420800
2001-03-29,4.45,4.45,4.325,4.325,3.860621,535200
2001-03-30,4.325,4.625,4.325,4.625,4.128411,1308800
2001-04-02,4.6,4.6,4.425,4.45,3.972201,685600
2001-04-03,4.45,4.5,4.3625,4.5,4.016831,192800
2001-04-04,4.4625,4.5,4.4375,4.4975,4.014598,606000
2001-04-05,4.5,4.53,4.4825,4.53,4.043609,629200
2001-04-06,4.5175,4.735,4.5,4.7125,4.206516000000001,476000
2001-04-09,4.715,4.74,4.6125,4.6525,4.152959,113600
2001-04-10,4.6775,4.775,4.6775,4.7625,4.251144999999999,954400
2001-04-11,4.875,5.225,4.875,5.225,4.663986,1570000
2001-04-12,5.1675,5.5875,5.1675,5.5875,4.987566999999999,689200
2001-04-16,5.575,5.575,5.365,5.375,4.7978819999999995,368000
2001-04-17,5.35,5.4375,5.265,5.375,4.7978819999999995,581200
2001-04-18,5.25,5.3525,5.25,5.32,4.748787999999999,285200
2001-04-19,5.295,5.32,5.1625,5.31,4.739861,121600
2001-04-20,5.35,5.45,5.2375,5.25,4.686304,1139600
2001-04-23,5.275,5.275,5.2125,5.225,4.663986,946400
2001-04-24,5.22,5.2325,5.1875,5.225,4.663986,626000
2001-04-25,5.225,5.2875,5.225,5.2625,4.697461,326000
2001-04-26,5.265,5.2875,5.2275,5.245,4.681841,469200
2001-04-27,5.2475,5.2525,5.23,5.25,4.686304,549200
2001-04-30,5.2,5.4,5.1875,5.2875,4.719776,946800
2001-05-01,5.2875,6.095,5.2875,5.965,5.324532,889200
2001-05-02,6.0,6.2375,5.8,6.115,5.4584269999999995,547600
2001-05-03,6.075,6.1,5.95,6.0,5.355777,289200
2001-05-04,5.9625,6.05,5.95,5.995,5.351312999999999,521600
2001-05-07,6.025,6.125,6.025,6.0975,5.442805,176000
2001-05-08,6.125,6.2925,6.125,6.2925,5.616869,920000
2001-05-09,6.275,6.275,6.0625,6.0625,5.411565,213200
2001-05-10,6.0125,6.0375,5.9225,5.9225,5.286598000000001,161600
2001-05-11,5.9475,5.9475,5.75,5.7525,5.13485,71600
2001-05-14,5.7875,6.025,5.6325,6.0175,5.371398,136400
2001-05-15,6.0375,6.2475,6.0375,6.175,5.548872,244800
2001-05-16,6.1625,6.3,6.125,6.2625,5.627497,309600
2001-05-17,6.28,6.55,6.28,6.525,5.8633809999999995,278800
2001-05-18,6.5,6.55,6.4925,6.5,5.840916,119600
2001-05-21,6.475,6.575,6.425,6.575,5.9083120000000005,113600
2001-05-22,6.625,6.925,6.5575,6.625,5.9532419999999995,606800
2001-05-23,6.6125,6.625,6.4625,6.475,5.8184510000000005,323200
2001-05-24,6.475,6.475,6.1625,6.275,5.638731,375200
2001-05-25,6.275,6.35,6.275,6.35,5.7061269999999995,251600
2001-05-29,6.3375,6.4375,6.325,6.3625,5.717359,271200
2001-05-30,6.3625,6.5,6.3625,6.49,5.831929,334000
2001-05-31,6.5,6.675,6.5,6.575,5.9083120000000005,350400
2001-06-01,6.575,6.6,6.5025,6.5125,5.852149,77200
2001-06-04,6.5375,6.7,6.5375,6.7,6.020638,92800
2001-06-05,6.8,6.8,6.65,6.775,6.088030000000001,513600
2001-06-06,6.7625,6.81,6.7275,6.7775,6.09028,279200
2001-06-07,6.7525,6.925,6.75,6.88,6.182386,400000
2001-06-08,6.85,6.8625,6.825,6.8375,6.144196,111600
2001-06-11,6.8325,6.8375,6.725,6.7375,6.054336,267200
2001-06-12,6.725,6.875,6.7125,6.85,6.1554269999999995,351600
2001-06-13,6.8625,7.075,6.8575,6.9375,6.234056,111600
2001-06-14,6.94,6.975,6.825,6.8625,6.1666620000000005,155600
2001-06-15,6.825,6.875,6.7475,6.775,6.088030000000001,436000
2001-06-18,6.825,6.925,6.775,6.85,6.1554269999999995,177600
2001-06-19,6.85,6.8625,6.7625,6.775,6.088030000000001,145200
2001-06-20,6.775,6.905,6.775,6.9,6.200357,306400
2001-06-21,6.8975,7.15,6.8975,6.9425,6.2385459999999995,946400
2001-06-22,7.0175,7.0175,6.95,6.9875,6.278986,276800
2001-06-25,7.0025,7.165,7.0025,7.15,6.425008,233600
2001-06-26,7.125,7.275,7.125,7.2375,6.503635,731200
2001-06-27,7.2625,7.3075,7.1925,7.2625,6.526098999999999,396400
2001-06-28,7.325,7.5,7.325,7.4625,6.705821,433600
2001-06-29,7.4875,7.525,7.4625,7.525,6.761984,523200
2001-07-02,7.525,7.6625,7.4875,7.6625,6.885542,410000
2001-07-03,7.6375,7.8125,7.6,7.7875,6.9978679999999995,197200
2001-07-05,7.7875,8.0725,7.7875,7.9625,7.155122,460400
2001-07-06,7.95,7.975,7.7,7.7025,6.921486,181200
2001-07-09,7.7025,7.7125,7.475,7.5,6.7395190000000005,556400
2001-07-10,7.5,7.5,7.1,7.1,6.380075,346800
2001-07-11,7.1,7.15,7.025,7.1,6.380075,250800
2001-07-12,7.1,7.275,7.025,7.2425,6.508128,349600
2001-07-13,7.2425,7.325,7.225,7.3125,6.571032000000001,151200
2001-07-16,7.3,7.3125,7.15,7.1625,6.436241000000001,93200
2001-07-17,7.1875,7.2625,7.1625,7.225,6.492401999999999,190000
2001-07-18,7.225,7.225,6.875,6.9,6.200357,139200
2001-07-19,7.625,7.8375,7.5025,7.8,7.009099000000001,2679600
2001-07-20,7.8375,8.8125,7.8375,8.775,7.885235000000001,3266800
2001-07-23,8.5,8.6875,8.225,8.525,7.660589,1524000
2001-07-24,8.6375,8.6375,8.4625,8.4975,7.63588,934800
2001-07-25,8.4975,8.4975,8.3,8.425,7.570726,184800
2001-07-26,8.425,8.5,8.2875,8.495,7.633627000000001,294000
2001-07-27,8.4825,8.4975,8.41,8.4675,7.608917,732000
2001-07-30,8.4675,8.485,8.2,8.2375,7.402239,501200
2001-07-31,8.2375,8.3,8.0625,8.075,7.2562169999999995,347200
2001-08-01,8.07,8.25,8.07,8.2125,7.379772999999999,368400
2001-08-02,8.2125,8.28,8.175,8.175,7.346075,421200
2001-08-03,8.1125,8.1125,7.9625,7.9875,7.177588,507600
2001-08-06,7.975,8.0875,7.9375,7.9375,7.132658,564800
2001-08-07,7.9375,8.0,7.8625,7.9875,7.177588,190400
2001-08-08,7.9875,8.0,7.9,7.9,7.098959,264800
2001-08-09,7.8875,8.0,7.8,8.0,7.1888179999999995,348400
2001-08-10,8.0,8.2375,8.0,8.235,7.399994,366400
2001-08-13,8.2375,8.75,8.2375,8.575,7.7055169999999995,1308000
2001-08-14,8.525,8.9625,8.525,8.8875,7.986331,746000
2001-08-15,8.9125,9.325,8.7375,8.775,7.920886,1165600
2001-08-16,8.775,8.7875,8.655,8.75,7.898322,306800
2001-08-17,8.775,8.8,8.7175,8.725,7.875752,667600
2001-08-20,8.725,8.94,8.725,8.8,7.943455999999999,315200
2001-08-21,8.725,8.725,8.535,8.55,7.7177880000000005,638800
2001-08-22,8.58,8.825,8.58,8.8,7.943455999999999,309200
2001-08-23,8.7875,8.875,8.55,8.575,7.740355,356800
2001-08-24,8.575,8.6875,8.5575,8.6625,7.819336,189200
2001-08-27,8.6625,8.7,8.65,8.65,7.808053,161200
2001-08-28,8.6475,8.6875,8.3125,8.3125,7.503403,242000
2001-08-29,8.3125,8.5125,8.0475,8.425,7.604953999999999,306000
2001-08-30,8.4125,8.6,8.305,8.5625,7.729072,229600
2001-08-31,8.55,8.9375,8.55,8.8875,8.022434,451600
2001-09-04,8.9375,9.25,8.8925,8.9125,8.045003,513600
2001-09-05,8.925,8.925,8.475,8.475,7.650084,286400
2001-09-06,8.4625,8.6125,7.425,7.75,6.995655,1967200
2001-09-07,7.5,7.625,7.31,7.5,6.769989,1041200
2001-09-10,7.35,7.365,7.1375,7.2375,6.5330379999999995,315600
2001-09-17,6.75,6.75,6.05,6.2125,5.607808,782400
2001-09-18,6.1625,6.5125,6.0625,6.4375,5.810908,2638400
2001-09-19,6.5,6.65,6.0375,6.15,5.551391000000001,559600
2001-09-20,6.15,6.15,5.775,5.8525,5.282848,423600
2001-09-21,5.6375,6.1875,5.525,5.7625,5.201606,972000
2001-09-24,5.9,6.2,5.8125,6.1125,5.51754,926400
2001-09-25,6.1,6.7375,6.1,6.5125,5.878607,1120400
2001-09-26,6.5,6.6375,6.275,6.3375,5.72064,1187600
2001-09-27,6.3375,6.7725,6.3375,6.7575,6.099761,281600
2001-09-28,6.8,7.4875,6.7875,7.35,6.634589999999999,975600
2001-10-01,7.3375,7.35,7.1,7.2375,6.5330379999999995,441200
2001-10-02,7.2375,7.4875,7.235,7.405,6.684236,298400
2001-10-03,7.375,7.975,7.2875,7.825,7.063353,298000
2001-10-04,7.8,7.8025,7.4625,7.465,6.738395,559200
2001-10-05,7.445,7.625,7.125,7.52,6.788042,409200
2001-10-08,7.5,7.5025,7.315,7.3375,6.623305,155200
2001-10-09,7.35,7.5375,7.3475,7.4125,6.691006,444400
2001-10-10,7.4125,7.6125,7.4125,7.6125,6.8715399999999995,288000
2001-10-11,7.6125,7.775,7.6125,7.685,6.936982,255200
2001-10-12,7.7,7.7625,7.4625,7.4825,6.754192,170400
2001-10-15,7.45,7.625,7.425,7.5725,6.835433,240800
2001-10-16,7.5725,7.675,7.4875,7.6225,6.880566,638800
2001-10-17,7.6325,7.6475,7.42,7.4625,6.736138,334000
2001-10-18,7.45,7.5275,6.9525,7.4025,6.681978999999999,349600
2001-10-19,7.46,7.5375,7.3625,7.5375,6.803839,266800
2001-10-22,7.5375,7.5375,7.215,7.45,6.724854,294800
2001-10-23,7.475,7.5375,7.4275,7.4875,6.758706,224400
2001-10-24,7.485,7.5475,7.485,7.5475,6.812867,141600
2001-10-25,7.46,7.5325,7.275,7.4375,6.71357,349600
2001-10-26,7.425,7.5375,7.375,7.53,6.797067999999999,185200
2001-10-29,7.4875,7.4875,7.0625,7.075,6.386353,514000
2001-10-30,7.05,7.15,6.9,7.1,6.408921,482400
2001-10-31,7.1025,7.51,7.1025,7.4875,6.758706,409200
2001-11-01,7.475,7.5,7.225,7.3375,6.623305,482000
2001-11-02,7.225,7.31,7.1125,7.18,6.481136,235200
2001-11-05,6.9375,7.2375,6.9375,7.175,6.476624,353600
2001-11-06,7.1875,7.375,7.1625,7.3475,6.632332000000001,316800
2001-11-07,7.3125,7.45,7.3125,7.415,6.693263000000001,226400
2001-11-08,7.39,7.4875,7.32,7.345,6.630076,315600
2001-11-09,7.3625,7.375,7.25,7.3625,6.645872,408400
2001-11-12,7.35,7.525,7.3275,7.5125,6.781272,149200
2001-11-13,7.525,7.775,7.525,7.7175,6.966317999999999,478400
2001-11-14,7.7375,7.775,7.6,7.6075,6.902804,132800
2001-11-15,7.595,7.6475,7.4,7.4,6.714525999999999,233600
2001-11-16,7.5,7.8125,7.5,7.725,7.009419,390800
2001-11-19,7.7625,8.375,7.7525,8.25,7.485785000000001,818000
2001-11-20,8.2,8.235,7.8825,7.8825,7.152328999999999,1246800
2001-11-21,7.9075,7.9625,7.6375,7.65,6.941364999999999,261600
2001-11-23,7.65,7.85,7.45,7.7975,7.075203999999999,232400
2001-11-26,7.795,8.205,7.6625,8.205,7.4449559999999995,735200
2001-11-27,8.225,8.535,8.225,8.45,7.667260000000001,364400
2001-11-28,8.4375,8.475,7.845,7.9375,7.202234,364400
2001-11-29,7.965,8.3625,7.93,8.345,7.571989,284800
2001-11-30,8.37,8.6,8.225,8.35,7.576524000000001,615600
2001-12-03,8.325,8.7475,8.0625,8.6875,7.882759,518800
2001-12-04,8.6875,8.7475,8.5875,8.7,7.894102,513200
2001-12-05,8.7,8.805,8.675,8.6875,7.882759,633200
2001-12-06,8.745,8.9375,8.62,8.65,7.848732000000001,385200
2001-12-07,8.6375,8.725,8.425,8.425,7.644576,426000
2001-12-10,8.225,8.3375,8.075,8.275,7.50847,789600
2001-12-11,8.3075,8.3075,8.0,8.12,7.367828,571200
2001-12-12,8.12,8.27,8.12,8.2475,7.483517999999999,290400
2001-12-13,8.225,8.25,7.95,8.0375,7.2929710000000005,366400
2001-12-14,8.025,8.1875,7.6125,7.625,6.918682,476000
2001-12-17,7.625,7.6375,7.375,7.5875,6.884656,581200
2001-12-18,7.625,7.8,7.6025,7.6625,6.952707000000001,821600
2001-12-19,7.675,7.975,7.615,7.7875,7.066128,614400
2001-12-20,7.825,8.025,7.775,7.7875,7.066128,366400
2001-12-21,7.7875,7.87,7.7125,7.85,7.122841,930800
2001-12-24,7.87,7.98,7.8525,7.98,7.240798,76800
2001-12-26,8.0125,8.5625,8.0025,8.5225,7.7330429999999994,322000
2001-12-27,8.525,8.695,8.4625,8.6375,7.837391,609600
2001-12-28,8.6575,8.7875,8.525,8.7,7.894102,439200
2001-12-31,8.7,8.85,8.6,8.6,7.803364,320800
2002-01-02,8.5375,8.55,8.3475,8.4425,7.660456,439600
2002-01-03,8.45,8.65,8.4375,8.6375,7.837391,582800
2002-01-04,8.65,8.725,8.3125,8.5875,7.7920240000000005,672000
2002-01-07,8.5625,8.5625,8.25,8.25,7.485785000000001,330000
2002-01-08,8.225,8.3125,8.0625,8.285,7.517544,318800
2002-01-09,8.3125,8.5225,8.1925,8.1925,7.4336139999999995,304800
2002-01-10,8.2425,8.3625,8.125,8.3,7.531157,904800
2002-01-11,8.35,8.4975,8.35,8.45,7.667260000000001,272000
2002-01-14,8.4625,8.6125,8.4325,8.6125,7.814705,222400
2002-01-15,8.6125,8.6125,8.375,8.6025,7.805636,203600
2002-01-16,8.6375,8.835,8.6125,8.7375,7.928127000000001,337600
2002-01-17,8.75,9.1125,8.55,9.0,8.166314,503200
2002-01-18,8.955,8.9625,8.6125,8.6625,7.860074000000001,336800
2002-01-22,8.6375,8.725,8.4625,8.5125,7.723972,227200
2002-01-23,8.5125,8.65,8.5125,8.645,7.844196000000001,337200
2002-01-24,8.645,8.7,8.525,8.65,7.848732000000001,282400
2002-01-25,8.65,8.875,8.425,8.5,7.712628,310800
2002-01-28,8.3875,8.3875,8.2125,8.3,7.531157,338400
2002-01-29,8.325,8.325,8.2,8.235,7.472177,825600
2002-01-30,8.2325,8.675,8.2125,8.4975,7.710363,470400
2002-01-31,8.555,8.9875,8.5375,8.98,8.148164,602000
2002-02-01,8.9,8.9375,8.4875,8.4875,7.701283,534400
2002-02-04,8.45,8.4625,8.2125,8.35,7.576524000000001,392000
2002-02-05,8.4,8.5375,8.25,8.355,7.5810580000000005,181600
2002-02-06,8.3425,8.3425,8.2125,8.245,7.481250999999999,301600
2002-02-07,8.225,8.2625,8.125,8.1275,7.3746339999999995,318800
2002-02-08,8.125,8.2675,8.125,8.26,7.494861,315200
2002-02-11,8.2675,8.3525,8.1875,8.2,7.440419,361600
2002-02-12,8.2025,8.425,8.2025,8.2875,7.556672,376000
2002-02-13,8.3125,8.3625,8.24,8.28,7.549836,806400
2002-02-14,8.3375,8.3875,8.25,8.25,7.522481,242400
2002-02-15,8.25,8.325,8.1875,8.22,7.495128,734000
2002-02-19,8.2375,8.2475,8.0,8.025,7.317323,412400
2002-02-20,8.02,8.0875,7.875,8.0875,7.374313000000001,525200
2002-02-21,8.1025,8.1075,7.725,7.75,7.066573,324800
2002-02-22,7.775,7.84,7.6875,7.84,7.148638,466400
2002-02-25,7.845,7.9,7.7625,7.9,7.203347,435200
2002-02-26,7.9125,7.9325,7.835,7.885,7.189669,142400
2002-02-27,7.885,7.9375,7.47,7.6,6.929800999999999,377600
2002-02-28,7.6,7.9425,7.55,7.6425,6.968553999999999,1262000
2002-03-01,7.6675,7.8625,7.6675,7.855,7.162314,442800
2002-03-04,7.905,7.925,7.825,7.92,7.221583,606000
2002-03-05,7.975,8.0625,7.825,7.825,7.134957000000001,545600
2002-03-06,7.8375,7.8375,7.65,7.7375,7.0551759999999994,408400
2002-03-07,7.775,8.0275,7.775,7.815,7.125841,588800
2002-03-08,7.8375,8.425,7.8375,8.3975,7.656973,1193200
2002-03-11,8.46,8.5375,8.2125,8.345,7.609106,718000
2002-03-12,8.32,8.4625,8.255,8.345,7.609106,404000
2002-03-13,8.375,8.39,8.145,8.1675,7.447259,210400
2002-03-14,8.1375,8.15,8.035,8.1075,7.392550999999999,222400
2002-03-15,7.9375,8.125,7.9375,8.045,7.335561,414000
2002-03-18,8.0875,8.7875,7.9875,8.76,7.98751,1752000
2002-03-19,8.75,8.875,8.6,8.83,8.051335,643200
2002-03-20,8.875,9.0875,8.64,8.9125,8.126559,1170800
2002-03-21,8.9375,9.3,8.9325,9.2525,8.436579,1342000
2002-03-22,9.2625,9.5125,8.925,8.97,8.178988,1010400
2002-03-25,9.0,9.125,8.7,9.1,8.29753,538400
2002-03-26,9.1375,9.3875,9.1375,9.2775,8.459373,622800
2002-03-27,9.2875,9.2975,9.2275,9.23,8.416061000000001,474800
2002-03-28,9.23,9.5925,9.1275,9.1625,8.354516,435600
2002-04-01,9.1375,9.4375,9.0425,9.2625,8.445696,359200
2002-04-02,9.225,9.435,9.2,9.35,8.525482,332400
2002-04-03,9.3875,9.4375,9.31,9.31,8.48901,273200
2002-04-04,9.3125,9.925,9.275,9.605,8.757992,1028800
2002-04-05,9.6125,9.8375,9.3,9.325,8.502685000000001,530000
2002-04-08,9.29,9.65,9.1375,9.4925,8.655412,689200
2002-04-09,9.5,9.6125,9.325,9.325,8.502685000000001,435200
2002-04-10,9.325,9.375,9.2125,9.3575,8.532319000000001,478400
2002-04-11,9.3575,9.3575,8.675,8.7925,8.01714,900000
2002-04-12,8.85,9.4125,8.6725,9.295,8.475328,754400
2002-04-15,9.25,9.3275,9.02,9.1875,8.377312,618800
2002-04-16,9.1875,9.385,9.1,9.1375,8.331719,536400
2002-04-17,9.1375,9.17,8.845,8.845,8.065013,314800
2002-04-18,8.8475,9.1,8.5875,9.025,8.229139,915200
2002-04-19,9.055,9.1625,8.9175,8.975,8.183549000000001,199600
2002-04-22,8.9625,9.05,8.8125,8.9925,8.199507,274800
2002-04-23,8.9925,8.9975,8.8875,8.975,8.183549000000001,280800
2002-04-24,9.0,9.0975,8.9975,9.0125,8.217741,315200
2002-04-25,9.0375,9.25,9.0,9.2375,8.422898,343600
2002-04-26,9.175,9.345,9.0675,9.11,8.306644,359200
2002-04-29,9.11,9.425,8.955,9.3825,8.555116,374000
2002-04-30,9.375,9.85,9.375,9.605,8.757992,1017200
2002-05-01,9.5925,9.64,9.2125,9.42,8.589308,481200
