Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,68.625,69.1875,63.8125,65.1875,45.534538,12030800
2000-01-04,64.0,64.3125,61.25,61.75,43.133404,8774500
2000-01-05,61.75,63.0,61.0,63.0,44.00655,6931400
2000-01-06,61.625,62.0,60.0,60.0,41.910988,6603400
2000-01-07,61.75,63.5,60.75,63.5,44.355808,6201600
2000-01-10,62.0,63.5625,62.0,63.1875,44.13752,5453000
2000-01-11,63.4375,63.625,61.25,61.5625,43.002421999999996,4371500
2000-01-12,61.5625,62.0625,60.6875,61.0625,42.653168,4599400
2000-01-13,62.125,62.5,61.5,62.125,43.395348,4538900
2000-01-14,62.375,62.4375,61.1875,61.9375,43.264385,4578000
2000-01-18,61.25,61.25,60.125,60.5,42.260246,5322000
2000-01-19,60.125,62.4375,60.125,61.875,43.220718,5176400
2000-01-20,61.5625,61.75,59.875,60.8125,42.478535,7213400
2000-01-21,61.5,61.5,59.4375,60.0,41.910988,6682900
2000-01-24,60.9375,60.9375,56.6875,58.0,40.513981,7339600
2000-01-25,57.0,57.125,54.875,56.125,39.204235,10252400
2000-01-26,55.9375,57.6875,55.0625,57.375,40.077385,8468400
2000-01-27,57.875,59.5,56.1875,58.25,40.688595,6915900
2000-01-28,57.0,57.4375,55.5,55.625,38.854996,7425100
2000-01-31,56.5,56.8125,55.0625,56.625,39.553490000000004,5958600
2000-02-01,56.9375,62.0,56.8125,62.0,43.308018,10950500
2000-02-02,61.0,61.5,59.625,60.75,42.434883,5862100
2000-02-03,60.5,60.625,59.0,60.5,42.260246,4008800
2000-02-04,61.0,61.5,60.3125,61.125,42.696831,4063900
2000-02-07,61.0,61.0,59.0,59.0,41.212486,3796600
2000-02-08,59.75,61.4375,59.5625,61.0,42.60952,4501700
2000-02-09,61.3125,61.3125,58.75,58.75,41.037838,5289700
2000-02-10,59.0,59.9375,58.375,59.5625,41.605408000000004,3644900
2000-02-11,59.5,60.5,59.1875,60.0625,41.954654999999995,4647100
2000-02-14,59.5,60.5,59.4375,60.3125,42.129269,3173900
2000-02-15,60.0625,60.1875,59.0625,59.75,41.736366,3531100
2000-02-16,58.75,59.375,55.75,57.25,39.990093,6829800
2000-02-17,57.25,57.4375,53.5625,54.5,38.069153,10785700
2000-02-18,54.5625,55.8125,52.8125,53.75,37.54525,10402700
2000-02-22,54.125,55.5625,53.125,53.625,37.457947,8019200
2000-02-23,54.1875,55.0,52.875,54.8125,38.287434000000005,6533700
2000-02-24,54.9375,55.1875,52.625,53.0625,37.065037,7763600
2000-02-25,53.5,54.25,52.75,53.0,37.021378000000006,6155600
2000-02-28,53.75,56.875,52.9375,56.8125,39.684483,8120100
2000-02-29,57.4375,58.4375,56.8125,57.5,40.164711,7119900
2000-03-01,57.8125,58.3125,54.3125,55.625,38.854996,6504000
2000-03-02,55.5625,56.25,54.1875,55.125,38.505736999999996,5352000
2000-03-03,55.5,55.8125,54.375,54.5,38.069153,5832800
2000-03-06,54.375,54.6875,53.125,53.875,37.632571999999996,4821800
2000-03-07,55.0,55.0,51.0,52.375,36.611988000000004,8491900
2000-03-08,52.3125,53.75,51.6875,52.5,36.699371,6631400
2000-03-09,53.3125,55.5,51.75,55.3125,38.665397999999996,5736400
2000-03-10,55.625,55.8125,53.375,53.5,37.398407,4456000
2000-03-13,52.625,53.1875,51.8125,53.0,37.048889,4412500
2000-03-14,52.75,53.3125,51.875,52.3125,36.568298,5094600
2000-03-15,52.625,57.25,51.875,57.0,39.845028000000006,8097100
2000-03-16,59.0,61.875,58.625,61.5,42.990688,12165000
2000-03-17,61.5,64.5625,61.5,63.1875,44.17033,13587500
2000-03-20,63.4375,64.125,61.9375,63.625,44.476151,5350300
2000-03-21,63.625,64.6875,61.8125,63.5,44.388763,5552300
2000-03-22,62.375,63.9375,61.125,63.0625,44.082947,4746500
2000-03-23,63.0625,64.3125,62.1875,64.125,44.825657,5540300
2000-03-24,64.0,65.3125,63.5,64.375,45.000415999999994,5903600
2000-03-27,64.375,64.625,63.0,64.375,45.000415999999994,3828000
2000-03-28,63.0625,65.75,63.0,64.0,44.7383,4848400
2000-03-29,64.875,68.5625,64.875,68.5,47.88393,6944300
2000-03-30,68.0,69.5625,65.9375,67.0,46.835384000000005,7934300
2000-03-31,67.0,67.3125,64.25,64.5,45.087795,5169700
2000-04-03,65.5,68.0625,65.4375,68.0,47.534431,5898500
2000-04-04,67.75,68.625,63.4375,64.625,45.175175,8188500
2000-04-05,63.5,64.625,63.0,64.0,44.7383,5348300
2000-04-06,63.9375,67.0,63.25,65.9375,46.092659000000005,4234800
2000-04-07,66.125,67.3125,64.125,64.125,44.825657,3425100
2000-04-10,65.125,67.25,64.25,66.6875,46.616928,3992300
2000-04-11,65.6875,67.375,65.625,67.375,47.097527,3714600
2000-04-12,68.1875,70.0,66.0,66.0,46.136353,7081600
2000-04-13,66.3125,66.3125,60.0,62.5,43.689732,7953100
2000-04-14,60.0,60.25,56.9375,60.25,42.116894,7695600
2000-04-17,56.375,58.1875,55.3125,57.25,40.019802,8667000
2000-04-18,57.0,59.3125,56.0625,58.75,41.068333,7233700
