Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,47.125,47.125,45.0625,45.25,30.831102,571400
2000-01-04,44.25,44.5,43.3125,43.75,29.809093,856900
2000-01-05,43.75,44.4375,42.4375,42.4375,28.914828999999997,797900
2000-01-06,42.5,43.0,42.25,42.8125,29.170313,975700
2000-01-07,43.0,45.0,43.0,44.8125,30.533021999999995,1578200
2000-01-10,45.0625,45.0625,44.0,44.0625,30.022007000000002,395800
2000-01-11,43.875,44.625,43.625,44.375,30.234938,703900
2000-01-12,44.375,44.625,43.3125,43.5625,29.681337,708800
2000-01-13,43.125,44.0,42.5625,43.1875,29.425827,924700
2000-01-14,43.375,44.0625,43.25,43.6875,29.766502000000003,746200
2000-01-18,43.3125,43.3125,41.625,41.8125,28.488984999999996,445700
2000-01-19,40.25,41.0625,40.25,40.5,27.594703999999997,1199100
2000-01-20,41.0,41.0,39.25,39.4375,26.87077,955300
2000-01-21,39.6875,39.6875,37.625,37.9375,25.84874,848000
2000-01-24,38.0,39.0,38.0,38.6875,26.359753,1336500
2000-01-25,38.6875,39.1875,37.75,38.0625,25.933901000000002,753100
2000-01-26,38.0,39.3125,37.25,39.0,26.572668,696100
2000-01-27,39.0,39.5625,38.3125,39.0625,26.615265,750100
2000-01-28,39.375,39.375,36.875,37.3125,25.422897,1286100
2000-01-31,37.375,38.5,36.8125,38.125,25.976496,1228300
2000-02-01,38.125,39.0625,37.5,38.8125,26.44492,577700
2000-02-02,38.8125,39.8125,38.4375,39.5625,26.955931,607500
2000-02-03,39.0625,41.25,39.0,40.75,27.765043,1342000
2000-02-04,40.375,41.9375,40.25,41.875,28.531561,1006000
2000-02-07,40.375,40.5625,39.125,39.9375,27.211448999999998,1282700
2000-02-08,39.6875,40.0,37.4375,37.5,25.550652,641000
2000-02-09,37.75,37.75,35.125,35.375,24.102779,1569900
2000-02-10,35.25,35.3125,34.0625,34.625,23.591768,1235200
2000-02-11,34.875,34.9375,34.3125,34.625,23.591768,1579400
2000-02-14,34.625,34.75,33.5,33.75,22.995586,972800
2000-02-15,34.0,36.0,33.75,35.3125,24.0602,1618800
2000-02-16,35.25,35.25,33.25,34.0,23.165922,1108200
2000-02-17,34.375,34.5,32.8125,34.0,23.165922,1123400
2000-02-18,34.0,34.0,32.5625,33.0625,22.527151,830300
