Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,37.625,37.9375,35.0,35.5625,23.723125,312300
2000-01-04,35.0,35.5,34.5625,35.125,23.431273,318300
2000-01-05,34.875,35.75,34.5625,35.4375,23.639729,255400
2000-01-06,35.125,37.125,35.0,36.25,24.181734,212700
2000-01-07,36.5,37.625,36.375,37.3125,24.890518,153000
2000-01-10,36.75,36.875,35.75,36.375,24.265118,185400
2000-01-11,36.25,36.8125,35.8125,36.4375,24.306820000000002,140500
2000-01-12,36.6875,37.25,36.0,36.3125,24.223431,183400
2000-01-13,36.25,37.5625,36.25,36.9375,24.640364,209400
2000-01-14,36.375,37.25,36.0625,36.9375,24.640364,406000
2000-01-18,36.0,36.75,35.75,36.4375,24.306820000000002,185100
2000-01-19,36.3125,37.0625,36.2187,36.6875,24.473597,248300
2000-01-20,36.6875,37.0625,36.5625,36.8125,24.556973,236200
2000-01-21,37.5,37.5,36.5625,36.625,24.431889,246300
2000-01-24,36.375,36.5625,35.8125,35.8125,23.889882999999998,283600
2000-01-25,35.5625,36.1875,34.875,35.625,23.764807,404600
2000-01-26,35.625,36.25,34.75,36.1875,24.140045,245600
2000-01-27,35.75,36.375,35.375,36.0625,24.056662,154900
2000-01-28,36.0625,36.1875,34.6875,35.875,23.931589000000002,425100
2000-01-31,35.875,36.125,35.5,35.6875,23.806501,206000
2000-02-01,35.4375,35.625,35.0,35.4375,23.639729,169500
2000-02-02,35.375,35.625,35.0,35.3125,23.556351,269300
2000-02-03,35.0,36.3125,35.0,36.1875,24.140045,320200
2000-02-04,36.1875,36.1875,35.4375,35.5,23.681425,224700
2000-02-07,35.25,35.5,34.875,35.0,23.347883,317700
2000-02-08,34.0,34.5625,33.5,34.5625,23.056034,326900
2000-02-09,33.875,33.875,32.25,33.3125,22.222179,510600
2000-02-10,33.3125,33.75,32.75,33.5,22.347261,274700
2000-02-11,33.0,33.75,31.5625,32.5625,21.721867,374900
2000-02-14,32.0,32.4375,31.3125,32.4375,21.638481,274300
2000-02-15,32.25,33.875,32.125,33.5,22.347261,276800
2000-02-16,33.5,33.5,32.1875,33.125,22.097109,204100
2000-02-17,33.375,33.5,31.75,32.375,21.596788,257600
2000-02-18,32.0,32.0,31.5,31.75,21.179869,196700
2000-02-22,31.3125,32.4375,31.125,31.6875,21.138172,375700
2000-02-23,31.75,31.75,30.25,30.3125,20.220938,381100
2000-02-24,30.375,30.375,29.3125,30.25,20.179245,780100
2000-02-25,29.9375,30.25,29.25,29.75,19.845699,224200
2000-02-28,29.75,30.1875,29.6875,29.8125,19.887392000000002,476900
2000-02-29,29.5625,30.625,29.1875,30.0,20.01247,471200
2000-03-01,30.25,30.25,29.5625,29.9375,19.970781,296700
2000-03-02,30.1875,30.1875,29.0,29.3125,19.553852,5187800
2000-03-03,29.25,32.0,28.8125,30.0,20.01247,1271000
2000-03-06,30.375,30.375,28.75,29.875,19.929085,469300
2000-03-07,29.875,30.4375,28.8125,29.125,19.428772,646000
2000-03-08,29.125,30.6875,29.125,29.875,19.929085,438400
2000-03-09,30.0625,31.625,30.0625,30.75,20.512783,502100
2000-03-10,30.375,31.625,29.375,31.25,20.846327,473100
2000-03-13,31.0,31.375,30.5,31.0,20.679555999999998,396700
2000-03-14,31.0,31.25,30.5625,31.125,20.762939000000003,223400
2000-03-15,31.9375,34.1875,31.0,33.8125,22.555721,426500
2000-03-16,33.5,35.5,32.875,35.375,23.598043,517700
2000-03-17,35.4375,35.4375,34.5,35.0,23.347883,368500
2000-03-20,35.0,35.0,34.1875,34.4375,22.972649,395800
2000-03-21,34.6875,35.125,34.0,34.8125,23.222813000000002,256800
2000-03-22,34.125,34.25,33.1875,33.4375,22.551739,283400
2000-03-23,33.25,34.75,33.1875,34.25,23.099714000000002,158200
2000-03-24,34.0,34.5,33.8125,34.1875,23.057566,219100
2000-03-27,33.9375,34.0,32.9375,32.9375,22.2145,202500
2000-03-28,33.0625,33.875,32.6875,32.6875,22.045901999999998,185800
2000-03-29,32.9375,33.9375,32.9375,33.6875,22.72035,202400
2000-03-30,33.6875,35.0625,33.375,33.8125,22.804653,366100
2000-03-31,34.0,35.5,33.625,35.0625,23.647707,176900
2000-04-03,35.0,36.375,34.75,35.8125,24.153532000000002,260900
2000-04-04,35.5625,36.875,34.6875,35.6875,24.069231,304100
2000-04-05,35.75,36.4375,34.875,35.1875,23.732018,181400
2000-04-06,34.5,35.1875,34.375,34.8125,23.479097,215900
2000-04-07,34.75,35.3125,34.5,34.8125,23.479097,199100
2000-04-10,34.625,35.6875,34.625,35.375,23.858469,129900
2000-04-11,36.0,36.75,36.0,36.6875,24.743692000000003,212000
2000-04-12,36.4375,37.8125,36.25,36.3125,24.490763,267200
2000-04-13,36.4375,37.375,36.4375,36.9375,24.912291,167300
2000-04-14,36.25,36.6875,34.625,34.9375,23.563406,272700
2000-04-17,35.0625,36.625,34.25,36.4375,24.575069,300000
2000-04-18,36.25,36.25,34.125,35.25,23.774168,217700
2000-04-19,35.0,35.0,34.1875,34.375,23.184029000000002,183500
2000-04-20,35.0,35.375,34.0,34.75,23.436951,230700
2000-04-24,35.0,35.375,34.8125,35.25,23.774168,154600
2000-04-25,35.0625,36.125,34.5625,36.0,24.279993,123300
2000-04-26,36.25,36.5,34.875,35.1875,23.732018,181500
2000-04-27,37.0,37.0,34.4375,34.75,23.436951,202500
2000-04-28,34.25,34.6875,33.5625,34.4375,23.226181,253300
2000-05-01,33.875,34.75,33.5,34.5625,23.310485999999997,181200
2000-05-02,34.3125,34.5,33.625,34.3125,23.141872,203200
2000-05-03,34.0625,34.125,33.5,33.9375,22.88896,431100
2000-05-04,33.9375,34.3125,33.8125,33.8125,22.804653,124900
2000-05-05,33.8125,34.125,33.4375,33.625,22.678198000000002,258800
2000-05-08,33.75,34.0,33.3125,33.875,22.846798,158300
2000-05-09,34.0,34.25,33.625,34.0,22.931116,372900
2000-05-10,33.9375,34.3125,33.625,33.875,22.846798,259600
2000-05-11,33.9375,34.0,33.5,33.6875,22.72035,213500
2000-05-12,33.6875,33.8125,33.0,33.625,22.678198000000002,155700
2000-05-15,33.375,33.8125,32.25,32.5,21.919445,431900
2000-05-16,32.75,33.4375,32.1875,33.0625,22.298813,307400
2000-05-17,32.8125,33.0625,32.4375,32.8125,22.130213,160100
2000-05-18,32.3125,32.9375,32.0,32.1875,21.708676999999998,236600
2000-05-19,32.1875,33.3125,31.75,32.9375,22.2145,218300
2000-05-22,33.75,34.1875,33.25,33.5312,22.614926999999998,351500
2000-05-23,33.0,33.75,32.25,32.75,22.088054999999997,315300
2000-05-24,32.875,34.25,32.1875,33.6562,22.699228,341700
2000-05-25,33.8125,33.8125,32.5937,33.1562,22.362015,323900
2000-05-26,33.25,34.25,32.8125,33.5312,22.614926999999998,258500
2000-05-30,33.4375,34.625,32.875,34.125,23.015413,466400
2000-05-31,33.875,34.1875,33.4375,34.0,22.931116,282000
2000-06-01,33.75,34.4375,33.6875,34.3125,23.141872,386900
2000-06-02,34.0625,34.5,33.8125,34.1875,23.057566,335100
2000-06-05,34.125,34.1875,33.0625,33.625,22.678198000000002,249700
2000-06-06,33.5625,34.1875,33.0625,34.0,22.931116,291900
2000-06-07,33.875,34.1875,33.6875,33.875,22.846798,200500
2000-06-08,33.625,34.1875,32.9375,33.875,22.846798,257600
2000-06-09,33.625,34.0,33.375,33.875,22.846798,198300
2000-06-12,33.75,34.1875,33.6875,33.6875,22.72035,235900
2000-06-13,33.8125,34.125,33.625,33.75,22.762499,321600
2000-06-14,33.5625,34.3125,33.5625,34.25,23.099714000000002,258700
2000-06-15,34.5,34.5,31.0625,32.0,21.582222,1150800
2000-06-16,32.0,32.375,31.75,32.0,21.582222,671700
2000-06-19,31.875,32.0625,31.375,31.6875,21.371457999999997,340300
2000-06-20,31.375,31.375,30.8125,30.875,20.823469,368300
2000-06-21,31.5,31.5,30.4375,30.5,20.570562,320900
2000-06-22,30.0625,30.5625,29.625,30.375,20.744711,366600
2000-06-23,29.875,30.0,28.875,29.1875,19.93371,599100
2000-06-26,29.1875,29.3125,28.8125,29.0,19.805645000000002,463900
2000-06-27,29.5,30.3125,29.25,29.8125,20.360548,399000
2000-06-28,29.75,30.5625,28.9375,29.9062,20.424541,421200
2000-06-29,29.125,30.6875,29.125,30.5625,20.872766,313100
2000-06-30,30.1875,31.125,30.0,30.1875,20.61665,419300
2000-07-03,30.0,30.9375,29.625,30.75,21.000818,121000
2000-07-05,29.25,29.875,29.25,29.6875,20.275175,237800
2000-07-06,29.8125,29.8125,28.9375,29.0,19.805645000000002,218200
2000-07-07,29.4375,29.5,28.75,29.125,19.891014000000002,146800
2000-07-10,29.1875,29.75,29.0625,29.4375,20.104439000000003,151600
2000-07-11,29.0625,29.5,28.75,29.4375,20.104439000000003,227700
2000-07-12,29.25,29.4375,28.375,28.8125,19.677589,304800
2000-07-13,28.8125,29.5625,28.5,29.125,19.891014000000002,236700
2000-07-14,29.375,29.6875,28.875,29.3125,20.019066,190700
2000-07-17,28.75,28.75,28.125,28.1562,19.229372,278300
2000-07-18,28.625,28.9375,28.3125,28.5625,19.506859,427700
2000-07-19,28.5,28.5,27.75,28.1875,19.25075,1146200
2000-07-20,28.5,28.75,27.375,27.625,18.866589,250200
2000-07-21,27.375,27.6875,27.1875,27.3125,18.65316,223300
2000-07-24,27.0625,27.4375,26.8125,27.25,18.610481,195100
2000-07-25,27.25,28.1875,27.125,27.625,18.866589,225800
