Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,30.25,32.40625,30.1875,31.9375,20.209419,6250200
2000-01-04,31.8125,31.84375,30.25,30.5,19.299801000000002,2799600
2000-01-05,30.5,31.125,30.03125,30.875,19.53709,2350800
2000-01-06,30.4375,30.875,30.25,30.65625,19.398672,2038800
2000-01-07,31.1875,32.6875,31.125,32.625,20.644453,3213800
2000-01-10,32.6875,33.3125,32.65625,33.25,21.039946,1856800
2000-01-11,33.21875,33.84375,32.59375,32.90625,20.822432,1698200
2000-01-12,32.90625,33.1875,32.40625,32.5,20.565352999999998,1353000
2000-01-13,32.5,34.5,32.5,34.15625,21.613401,2671600
2000-01-14,34.28125,34.34375,33.65625,33.75,21.356337,1230200
2000-01-18,33.125,33.21875,32.25,32.28125,20.426947,1415200
2000-01-19,32.0625,32.4375,31.75,32.1875,20.367615,1249200
2000-01-20,32.5,32.5625,31.25,31.46875,19.912806,884600
2000-01-21,32.125,32.1875,31.0625,31.21875,19.754616,2320800
2000-01-24,31.375,31.375,30.5,30.65625,19.398672,1092000
2000-01-25,30.65625,30.6875,29.28125,29.8125,18.864760999999998,2350800
2000-01-26,29.9375,30.1875,29.3125,30.15625,19.082283,1829200
2000-01-27,30.1875,30.78125,29.75,29.875,18.904312,1382000
2000-01-28,29.75,29.875,28.75,28.75,18.192435999999997,1109200
2000-01-31,29.0,29.8125,28.46875,29.25,18.508831,1644000
2000-02-01,29.375,29.84375,29.15625,29.65625,18.765888,1235800
2000-02-02,29.65625,29.96875,29.34375,29.65625,18.765888,1505400
2000-02-03,30.0,30.875,29.78125,30.1875,19.102055,1542600
2000-02-04,30.3125,30.3125,29.96875,30.15625,19.082283,1257200
2000-02-07,30.09375,30.4375,30.03125,30.28125,19.161385,1020400
2000-02-08,30.40625,30.65625,29.71875,29.84375,18.884539,1516200
2000-02-09,29.8125,29.9375,29.59375,29.625,18.746117,1234400
2000-02-10,29.71875,29.8125,28.0,28.5,18.034241,1108200
2000-02-11,28.625,28.625,27.375,27.84375,17.618984,1299200
2000-02-14,27.84375,27.9375,27.125,27.34375,17.302595,1680400
2000-02-15,27.3125,29.84375,27.25,29.25,18.508831,1787400
2000-02-16,29.21875,29.8125,28.34375,28.90625,18.291311,1355800
2000-02-17,28.90625,29.15625,28.6875,28.78125,18.212208,1224600
2000-02-18,28.0,29.125,28.0,28.15625,17.816720999999998,1978000
2000-02-22,28.6875,29.15625,28.03125,28.9375,18.311085000000002,1065200
2000-02-23,28.375,29.78125,28.25,29.625,18.746117,1305400
2000-02-24,29.0,29.03125,27.34375,28.28125,17.895815,1966200
2000-02-25,28.0,28.0,25.9375,26.375,16.689581,2002600
2000-02-28,25.5625,26.46875,25.5625,26.125,16.531391,2485600
2000-02-29,26.125,26.375,25.53125,25.84375,16.353410999999998,2145000
