Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,22.5,22.5,22.299999,22.299999,13.584173000000002,11200
2000-01-04,22.4,22.625,21.924999,21.924999,13.355742000000001,40700
2000-01-05,20.9,21.0,20.6,21.0,12.792277,28000
2000-01-06,21.049999,21.174999,20.700001,20.75,12.639983,38700
2000-01-07,21.049999,21.525,21.0,21.525,13.112084,33500
2000-01-10,21.525,22.049999,21.4,21.4,13.035938,37200
2000-01-11,22.4,22.6,21.799999,21.950001,13.370976,50500
2000-01-12,22.0,22.200001,21.975,22.200001,13.523269,8500
2000-01-13,22.9,23.299999,22.9,23.200001,14.132420999999999,45200
2000-01-14,23.35,23.6,23.299999,23.375,14.239025,34200
2000-01-18,24.700001,25.4,24.200001,24.200001,14.741575,56200
2000-01-19,23.9,23.9,23.4,23.6,14.376081,18700
2000-01-20,23.1,23.1,22.4,22.700001,13.82784,9000
2000-01-21,22.6,22.700001,22.299999,22.625,13.782157999999999,33200
2000-01-24,22.9,23.174999,22.9,23.174999,14.117188,33000
2000-01-25,22.85,22.85,22.4,22.775,13.873529000000001,25000
2000-01-26,22.200001,22.200001,21.6,21.775,13.264372,25000
2000-01-27,21.75,21.75,21.35,21.6,13.157770999999999,29000
2000-01-28,21.5,21.5,21.4,21.4,13.035938,4000
2000-01-31,21.299999,21.799999,21.299999,21.674999,13.203457,18700
2000-02-01,21.6,22.0,21.549999,22.0,13.401432000000002,12700
2000-02-02,21.75,22.9,21.5,22.549999,13.73647,70700
2000-02-03,22.15,22.299999,21.9,22.200001,13.523269,45500
2000-02-04,22.299999,22.799999,22.299999,22.65,13.797381,13700
2000-02-07,22.700001,23.299999,22.700001,23.15,14.101957999999998,22500
2000-02-08,23.25,24.1,23.25,23.9,14.558835,44200
2000-02-09,24.299999,24.299999,23.825001,24.1,14.680660000000001,26000
2000-02-10,23.9,23.9,22.799999,22.875,13.934443,43000
2000-02-11,22.825001,22.825001,22.5,22.5,13.706013,5500
2000-02-14,22.4,22.450001,22.35,22.450001,13.675551,26500
2000-02-15,21.6,21.6,20.9,21.5,13.096853999999999,31700
2000-02-16,22.25,22.799999,22.25,22.6,13.766928,35700
2000-02-17,23.0,23.200001,23.0,23.200001,14.132420999999999,10700
2000-02-18,23.9,23.9,23.4,23.5,14.315173000000001,31000
2000-02-22,23.5,23.625,23.475,23.625,14.391312,21000
2000-02-23,23.4,23.4,23.049999,23.1,14.071501999999999,28200
2000-02-24,23.1,23.4,23.1,23.4,14.254252,14000
2000-02-25,23.4,23.4,23.299999,23.375,14.239025,6000
2000-02-28,22.4,22.775,22.4,22.775,13.873529000000001,19700
2000-02-29,22.725,22.825001,22.549999,22.825001,13.903986999999999,10000
2000-03-01,22.825001,23.200001,22.700001,23.0,14.010591,20200
2000-03-02,22.9,23.799999,22.9,23.6,14.376081,11000
2000-03-03,24.200001,24.5,24.0,24.0,14.619739000000001,25200
2000-03-06,24.75,25.1,24.65,24.65,15.015702,29200
2000-03-07,24.975,25.4,24.200001,24.200001,14.741575,36200
2000-03-08,24.924999,25.1,24.775,24.799999,15.107068,30200
2000-03-09,24.825001,25.700001,24.825001,25.450001,15.503020999999999,30200
2000-03-10,25.4,25.4,24.9,24.9,15.167981,22500
2000-03-13,24.299999,24.299999,23.799999,23.799999,14.497917000000001,17000
2000-03-14,23.9,24.275,23.9,24.25,14.772035,22500
2000-03-15,23.975,23.975,23.799999,23.950001,14.589288,20500
2000-03-16,23.950001,24.799999,23.9,24.65,15.015702,18000
2000-03-17,25.375,25.450001,25.0,25.0,15.2289,35700
2000-03-20,25.275,25.6,25.125,25.125,15.305047,28000
2000-03-21,25.75,27.75,25.75,27.5,16.751795,139700
2000-03-22,27.5,27.5,27.1,27.4,16.690873999999997,20500
2000-03-23,27.15,27.15,26.799999,27.0,16.447208,18500
2000-03-24,27.049999,27.5,27.049999,27.4,16.690873999999997,10500
2000-03-27,27.5,28.0,27.5,27.6,16.812706,35700
2000-03-28,27.6,27.65,27.35,27.35,16.660419,9700
2000-03-29,27.4,27.4,27.25,27.25,16.599501,4200
2000-03-30,27.200001,27.35,26.85,27.0,16.447208,15200
2000-03-31,27.1,29.299999,27.1,28.4,17.30003,129500
2000-04-03,27.700001,28.799999,27.700001,28.5,17.36095,44000
2000-04-04,28.0,28.0,26.875,27.025,16.462442000000003,79700
2000-04-05,26.85,27.200001,26.85,27.200001,16.871994,8200
2000-04-06,27.0,27.0,26.75,26.75,16.592859,9500
2000-04-07,26.775,26.799999,26.775,26.799999,16.623878,2000
2000-04-10,27.0,27.200001,26.799999,26.799999,16.623878,37200
2000-04-11,27.200001,27.799999,26.875,26.9,16.685909,40000
2000-04-12,27.1,28.0,27.1,27.4,16.996054,60200
2000-04-13,27.299999,27.299999,26.5,26.5,16.437782000000002,34700
2000-04-14,25.9,25.9,23.799999,23.799999,14.762986999999999,130700
2000-04-17,23.825001,23.825001,23.15,23.299999,14.452844,23700
2000-04-18,23.299999,23.5,23.1,23.450001,14.545891000000001,26200
2000-04-19,25.200001,26.0,25.200001,25.225,15.646914,65000
2000-04-20,25.9,26.1,25.9,25.975,16.112129,15700
2000-04-24,25.9,26.0,25.85,25.924999,16.081118,2200
2000-04-25,26.15,27.1,26.15,27.0,16.747931,33700
2000-04-26,28.200001,28.4,27.799999,27.799999,17.244165,51700
2000-04-27,27.700001,27.700001,27.575001,27.6,17.120104,11000
2000-04-28,27.700001,28.799999,27.700001,28.5,17.678373,22000
2000-05-01,28.65,28.825001,28.5,28.825001,17.879963,18200
2000-05-02,29.85,29.975,29.049999,29.174999,18.097073,39200
2000-05-03,29.299999,29.6,28.9,28.950001,17.957506,15500
2000-05-04,28.85,28.85,28.424999,28.424999,17.631845000000002,13000
2000-05-05,28.5,28.924999,28.5,28.6,17.740402,46500
2000-05-08,26.799999,27.200001,26.625,27.200001,16.871994,14700
2000-05-09,27.200001,27.200001,26.299999,26.475,16.422276,240200
2000-05-10,26.375,26.375,25.799999,25.9,16.065604999999998,61000
2000-05-11,25.825001,26.1,25.1,26.1,16.189659,59200
2000-05-12,25.799999,25.799999,24.799999,24.9,15.445314000000002,54700
2000-05-15,25.0,25.924999,25.0,25.924999,16.081118,36000
2000-05-16,25.825001,25.825001,24.950001,25.6,15.879520999999999,46500
2000-05-17,25.200001,25.200001,25.0,25.1,15.569373,16000
2000-05-18,26.1,26.4,25.9,26.35,16.344746,42200
2000-05-19,26.1,26.1,25.35,25.375,15.739956,16000
2000-05-22,25.275,25.275,24.5,24.5,15.197192999999999,14000
2000-05-23,24.4,24.4,24.075001,24.275,15.057634,18500
2000-05-24,24.0,24.700001,23.85,24.700001,15.321254000000001,44500
2000-05-25,24.4,24.549999,24.299999,24.424999,15.150673000000001,36500
2000-05-26,24.424999,25.0,24.424999,24.85,15.414299,35500
2000-05-30,25.4,25.6,25.4,25.4,15.755465,9500
2000-05-31,25.4,26.200001,25.4,26.0,16.127634,40500
2000-06-01,26.1,26.174999,25.75,25.799999,16.003582,55700
2000-06-02,26.200001,26.450001,26.200001,26.225,16.267205999999998,21700
