Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,25.125,25.53125,23.875,25.1875,17.305277,2493200
2000-01-04,24.6875,24.875,24.09375,24.46875,16.811459,1527000
2000-01-05,24.5625,25.0,24.125,24.9375,17.133512,1755400
2000-01-06,25.0,25.0,24.15625,24.71875,16.98321,1663200
2000-01-07,24.625,25.5,24.53125,25.40625,17.455568,2078400
2000-01-10,25.4375,26.59375,25.4375,26.1875,17.99234,2877200
2000-01-11,26.65625,26.9375,25.28125,25.34375,17.412623999999997,2632600
2000-01-12,25.40625,25.5625,24.8125,25.28125,17.369688,2691600
2000-01-13,25.125,25.84375,24.90625,25.625,17.605864,2756200
2000-01-14,25.625,25.8125,23.0,23.9375,16.446455,10037800
2000-01-18,23.40625,24.0625,23.40625,23.96875,16.467928,4181000
2000-01-19,24.0625,24.65625,23.6875,23.90625,16.424979999999998,2492200
2000-01-20,23.8125,23.8125,22.5,23.132799,15.893576999999999,2733400
2000-01-21,22.5,22.5,21.65625,21.9375,15.072335999999998,2467600
2000-01-24,22.0625,22.25,20.53125,20.625,14.170572,2281400
2000-01-25,21.0625,21.84375,20.75,21.53125,14.793220999999999,1846800
2000-01-26,21.84375,22.5625,21.375,22.5,15.458807,2991200
2000-01-27,22.125,22.125,21.0625,21.34375,14.664396,2234200
2000-01-28,21.21875,21.375,20.6875,20.8125,14.299403,1333400
2000-01-31,20.75,21.21875,20.5,20.8125,14.299403,1602400
2000-02-01,20.8125,21.65625,20.71875,21.0625,14.471160000000001,1742400
2000-02-02,21.0,21.4375,20.75,21.40625,14.707341,1183800
2000-02-03,21.46875,21.46875,20.5,20.65625,14.192048000000002,2862400
2000-02-04,20.53125,20.625,19.6875,19.96875,13.719692000000002,3182000
2000-02-07,19.96875,19.96875,18.46875,18.65625,12.817926,3232600
2000-02-08,19.03125,19.5,18.90625,19.4375,13.354694,6074600
2000-02-09,19.5,19.53125,18.4375,18.96875,13.032638,3477400
2000-02-10,19.0,19.15625,18.53125,18.84375,12.946749,1630800
2000-02-11,18.96875,19.0,18.40625,18.46875,12.689109,1697400
2000-02-14,18.5,18.6875,18.03125,18.40625,12.646165,1433000
2000-02-15,18.28125,19.15625,18.1875,18.96875,13.032638,2237400
2000-02-16,18.78125,18.84375,17.625,17.84375,12.259689999999999,1616600
2000-02-17,18.15625,18.21875,17.0,17.15625,11.787342,3291000
2000-02-18,17.28125,17.625,16.84375,16.90625,11.615577,1854600
2000-02-22,17.0,17.53125,16.65625,17.5,12.023515,2618800
2000-02-23,17.5625,17.625,16.90625,17.09375,11.744397,2976800
2000-02-24,16.96875,17.0,15.8125,16.21875,11.143225,3960800
2000-02-25,16.59375,16.6875,16.28125,16.28125,11.186166,2091600
2000-02-28,16.8125,17.8125,16.6875,17.625,12.1094,3169800
2000-02-29,18.6875,18.875,18.09375,18.34375,12.603219000000001,4292200
2000-03-01,19.1875,19.21875,17.90625,18.15625,12.4744,3475000
2000-03-02,18.03125,18.46875,18.0,18.21875,12.517338,1482800
2000-03-03,18.21875,18.65625,18.0625,18.0625,12.409989,1469800
2000-03-06,17.96875,18.125,17.03125,17.21875,11.830283999999999,1874400
2000-03-07,16.875,17.15625,16.5,16.5,11.336459,2211800
2000-03-08,16.625,17.25,16.4375,17.03125,11.701456,1747600
2000-03-09,16.90625,17.25,16.6875,17.09375,11.744397,2206200
2000-03-10,17.21875,18.0,17.15625,17.65625,12.130871,1836600
2000-03-13,17.25,17.6875,16.84375,17.40625,11.959108,1562600
2000-03-14,17.40625,18.1875,17.125,17.75,12.195279,1639200
2000-03-15,17.625,20.0,17.625,19.65625,13.504989000000002,4094600
2000-03-16,20.0,21.375,19.875,20.53125,14.106166,3160800
2000-03-17,19.75,20.8125,19.75,20.03125,13.762635000000001,2336600
2000-03-20,20.0,20.46875,19.25,20.3125,13.955873,2537400
2000-03-21,20.34375,21.4375,20.34375,21.03125,14.449694000000001,1856400
2000-03-22,20.90625,20.90625,19.96875,20.25,13.912927,2506200
2000-03-23,20.375,20.375,19.625,19.90625,13.676754999999998,1937400
2000-03-24,19.90625,20.96875,19.84375,20.0,13.741164000000001,2256600
2000-03-27,20.03125,20.1875,19.6875,19.90625,13.676754999999998,1543200
2000-03-28,19.625,20.53125,19.53125,19.96875,13.719692000000002,1700000
2000-03-29,19.96875,21.1875,19.96875,21.09375,14.492633999999999,2128000
2000-03-30,21.09375,22.375,20.75,21.75,14.943513000000001,2637000
2000-03-31,22.0,22.1875,20.875,21.125,14.514111999999999,2451400
2000-04-03,20.8125,21.9375,20.75,21.375,14.685868,1585600
2000-04-04,20.78125,21.375,19.6875,19.96875,13.719692000000002,3674200
2000-04-05,19.96875,20.28125,19.875,20.03125,13.762635000000001,3028400
2000-04-06,19.75,20.0,19.40625,19.5625,13.440577,3380000
2000-04-07,19.6875,19.90625,19.5,19.8125,13.612333,1839600
2000-04-10,20.0,21.0,19.75,20.46875,14.063222,1965400
2000-04-11,20.46875,21.0625,20.25,20.71875,14.23499,1712200
2000-04-12,20.5625,21.15625,20.53125,20.5625,14.127633,1697200
2000-04-13,20.4375,20.4375,19.8125,19.8125,13.612333,1724000
2000-04-14,19.15625,19.28125,18.75,18.84375,12.946749,2432000
2000-04-17,18.0,18.40625,18.0,18.21875,12.517338,3888200
2000-04-18,18.09375,18.375,17.75,18.15625,12.4744,2183000
2000-04-19,18.21875,18.71875,18.0,18.5625,12.753515,1737200
2000-04-20,18.3125,18.8125,18.25,18.5,12.710572,1363000
2000-04-24,18.375,18.90625,18.34375,18.75,12.88234,2330800
2000-04-25,19.21875,19.375,18.78125,19.15625,13.161457,1995800
2000-04-26,19.28125,19.3125,18.1875,18.34375,12.603219000000001,2109000
2000-04-27,17.65625,18.125,17.59375,17.6875,12.152337,3131800
2000-04-28,17.5625,17.59375,16.90625,17.0,11.679985,3029600
2000-05-01,17.125,17.40625,17.0625,17.1875,11.808812,3401000
2000-05-02,17.0625,17.875,17.0,17.65625,12.130871,3445200
2000-05-03,17.21875,17.34375,16.71875,17.04685,11.712181,3973400
2000-05-04,17.28125,17.5625,17.125,17.34375,11.916169,2637000
2000-05-05,17.28125,18.09375,17.28125,18.0625,12.409989,3520600
2000-05-08,17.6875,18.28125,17.5,18.21875,12.517338,1851000
2000-05-09,17.96875,18.40625,17.96875,18.1875,12.495872,2170600
2000-05-10,18.21875,18.625,18.03125,18.3125,12.581752999999999,2788000
2000-05-11,18.53125,18.625,18.375,18.59375,12.774991,2633800
2000-05-12,18.59375,18.9375,18.59375,18.9375,13.011167,1280600
2000-05-15,18.9375,20.09375,18.84375,19.8125,13.612333,3947200
2000-05-16,19.75,20.4375,19.75,19.90625,13.676754999999998,2616000
2000-05-17,19.5625,19.75,19.03125,19.28125,13.247341,1598800
2000-05-18,18.875,20.125,18.875,19.96875,13.719692000000002,2099400
2000-05-19,19.84375,19.9375,19.28125,19.40625,13.333222,1246600
2000-05-22,19.46875,19.59375,18.96875,19.21875,13.2044,2137400
2000-05-23,19.09375,19.6875,19.0,19.4375,13.354694,1555800
2000-05-24,19.4375,19.4375,18.59375,18.96875,13.032638,2445600
2000-05-25,18.78125,19.0,17.9375,18.0625,12.409989,3050400
2000-05-26,18.0,18.5625,18.0,18.21875,12.517338,1565600
2000-05-30,18.3125,18.65625,18.09375,18.46875,12.689109,1567000
2000-05-31,18.34375,19.84375,18.34375,19.25,13.225872,1971600
2000-06-01,19.28125,19.4375,18.90625,19.25,13.225872,1596400
2000-06-02,19.375,19.96875,19.375,19.71875,13.547927,1164800
2000-06-05,19.9375,19.96875,19.46875,19.53125,13.419104999999998,1009600
2000-06-06,19.6875,19.6875,18.59375,18.625,12.79646,1322800
