Date,Open,High,Low,Close,Adj Close,Volume
2006-05-25,4.03,4.605,4.02,4.6,3.481549,395343000
2006-05-26,4.63,4.674,4.411,4.493,3.400564,103044000
2006-05-30,4.497,4.498,4.285,4.4,3.3301760000000002,49898000
2006-05-31,4.435,4.536,4.435,4.494,3.401321,30002000
2006-06-01,4.493,4.81,4.49,4.751,3.5958339999999995,62344000
2006-06-02,4.85,4.87,4.679,4.699,3.5564769999999997,37253000
2006-06-05,4.705,4.925,4.7,4.915,3.71996,37188000
2006-06-06,4.998,5.063,4.78,4.83,3.6556260000000003,49045000
2006-06-07,4.833,4.84,4.675,4.76,3.602645,25013000
2006-06-08,4.76,4.772,4.55,4.772,3.6117269999999997,34439000
2006-06-09,4.88,4.88,4.768,4.778,3.616268,13372000
2006-06-12,4.8,4.825,4.63,4.695,3.5534510000000004,14546000
2006-06-13,4.62,4.735,4.53,4.55,3.4437050000000005,16716000
2006-06-14,4.49,4.545,4.444,4.512,3.414944,15971000
2006-06-15,4.54,4.612,4.513,4.595,3.477764,16500000
2006-06-16,4.55,4.6,4.5,4.502,3.407376,12280000
2006-06-19,4.545,4.545,4.41,4.434,3.3559099999999997,11509000
2006-06-20,4.474,4.5,4.347,4.402,3.331689,23792000
2006-06-21,4.402,4.588,4.4,4.53,3.4285669999999997,18063000
2006-06-22,4.64,4.695,4.588,4.66,3.526961,13038000
2006-06-23,4.699,4.793,4.687,4.695,3.5534510000000004,11612000
2006-06-26,4.695,4.75,4.643,4.75,3.595078,8565000
2006-06-27,4.75,4.803,4.725,4.731,3.580696,9826000
2006-06-28,4.685,4.74,4.65,4.696,3.5542059999999998,8756000
2006-06-29,4.695,4.809,4.695,4.8,3.6329190000000002,14470000
2006-06-30,4.765,4.8,4.66,4.8,3.6329190000000002,25964000
2006-07-03,4.79,4.8,4.681,4.73,3.57994,7029000
2006-07-05,4.74,4.784,4.671,4.76,3.602645,13266000
2006-07-06,4.725,4.735,4.679,4.68,3.5420949999999998,8097000
2006-07-07,4.675,4.685,4.575,4.612,3.4906309999999996,8380000
2006-07-10,4.62,4.657,4.612,4.649,3.5186339999999996,4978000
2006-07-11,4.649,4.649,4.53,4.635,3.508039,8079000
2006-07-12,4.64,4.64,4.554,4.555,3.44749,7672000
2006-07-13,4.518,4.518,4.43,4.472,3.384671,16625000
2006-07-14,4.462,4.468,4.39,4.395,3.326392,9663000
2006-07-17,4.391,4.417,4.375,4.399,3.32942,6458000
2006-07-18,4.399,4.41,4.367,4.39,3.322607,12483000
