Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,21.4375,21.5,20.375,20.84375,20.84375,107600
2000-01-04,20.5,22.90625,20.4375,22.0,22.0,542000
2000-01-05,22.0156,22.03125,21.0,22.0156,22.0156,180600
2000-01-06,22.0625,23.0,21.6875,22.84375,22.84375,203000
2000-01-07,23.0,24.625,21.9375,23.0,23.0,458200
2000-01-10,23.40625,25.71875,23.28125,25.0,25.0,532400
2000-01-11,26.1875,27.125,25.0,25.1875,25.1875,503400
2000-01-12,25.6875,26.125,25.1875,26.125,26.125,236400
2000-01-13,26.90625,28.25,26.875,27.6875,27.6875,769000
2000-01-14,28.4375,30.125,28.375,30.125,30.125,1491800
2000-01-18,30.375,37.375,29.75,33.5625,33.5625,1613200
2000-01-19,36.75,37.5625,33.125,35.6875,35.6875,1631000
2000-01-20,36.5625,36.75,33.9375,36.125,36.125,937000
2000-01-21,36.09375,36.1875,34.25,36.125,36.125,556600
2000-01-24,35.25,40.5,35.125,37.4375,37.4375,825800
2000-01-25,37.53125,37.875,36.25,36.46875,36.46875,765000
2000-01-26,36.40625,36.5,32.25,33.0,33.0,494800
2000-01-27,31.4375,31.75,30.1875,30.75,30.75,649600
2000-01-28,30.5,32.625,29.75,31.0625,31.0625,361000
2000-01-31,30.75,30.8125,27.5,29.21875,29.21875,1176600
2000-02-01,29.21875,29.25,27.625,29.0,29.0,1095200
2000-02-02,29.3125,33.5,28.9375,33.09375,33.09375,4130200
2000-02-03,32.625,34.09375,32.1875,32.875,32.875,1388400
2000-02-04,32.5,35.8125,32.5,35.59375,35.59375,5026600
2000-02-07,35.40625,37.5,34.4375,37.0,37.0,1824000
2000-02-08,38.0,41.25,37.625,40.75,40.75,2881800
2000-02-09,41.5,44.0625,41.34375,42.5625,42.5625,1749600
2000-02-10,42.25,42.8125,39.875,42.4375,42.4375,1256200
2000-02-11,42.25,42.25,40.5,40.71875,40.71875,816200
2000-02-14,40.578098,40.625,39.5,40.625,40.625,781800
2000-02-15,40.34375,40.6875,39.9375,40.6875,40.6875,580200
2000-02-16,40.8125,44.6875,40.125,44.6875,44.6875,949400
2000-02-17,46.03125,52.0,46.0,51.84375,51.84375,2505200
2000-02-18,52.4375,54.84375,49.75,50.0625,50.0625,1557000
2000-02-22,51.0625,52.3125,42.1875,47.28125,47.28125,1256600
2000-02-23,47.0,47.8125,42.9375,47.21875,47.21875,933000
2000-02-24,46.5625,47.75,44.9375,46.90625,46.90625,992000
2000-02-25,46.75,49.3125,46.625,49.0625,49.0625,1092000
