Date,Open,High,Low,Close,Adj Close,Volume
2000-01-28,12.0,12.1875,12.0,12.0,7.271780000000001,11192000
2000-01-31,12.0,12.0625,12.0,12.0625,7.309655,1880900
2000-02-01,12.0,12.0625,12.0,12.0,7.271780000000001,367100
2000-02-02,12.0,12.0625,12.0,12.0625,7.309655,697400
2000-02-03,12.0,12.0625,12.0,12.0,7.271780000000001,579800
2000-02-04,12.0,12.0625,11.25,11.375,6.893045,1681900
2000-02-07,11.125,11.125,10.5,10.8125,6.5521769999999995,927200
2000-02-08,10.75,10.875,9.75,9.875,5.98407,795400
2000-02-09,9.875,10.25,9.75,10.125,6.135562,1710100
2000-02-10,10.5,11.25,10.4375,10.625,6.438553,571500
2000-02-11,10.75,10.9375,10.0,10.0625,6.09769,1062000
2000-02-14,10.1875,10.3125,9.75,9.8125,5.946196,289000
2000-02-15,10.0,10.625,9.9375,10.4375,6.324933000000001,541400
2000-02-16,10.5625,10.625,10.25,10.5625,6.400682,360700
2000-02-17,10.875,10.875,10.25,10.375,6.287058,291600
2000-02-18,10.5,10.75,10.3125,10.5,6.362805000000001,330700
2000-02-22,10.25,10.625,9.875,10.3125,6.249187,314500
2000-02-23,9.9375,10.3125,9.8125,10.125,6.135562,494300
2000-02-24,10.125,10.3125,9.875,9.9375,6.021941,919900
2000-02-25,10.3125,10.625,10.0,10.4375,6.324933000000001,1095500
2000-02-28,10.25,10.3125,10.0,10.125,6.135562,366800
2000-02-29,10.125,11.25,10.0,10.875,6.59005,1652500
2000-03-01,10.875,11.25,10.875,11.0,6.665796,266700
2000-03-02,10.875,11.9375,10.8125,11.5,6.968789,890300
2000-03-03,11.5,11.5,10.875,10.9375,6.627927000000001,160300
2000-03-06,10.5,10.8125,10.375,10.75,6.514301000000001,242800
2000-03-07,10.625,10.75,10.0625,10.25,6.211313,393500
2000-03-08,10.1875,10.5,9.875,10.375,6.287058,424200
2000-03-09,10.3125,10.8125,10.25,10.5,6.362805000000001,310100
2000-03-10,10.5,10.5,10.0,10.25,6.211313,168900
2000-03-13,10.0,10.125,9.5625,9.75,5.9083190000000005,1767400
2000-03-14,9.75,10.125,9.75,9.875,5.98407,660500
2000-03-15,9.875,9.875,9.25,9.625,5.832573,1231100
2000-03-16,9.8125,10.25,9.5,9.75,5.9083190000000005,404100
2000-03-17,9.75,9.9375,9.25,9.5625,5.794701,814800
2000-03-20,9.6875,9.875,9.5,9.625,5.832573,473200
2000-03-21,9.5625,9.8125,9.5,9.625,5.832573,176200
2000-03-22,9.625,9.75,9.5,9.5625,5.794701,430300
2000-03-23,9.5,9.8125,9.5,9.6875,5.8704480000000006,477400
2000-03-24,9.5625,9.875,9.5625,9.75,5.9083190000000005,236700
2000-03-27,9.75,10.0,9.75,9.875,5.98407,67600
2000-03-28,9.875,10.0,9.75,9.8125,5.946196,157900
2000-03-29,9.8125,9.9375,9.8125,9.8125,5.946196,253000
2000-03-30,9.8125,10.125,9.8125,9.8125,5.946196,235200
2000-03-31,9.8125,10.5,9.75,10.5,6.362805000000001,627300
2000-04-03,10.375,10.375,10.0625,10.3125,6.249187,108400
2000-04-04,10.375,10.375,10.0,10.0625,6.09769,411000
2000-04-05,9.9375,10.375,9.875,10.25,6.211313,196100
2000-04-06,10.25,11.125,10.125,10.8125,6.5521769999999995,296700
2000-04-07,10.5,10.625,10.25,10.5,6.362805000000001,262800
2000-04-10,10.5,10.75,10.25,10.3125,6.249187,139400
2000-04-11,10.25,10.625,10.25,10.5625,6.400682,315000
2000-04-12,10.5625,11.0,10.5625,10.8125,6.5521769999999995,392000
2000-04-13,10.6875,10.8125,10.625,10.625,6.438553,243200
2000-04-14,10.5,10.625,10.0,10.125,6.135562,269900
2000-04-17,10.0,10.375,10.0,10.375,6.287058,321300
2000-04-18,10.375,10.8125,10.25,10.625,6.438553,862200
2000-04-19,10.5,11.25,10.5,10.9375,6.627927000000001,531900
2000-04-20,10.9375,11.0,10.625,10.625,6.438553,193500
2000-04-24,10.75,11.375,10.75,10.875,6.59005,355700
2000-04-25,11.0625,11.5625,11.0,11.25,6.817292,621900
2000-04-26,11.25,11.375,11.0,11.0,6.665796,391800
2000-04-27,11.0,11.25,10.8125,10.8125,6.5521769999999995,246300
2000-04-28,11.125,11.875,11.0,11.875,7.196033,284100
2000-05-01,11.75,11.9375,11.375,11.625,7.044536,138900
2000-05-02,11.875,11.875,11.5625,11.75,7.120284,159200
2000-05-03,11.625,11.6875,11.5,11.5625,7.0066630000000005,105600
2000-05-04,11.5625,11.75,11.5,11.75,7.120284,180500
2000-05-05,11.625,12.0,11.5625,11.9375,7.233907,240000
2000-05-08,11.875,12.0,11.75,11.875,7.196033,117900
2000-05-09,11.75,11.875,11.625,11.8125,7.158156,87000
2000-05-10,11.75,12.0625,11.5625,12.0,7.271780000000001,383700
2000-05-11,11.875,12.0625,11.75,12.0,7.271780000000001,404400
2000-05-12,12.0,12.125,11.9375,12.0,7.271780000000001,171600
2000-05-15,12.0,12.75,12.0,12.625,7.6505149999999995,227300
2000-05-16,12.5,12.625,12.125,12.375,7.499022,251500
2000-05-17,12.3125,12.4375,12.25,12.375,7.499022,195300
2000-05-18,12.25,12.3125,11.9375,12.0,7.271780000000001,94500
2000-05-19,12.0,12.25,12.0,12.125,7.347528,334900
2000-05-22,12.0625,12.1875,11.8125,11.8125,7.158156,522400
2000-05-23,11.75,11.875,11.375,11.625,7.044536,258000
2000-05-24,11.5,11.5625,11.25,11.375,6.893045,209300
2000-05-25,11.25,11.5,11.25,11.4375,6.930914,526000
2000-05-26,11.4375,11.875,11.375,11.875,7.196033,159000
2000-05-30,11.5,11.6875,11.25,11.6875,7.082408999999999,217400
2000-05-31,11.5625,11.75,11.5,11.5,6.968789,204900
2000-06-01,11.375,11.75,11.0,11.25,6.817292,359100
2000-06-02,11.25,11.375,11.0,11.0625,6.703674,183500
2000-06-05,11.0625,11.375,11.0,11.125,6.741548,102800
2000-06-06,11.125,11.3125,11.125,11.3125,6.855167999999999,353700
2000-06-07,11.3125,11.375,11.0,11.25,6.817292,303500
2000-06-08,11.1875,11.25,11.0625,11.0625,6.703674,279300
2000-06-09,11.0625,11.375,11.0,11.25,6.817292,136600
2000-06-12,11.125,11.375,11.0,11.375,6.893045,215100
2000-06-13,11.375,11.5,11.125,11.5,6.968789,128400
2000-06-14,11.5,11.6875,11.3125,11.5625,7.0066630000000005,137200
2000-06-15,11.5625,11.8125,11.125,11.25,6.817292,140000
2000-06-16,11.125,11.125,10.6875,10.6875,6.476431,417700
2000-06-19,10.75,11.125,10.625,11.0,6.665796,178200
2000-06-20,10.8125,10.875,10.125,10.5,6.362805000000001,183500
2000-06-21,10.25,11.0,10.25,11.0,6.665796,122900
2000-06-22,10.875,11.0,10.25,10.6875,6.476431,205200
2000-06-23,10.4375,10.625,10.3125,10.5,6.362805000000001,69700
2000-06-26,10.375,10.6875,10.25,10.625,6.438553,307100
2000-06-27,10.5,11.0,10.5,11.0,6.665796,203500
2000-06-28,10.875,11.875,10.8125,11.625,7.044536,199200
2000-06-29,11.625,12.375,11.375,12.125,7.347528,292900
2000-06-30,12.25,12.5,10.125,10.125,6.135562,1202100
2000-07-03,10.875,11.375,10.875,11.3125,6.855167999999999,174800
2000-07-05,11.375,11.375,11.0,11.25,6.817292,161500
2000-07-06,11.125,11.25,10.875,11.25,6.817292,58700
2000-07-07,11.125,11.25,10.875,11.125,6.741548,82700
2000-07-10,11.125,11.3125,11.0,11.0,6.665796,103000
2000-07-11,11.0,11.3125,10.875,11.25,6.817292,206700
2000-07-12,11.25,11.5,11.25,11.5,6.968789,54300
2000-07-13,11.4375,11.875,11.4375,11.6875,7.082408999999999,146800
2000-07-14,11.625,11.9375,11.5625,11.875,7.196033,173100
2000-07-17,11.8125,12.0,11.75,11.9375,7.233907,148600
2000-07-18,11.875,12.0,11.8125,12.0,7.271780000000001,123100
2000-07-19,11.875,11.875,11.25,11.5,6.968789,143900
2000-07-20,11.75,11.75,11.5625,11.625,7.044536,80600
2000-07-21,11.625,11.875,11.625,11.625,7.044536,118300
2000-07-24,11.5,11.5,11.0,11.125,6.741548,259700
2000-07-25,11.0,11.1875,10.875,10.875,6.59005,32300
2000-07-26,10.875,10.9375,10.75,10.8125,6.5521769999999995,38800
2000-07-27,10.75,11.0,10.75,10.875,6.59005,195300
2000-07-28,10.8125,10.9375,10.75,10.75,6.514301000000001,97900
2000-07-31,10.8125,11.375,10.8125,11.375,6.893045,55200
2000-08-01,11.25,11.25,10.8125,10.9375,6.627927000000001,57000
2000-08-02,10.875,11.0,10.625,11.0,6.665796,105500
2000-08-03,11.0,11.0625,10.625,10.75,6.514301000000001,99200
2000-08-04,10.6875,10.9375,10.625,10.9375,6.627927000000001,40500
2000-08-07,10.875,11.25,10.75,11.125,6.741548,40400
2000-08-08,11.0625,11.1875,10.6875,10.6875,6.476431,52700
2000-08-09,10.6875,11.75,10.625,11.625,7.044536,151500
2000-08-10,11.5,11.5,11.0,11.0,6.665796,68300
2000-08-11,10.875,11.5,10.875,11.5,6.968789,53900
2000-08-14,11.375,11.75,11.0625,11.4375,6.930914,92700
2000-08-15,11.5,11.5,11.125,11.3125,6.855167999999999,59000
2000-08-16,11.4375,11.75,11.25,11.625,7.044536,87800
2000-08-17,11.5,11.6875,11.5,11.5625,7.0066630000000005,160800
2000-08-18,11.4375,11.4375,11.0,11.25,6.817292,69500
2000-08-21,11.125,11.125,10.75,10.75,6.514301000000001,337400
2000-08-22,10.875,11.75,10.875,11.625,7.044536,78100
2000-08-23,11.5,11.5,11.25,11.3125,6.855167999999999,74200
2000-08-24,11.3125,11.375,11.1875,11.25,6.817292,104800
2000-08-25,11.375,11.75,11.3125,11.75,7.120284,270800
2000-08-28,12.0,12.0,11.625,11.875,7.196033,178400
2000-08-29,11.8125,11.875,11.75,11.75,7.120284,95800
2000-08-30,11.75,11.75,11.6875,11.6875,7.082408999999999,106500
2000-08-31,11.6875,11.75,11.625,11.6875,7.082408999999999,131800
2000-09-01,11.875,12.0625,11.75,12.0625,7.309655,141300
2000-09-05,12.125,13.1875,12.0625,12.75,7.726265,535000
2000-09-06,12.625,12.8125,12.4375,12.75,7.726265,120600
2000-09-07,12.75,12.875,12.5,12.5625,7.612642999999999,90400
2000-09-08,12.5,12.9375,12.375,12.5,7.574768,284900
2000-09-11,12.5,12.5,12.25,12.375,7.499022,202700
2000-09-12,12.375,12.4375,12.25,12.3125,7.461149000000001,36300
2000-09-13,12.25,12.6875,12.25,12.6875,7.6883919999999994,77900
2000-09-14,12.6875,12.75,12.3125,12.5,7.574768,184000
2000-09-15,12.375,12.375,12.0,12.125,7.347528,380000
2000-09-18,12.0625,12.25,12.0,12.0625,7.309655,68900
2000-09-19,12.125,12.1875,12.0625,12.125,7.347528,76900
2000-09-20,12.0,12.1875,11.75,11.875,7.196033,263600
2000-09-21,11.5,11.625,11.125,11.3125,6.855167999999999,83000
2000-09-22,10.9375,11.0,10.75,10.8125,6.5521769999999995,97000
2000-09-25,10.75,10.875,10.5,10.5,6.362805000000001,31300
2000-09-26,10.5,10.5,10.3125,10.4375,6.324933000000001,46500
2000-09-27,10.4375,10.5,10.25,10.5,6.362805000000001,143000
2000-09-28,10.625,11.75,10.5625,11.3125,6.855167999999999,1865000
2000-09-29,11.3125,11.375,10.8125,11.0625,6.703674,75800
2000-10-02,11.0,11.375,10.875,11.25,6.817292,72700
2000-10-03,11.25,11.4375,11.0,11.0,6.665796,179500
2000-10-04,11.125,11.375,11.0625,11.375,6.893045,75700
2000-10-05,11.25,11.375,10.875,10.875,6.59005,24700
2000-10-06,11.0,12.125,11.0,12.125,7.347528,529200
2000-10-09,12.0625,12.375,11.875,12.125,7.347528,370100
2000-10-10,12.125,12.125,12.0,12.125,7.347528,116900
2000-10-11,12.125,12.375,11.8125,12.0625,7.309655,386500
2000-10-12,11.9375,11.9375,11.625,11.875,7.196033,118300
2000-10-13,11.875,12.375,11.8125,12.3125,7.461149000000001,186100
2000-10-16,12.1875,12.375,11.875,12.3125,7.461149000000001,97400
2000-10-17,12.375,12.5,12.0625,12.1875,7.3854,197800
2000-10-18,12.25,12.75,12.0625,12.75,7.726265,103500
2000-10-19,12.75,13.625,12.75,13.0625,7.915635000000001,204400
2000-10-20,12.9375,13.0625,12.75,12.9375,7.83989,75400
2000-10-23,12.875,12.9375,12.8125,12.9375,7.83989,21600
2000-10-24,12.9375,13.0,12.875,13.0,7.8777610000000005,89800
2000-10-25,12.875,12.9375,12.375,12.4375,7.536897,122700
2000-10-26,12.375,13.125,12.375,13.125,7.9535089999999995,45300
2000-10-27,13.125,13.1875,13.0,13.125,7.9535089999999995,36400
2000-10-30,13.0625,14.75,13.0625,14.25,8.635238000000001,549100
2000-10-31,14.75,14.75,14.5625,14.6875,8.900354,397800
2000-11-01,14.75,14.75,14.0,14.125,8.55949,962500
2000-11-02,14.25,14.625,14.25,14.5,8.786734,77900
2000-11-03,14.4375,14.4375,13.875,14.0625,8.521618,40700
2000-11-06,14.0625,14.3125,13.9375,14.3125,8.673110000000001,40900
2000-11-07,14.25,14.75,14.1875,14.625,8.862482,32800
2000-11-08,14.6875,14.9375,14.375,14.4375,8.748859,47700
2000-11-09,14.4375,14.4375,13.8125,14.125,8.55949,214900
2000-11-10,14.0625,14.0625,12.0,12.5,7.574768,1144900
2000-11-13,12.5,13.3125,12.0,13.0,7.8777610000000005,3034800
2000-11-14,13.0625,15.0,13.0625,14.6875,8.900354,324800
2000-11-15,14.625,15.125,14.3125,14.4375,8.748859,171200
2000-11-16,14.25,14.5625,13.875,14.0,8.483741,251500
2000-11-17,14.1875,14.25,13.9375,14.1875,8.597364,46600
2000-11-20,14.125,14.5,14.0,14.3125,8.673110000000001,306400
2000-11-21,14.5,14.8125,14.25,14.25,8.635238000000001,45200
2000-11-22,14.3125,15.125,14.1875,14.9375,9.051851,168300
2000-11-24,14.875,15.375,14.875,15.1875,9.203348,39000
2000-11-27,15.1875,15.375,14.75,14.875,9.013977,204700
2000-11-28,14.875,14.9375,14.8125,14.875,9.013977,277100
2000-11-29,14.8125,14.9375,14.6875,14.875,9.013977,135000
2000-11-30,14.875,14.9375,14.375,14.6875,8.900354,131300
2000-12-01,14.6875,15.0625,14.6875,14.9375,9.051851,476900
2000-12-04,14.9375,15.0,14.6875,14.8125,8.976104,178200
2000-12-05,14.875,15.25,14.875,15.0625,9.1276,410600
2000-12-06,15.125,15.375,14.75,15.0,9.089725999999999,232700
2000-12-07,15.0,15.125,14.9375,15.0,9.089725999999999,224300
2000-12-08,15.25,15.9375,15.125,15.9375,9.657834,158400
2000-12-11,15.875,16.125,15.5,16.0,9.695705,202400
2000-12-12,15.875,16.375,15.875,16.0,9.695705,222400
2000-12-13,16.125,16.25,14.875,14.875,9.013977,200800
2000-12-14,15.0,15.0,13.9375,14.0625,8.521618,457400
2000-12-15,14.0625,14.375,12.75,14.375,8.710987,203000
2000-12-18,14.375,15.375,14.3125,14.875,9.013977,181200
2000-12-19,14.875,14.875,13.875,14.875,9.013977,153100
2000-12-20,14.625,15.9375,14.5,15.625,9.468461999999999,269500
2000-12-21,15.5,15.9375,15.375,15.625,9.468461999999999,594600
2000-12-22,15.75,15.75,15.4375,15.75,9.544213000000001,308100
2000-12-26,15.75,15.875,15.4375,15.8125,9.582086,122000
2000-12-27,15.8125,16.6875,15.5625,16.6875,10.112318,183300
2000-12-28,16.8125,16.8125,16.375,16.5,9.998695,277900
2000-12-29,16.4375,16.75,15.125,16.125,9.771455,1236000
2001-01-02,16.0625,16.125,15.375,15.625,9.468461999999999,128400
2001-01-03,15.625,16.0625,15.5,15.75,9.544213000000001,85300
2001-01-04,15.75,16.3125,15.375,16.3125,9.885075,302000
2001-01-05,16.375,16.5,15.25,15.6875,9.506333999999999,222000
2001-01-08,15.8125,16.0,15.75,16.0,9.695705,124800
2001-01-09,16.125,16.125,15.5,15.6875,9.506333999999999,125200
2001-01-10,15.5,15.5,15.0,15.0,9.089725999999999,192400
2001-01-11,15.125,15.25,14.0625,14.3125,8.673110000000001,193000
2001-01-12,14.25,14.3125,13.625,14.125,8.55949,287000
2001-01-16,14.25,15.0,13.8125,14.5,8.786734,301500
2001-01-17,14.5,14.5625,13.5,14.1875,8.597364,351300
2001-01-18,14.125,14.375,13.875,14.0,8.483741,133000
2001-01-19,13.875,14.125,13.3125,13.5,8.180750999999999,199700
2001-01-22,13.625,14.0625,12.875,13.375,8.105003,219700
2001-01-23,13.25,14.5,13.25,14.25,8.635238000000001,513900
2001-01-24,14.3125,14.3125,13.625,14.125,8.55949,277200
2001-01-25,14.0625,14.5,13.9375,14.3125,8.673110000000001,246400
2001-01-26,14.25,14.3125,14.125,14.1875,8.597364,360400
2001-01-29,14.1,14.1,13.68,13.8,8.362548,507600
2001-01-30,13.8,14.0,13.75,14.0,8.483741,278600
2001-01-31,14.0,14.49,14.0,14.1,8.544344,285700
2001-02-01,14.2,14.45,14.0,14.04,8.507983,137200
2001-02-02,14.04,14.3,14.04,14.05,8.514044,136100
2001-02-05,14.1,14.4,14.0,14.2,8.604939,117000
