Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,30.3125,30.3125,29.375,29.75,12.962875,246300
2000-01-04,29.5625,30.125,29.5625,30.125,13.126282000000002,347800
2000-01-05,29.875,31.25,29.875,30.9375,13.480309,453000
2000-01-06,30.8125,31.1875,30.8125,31.125,13.562006,139300
2000-01-07,31.125,32.0625,30.875,32.0,13.943268,303300
2000-01-10,31.75,31.875,31.375,31.5625,13.752638000000001,178800
2000-01-11,31.5625,31.6875,30.875,31.25,13.616476,150800
2000-01-12,31.125,32.0,31.0625,31.75,13.834335000000001,143500
2000-01-13,31.75,31.75,30.8125,31.0625,13.534775,1107400
2000-01-14,31.0,31.0,30.625,30.875,13.453075,204300
2000-01-18,30.875,31.0,30.0,30.125,13.126282000000002,348600
2000-01-19,29.6875,31.0625,29.6875,31.0625,13.534775,208500
2000-01-20,31.1875,31.5,30.3125,30.375,13.235211999999999,326300
2000-01-21,30.9375,31.125,30.5,30.875,13.453075,233400
2000-01-24,30.875,32.0625,30.6875,31.6875,13.807103,520000
2000-01-25,31.9375,32.3125,30.0625,30.3125,13.207975,519900
2000-01-26,30.5,31.25,30.25,30.875,13.453075,308700
2000-01-27,31.125,31.875,31.0,31.625,13.779871,841900
2000-01-28,30.875,30.9375,29.8125,29.9375,13.190562,1628400
2000-01-31,30.3125,30.875,29.75,30.875,13.603625,585300
2000-02-01,30.75,31.0,30.5625,31.0,13.658706,170600
2000-02-02,30.9375,31.3125,30.875,31.0,13.658706,169100
2000-02-03,31.125,31.9375,31.125,31.6875,13.961617000000002,460800
2000-02-04,31.6875,31.6875,30.625,30.8125,13.576088,202500
2000-02-07,30.8125,30.875,30.5625,30.625,13.493473999999999,94800
2000-02-08,30.625,31.0,30.625,30.9375,13.631167000000001,228700
2000-02-09,30.8125,31.625,30.125,30.8125,13.576088,382300
2000-02-10,30.9375,31.1875,30.0,30.4375,13.410863,802100
2000-02-11,30.4375,30.5625,30.0625,30.4375,13.410863,160800
2000-02-14,30.5,30.5,30.3125,30.375,13.383323999999998,342600
2000-02-15,30.375,30.5,30.0,30.3125,13.355791,104900
2000-02-16,30.1875,30.25,29.4375,30.0,13.218101,251100
2000-02-17,30.0,30.0625,29.375,29.625,13.052872,236700
2000-02-18,29.5,29.5625,28.25,28.875,12.722423,284400
2000-02-22,29.125,29.375,28.8125,28.9375,12.749962,262700
2000-02-23,28.8125,28.8125,27.875,28.25,12.447045,185800
2000-02-24,28.25,28.25,26.8125,27.375,12.061519,135700
2000-02-25,27.0,27.0625,26.25,26.25,11.565835,252100
2000-02-28,26.5,27.875,26.375,27.6875,12.199205000000001,243900
2000-02-29,27.5,27.875,27.3125,27.5,12.116589999999999,224500
2000-03-01,27.625,27.9375,27.25,27.375,12.061519,679300
2000-03-02,27.5,27.625,27.375,27.4375,12.089056,317200
2000-03-03,27.4375,27.75,27.25,27.375,12.061519,356400
2000-03-06,27.25,27.25,25.875,26.125,11.510761,303400
2000-03-07,26.0625,26.75,26.0,26.4375,11.648446,339900
2000-03-08,26.5625,27.1875,26.375,26.5,11.675988,328000
2000-03-09,26.5,27.0,26.25,26.9375,11.868754,176000
2000-03-10,27.1875,27.1875,26.0,26.1875,11.538302,936500
2000-03-13,26.0625,26.25,25.6875,25.9375,11.42815,136700
2000-03-14,25.9375,26.375,25.6875,26.0625,11.483224,187600
2000-03-15,26.0,28.6875,26.0,28.5625,12.584736,696500
2000-03-16,28.4375,29.9375,28.1875,29.625,13.052872,583700
2000-03-17,29.625,29.625,28.625,28.75,12.667351,258600
2000-03-20,28.875,28.875,28.1875,28.375,12.502119,536000
2000-03-21,28.25,28.5,27.6875,27.8125,12.254283000000001,375900
2000-03-22,27.75,27.75,26.5625,26.6875,11.758606,481700
2000-03-23,26.5,28.0,26.5,27.0625,11.923827000000001,1041700
2000-03-24,27.0,27.25,26.6875,26.6875,11.758606,634500
2000-03-27,26.875,27.3125,26.75,26.8125,11.813677,835000
2000-03-28,26.6875,26.875,26.625,26.875,11.84122,295500
2000-03-29,26.75,27.5625,26.75,27.5,12.116589999999999,530200
2000-03-30,27.375,28.0,27.375,27.9375,12.309356,335300
2000-03-31,27.8125,28.1875,27.5625,28.1875,12.419502,368600
2000-04-03,28.375,28.5625,27.875,28.1875,12.419502,204600
2000-04-04,28.375,29.0,27.875,28.625,12.61227,259600
2000-04-05,28.625,30.0,28.625,29.3125,12.915183,380600
2000-04-06,29.5,29.5,28.875,29.0625,12.805036,182300
2000-04-07,29.0,29.25,28.875,28.9375,12.749962,178900
2000-04-10,28.75,29.625,28.625,29.5,12.997796000000001,161100
2000-04-11,29.625,30.0,29.375,29.375,12.942721,263800
2000-04-12,29.625,30.75,29.625,30.1875,13.300713,335800
2000-04-13,30.375,31.1875,30.0,30.9375,13.631167000000001,264300
2000-04-14,30.8125,31.625,30.0625,30.25,13.328242999999999,799200
2000-04-17,30.125,30.5,29.5,30.375,13.383323999999998,468400
2000-04-18,30.125,30.8125,29.875,29.875,13.163029000000002,473400
2000-04-19,30.0,30.75,29.6875,30.5625,13.46594,1156700
2000-04-20,30.5625,31.625,30.5625,31.0625,13.686242000000002,298100
2000-04-24,30.875,33.125,30.875,32.8125,14.457301000000001,473100
2000-04-25,32.875,33.6875,32.375,33.625,14.815285999999999,298600
