Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.1875,8.1875,7.75,7.8125,7.089938,30100
2000-01-04,7.75,7.875,7.4375,7.5,6.80634,17500
2000-01-05,7.5,7.5625,7.375,7.375,6.692902,26800
2000-01-06,7.375,7.6875,7.25,7.5625,6.863061,48400
2000-01-07,7.5625,7.875,7.375,7.375,6.692902,20900
2000-01-10,7.5,7.5,7.0,7.0625,6.409304,84300
2000-01-11,7.1875,7.25,6.8125,6.875,6.239145,31500
2000-01-12,7.0,7.125,6.8125,7.125,6.466023000000001,28200
2000-01-13,7.25,7.25,7.125,7.125,6.466023000000001,17900
2000-01-14,7.1875,7.1875,6.9375,6.9375,6.295864,29100
2000-01-18,7.0625,7.25,7.0625,7.25,6.579464,50100
2000-01-19,7.25,7.375,7.25,7.375,6.692902,12800
2000-01-20,7.3125,7.625,7.3125,7.625,6.91978,27200
2000-01-21,7.5,7.75,7.4375,7.75,7.033221000000001,43000
2000-01-24,7.8125,7.875,7.4375,7.4375,6.749621,88400
2000-01-25,7.375,7.375,7.0,7.1875,6.522745,969200
2000-01-26,7.25,7.25,7.125,7.125,6.466023000000001,9200
2000-01-27,7.125,7.1875,7.0625,7.0625,6.409304,9600
2000-01-28,7.125,7.125,7.0,7.0,6.3525849999999995,26300
2000-01-31,7.0,7.0625,6.75,6.75,6.125706,16400
2000-02-01,6.8125,6.8125,6.625,6.625,6.012268,43900
2000-02-02,6.75,6.8125,6.6875,6.8125,6.182426,40500
2000-02-03,6.75,7.0,6.75,7.0,6.3525849999999995,34500
2000-02-04,7.0,7.0,6.6875,6.6875,6.068986,70400
2000-02-07,6.6875,6.6875,6.4375,6.4375,5.84211,20100
2000-02-08,6.375,6.4375,6.0,6.0,5.445072,39000
2000-02-09,5.875,5.9375,5.8125,5.875,5.331633999999999,128200
2000-02-10,6.0,6.5,5.9375,6.4375,5.84211,132800
2000-02-11,6.5,6.5,6.3125,6.375,5.785389,19500
2000-02-14,6.25,6.5625,6.25,6.4375,5.84211,19900
2000-02-15,6.5,6.5,6.125,6.375,5.785389,66900
2000-02-16,6.375,6.6875,6.25,6.6875,6.068986,40600
2000-02-17,6.75,7.3125,6.75,6.9375,6.295864,68600
2000-02-18,7.0,7.125,6.9375,7.0,6.3525849999999995,31400
