Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.625,26.875,26.375,26.6875,11.639884,350700
2000-01-04,26.6875,26.6875,25.875,26.1875,11.421803,153200
2000-01-05,26.375,26.75,26.25,26.4375,11.530847999999999,580200
2000-01-06,26.4375,26.4375,26.0,26.125,11.394542,700200
2000-01-07,26.25,26.375,26.0,26.3125,11.476325,353000
2000-01-10,26.375,26.375,26.0625,26.25,11.449063,254500
2000-01-11,26.125,26.3125,25.625,25.625,11.176469,364800
2000-01-12,25.6875,26.0,25.6875,25.875,11.285505,184600
2000-01-13,25.75,26.25,25.625,26.1875,11.421803,304400
2000-01-14,26.25,26.5625,26.0,26.4375,11.530847999999999,271100
2000-01-18,26.4375,26.6875,26.25,26.375,11.503582000000002,372900
2000-01-19,26.375,27.0,26.375,26.6875,11.639884,374800
2000-01-20,26.625,27.125,26.625,27.0625,11.803442,587600
2000-01-21,27.625,28.6875,27.5,28.3125,12.348633999999999,1739100
2000-01-24,28.6875,29.0,28.125,28.4375,12.403153,1370900
2000-01-25,28.625,28.625,27.75,27.875,12.157817999999999,279500
2000-01-26,27.8125,28.375,27.8125,27.875,12.157817999999999,223900
2000-01-27,27.875,28.4375,27.25,27.5,11.994255,657300
2000-01-28,27.5,27.8125,27.375,27.4375,11.966994999999999,337700
2000-01-31,27.4375,27.75,27.0625,27.1875,11.857961,600600
2000-02-01,27.375,27.625,27.25,27.5625,12.021519999999999,443800
2000-02-02,27.5625,27.6875,27.375,27.4375,11.966994999999999,334600
2000-02-03,27.5625,28.375,27.5625,27.8125,12.130561,749900
2000-02-04,27.75,27.8125,27.4375,27.5,11.994255,456800
2000-02-07,27.5625,27.625,27.4375,27.5,11.994255,758500
2000-02-08,27.5625,27.9375,27.375,27.8125,12.130561,1799400
2000-02-09,27.9375,27.9375,27.625,27.6875,12.076037,1374000
2000-02-10,27.3125,27.3125,26.875,27.0625,11.803442,415000
2000-02-11,26.75,27.125,26.25,27.0,11.776183999999999,1165700
2000-02-14,26.875,27.0,26.75,26.8125,11.694403999999999,154000
2000-02-15,26.8125,26.9375,26.625,26.625,11.612619,143600
2000-02-16,26.75,26.8125,26.5625,26.8125,11.694403999999999,141200
2000-02-17,26.625,26.875,26.625,26.75,11.667143,125300
2000-02-18,26.75,26.75,26.5625,26.5625,11.585363000000001,80700
2000-02-22,26.5625,26.5625,26.375,26.4375,11.530847999999999,45700
2000-02-23,26.5,26.8125,25.8125,25.9375,11.312763,614900
2000-02-24,25.9375,25.9375,23.75,24.25,10.576756,640100
2000-02-25,23.75,24.0,23.6875,23.875,10.413197,1250400
2000-02-28,23.75,24.625,23.375,24.625,10.740314,397700
2000-02-29,24.625,24.625,23.5,23.8125,10.385942,467800
2000-03-01,23.6875,23.75,22.75,23.5625,10.276898,517100
2000-03-02,23.5,23.875,23.3125,23.6875,10.331415,739300
2000-03-03,23.875,23.875,23.4375,23.5625,10.276898,324500
2000-03-06,23.625,23.75,23.1875,23.1875,10.113339999999999,362100
2000-03-07,23.0,23.375,22.5625,22.8125,9.949786999999999,218300
2000-03-08,22.25,23.125,22.25,23.0625,10.187203,1037800
2000-03-09,22.875,23.125,22.75,22.9375,10.131995,500300
2000-03-10,22.8125,23.0625,22.625,22.9375,10.131995,298300
2000-03-13,22.6875,22.875,22.5,22.625,9.993953,233900
2000-03-14,22.25,23.125,22.0,22.5625,9.96635,508600
2000-03-15,22.5625,23.75,22.5625,23.5,10.380463,393500
2000-03-16,23.375,25.125,23.375,24.6875,10.905008,345000
