Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.75,9.75,9.46875,9.53125,3.575439,592800
2000-01-04,9.5,9.625,9.46875,9.59375,3.5988849999999997,535800
2000-01-05,9.625,10.125,9.59375,10.03125,3.763004,708400
2000-01-06,10.15625,10.15625,9.9375,10.0,3.7512809999999996,680400
2000-01-07,10.03125,10.15625,10.0,10.125,3.798172,376200
2000-01-10,10.25,10.25,10.0625,10.125,3.798172,911400
2000-01-11,10.1875,10.1875,10.0,10.0,3.7512809999999996,950600
2000-01-12,10.0625,10.21875,10.0625,10.1875,3.821618,628400
2000-01-13,10.25,10.25,10.0625,10.09375,3.7864489999999997,485200
2000-01-14,10.15625,10.15625,9.9375,9.9375,3.7278339999999996,628800
2000-01-18,9.9375,9.96875,9.65625,9.75,3.6574980000000004,605200
2000-01-19,9.8125,10.0,9.75,10.0,3.7512809999999996,382000
2000-01-20,9.9375,10.0,9.875,9.9375,3.7278339999999996,475200
2000-01-21,9.96875,10.21875,9.9375,10.15625,3.8098959999999997,620800
2000-01-24,10.1875,10.3125,10.15625,10.15625,3.8098959999999997,880800
2000-01-25,10.15625,10.21875,10.03125,10.09375,3.7864489999999997,752400
2000-01-26,10.0625,10.15625,10.03125,10.0625,3.7747269999999995,468600
2000-01-27,10.09375,10.125,9.90625,10.0,3.7512809999999996,566600
2000-01-28,10.125,10.125,9.78125,9.90625,3.7161129999999996,852200
2000-01-31,9.9375,9.96875,9.875,9.875,3.704391,786800
2000-02-01,9.9375,10.0,9.84375,9.9375,3.7278339999999996,467400
2000-02-02,10.0625,10.21875,10.0,10.09375,3.7864489999999997,501200
2000-02-03,10.125,10.59375,10.09375,10.46875,3.9271220000000002,795800
2000-02-04,10.375,10.40625,10.0625,10.1875,3.821618,474200
2000-02-07,10.1875,10.1875,9.875,9.875,3.704391,842000
2000-02-08,10.0625,10.21875,10.0,10.03125,3.763004,420800
2000-02-09,10.0,10.125,9.96875,10.03125,3.763004,5588800
2000-02-10,9.8125,9.96875,9.5625,9.65625,3.7688589999999995,1075800
2000-02-11,9.6875,9.75,9.40625,9.4375,3.6834809999999996,892200
2000-02-14,9.46875,9.5,9.4375,9.5,3.707874,607800
2000-02-15,9.5,9.5,9.4375,9.4375,3.6834809999999996,582000
2000-02-16,9.40625,9.4375,9.375,9.4375,3.6834809999999996,394800
2000-02-17,9.4375,9.46875,9.34375,9.4375,3.6834809999999996,444400
2000-02-18,9.375,9.4375,9.21875,9.34375,3.646889,343800
2000-02-22,9.40625,9.40625,9.28125,9.28125,3.622495,497400
2000-02-23,9.3125,9.3125,9.125,9.21875,3.598101,519000
2000-02-24,9.21875,9.25,8.71875,8.8125,3.439541,880600
2000-02-25,8.75,8.84375,8.6875,8.75,3.415147,1185600
2000-02-28,8.75,8.875,8.65625,8.84375,3.451737,1372800
2000-02-29,8.875,8.90625,8.78125,8.84375,3.451737,747400
2000-03-01,8.84375,8.875,8.6875,8.6875,3.3907540000000003,515000
2000-03-02,8.84375,8.96875,8.78125,8.9375,3.488328,524000
2000-03-03,8.9375,8.96875,8.8125,8.84375,3.451737,528800
2000-03-06,8.84375,8.875,8.5,8.53125,3.329768,860600
2000-03-07,8.53125,8.65625,8.53125,8.5625,3.341965,887200
2000-03-08,8.65625,8.6875,8.40625,8.40625,3.2809809999999997,1244600
2000-03-09,8.4375,8.65625,8.4375,8.59375,3.354162,619400
2000-03-10,8.59375,8.65625,8.5,8.5625,3.341965,462200
2000-03-13,8.59375,8.625,8.5,8.59375,3.354162,426800
2000-03-14,8.59375,8.71875,8.53125,8.65625,3.3785559999999997,564600
2000-03-15,8.71875,9.1875,8.6875,9.0,3.512722,756800
2000-03-16,9.25,9.75,9.1875,9.59375,3.744464,979000
2000-03-17,9.46875,9.65625,9.28125,9.5,3.707874,671000
2000-03-20,9.53125,9.625,9.5,9.5,3.707874,321000
2000-03-21,9.53125,9.59375,9.5,9.5625,3.732267,444200
2000-03-22,9.53125,9.5625,9.03125,9.21875,3.598101,1261600
2000-03-23,9.28125,9.375,9.25,9.375,3.6590849999999997,734800
2000-03-24,9.375,9.46875,9.3125,9.3125,3.6346910000000006,346000
2000-03-27,9.28125,9.4375,9.28125,9.375,3.6590849999999997,525400
2000-03-28,9.40625,9.46875,9.28125,9.40625,3.6712830000000003,497200
2000-03-29,9.5,9.65625,9.5,9.65625,3.7688589999999995,654600
2000-03-30,9.6875,9.96875,9.6875,9.8125,3.829844,627200
2000-03-31,9.90625,9.96875,9.78125,9.96875,3.890827,807400
2000-04-03,9.96875,10.0625,9.90625,10.0625,3.927418,906400
2000-04-04,10.0,10.28125,9.96875,10.09375,3.9396150000000003,912800
2000-04-05,10.125,10.4375,10.0625,10.21875,3.988403,543400
2000-04-06,10.25,10.375,10.0625,10.15625,3.9640089999999994,417000
2000-04-07,10.03125,10.15625,9.9375,10.03125,3.915222,344600
2000-04-10,10.03125,10.21875,9.90625,10.1875,3.976207,404400
2000-04-11,10.21875,10.3125,10.15625,10.28125,4.012798,486200
