Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,64.3125,64.4375,61.6875,61.8125,39.492691,294400
2000-01-04,61.5625,62.1875,58.9375,59.4375,37.975281,472600
2000-01-05,59.4375,60.8125,59.3125,60.3125,38.534306,419500
2000-01-06,60.1875,61.625,59.6875,60.8125,38.853794,266600
2000-01-07,60.9375,61.5625,60.375,61.0,38.973564,298400
2000-01-10,61.25,62.6875,61.125,61.75,39.452740000000006,212700
2000-01-11,62.0,64.5625,62.0,64.0,40.890308000000005,309500
2000-01-12,63.75,63.8125,61.75,61.75,39.452740000000006,357100
2000-01-13,62.0,62.25,61.25,61.4375,39.253094,174500
2000-01-14,61.5,62.1875,61.125,61.1875,39.093348999999996,239500
2000-01-18,60.0,60.3125,59.25,59.3125,37.895412,233500
2000-01-19,61.5,63.1875,59.625,59.625,38.095043,548000
2000-01-20,59.875,60.5625,59.125,59.5,38.015205,471900
2000-01-21,56.0,58.0,52.25,57.5,36.737377,2453200
2000-01-24,57.75,59.9375,57.375,57.9375,37.016890999999994,894400
2000-01-25,57.9375,58.375,51.75,53.625,34.261608,1122600
2000-01-26,55.0625,59.9375,55.0,59.875,38.254787,920900
2000-01-27,59.625,60.25,56.4375,56.6875,36.218253999999995,895100
2000-01-28,55.375,58.5625,55.375,56.75,36.258198,375500
2000-01-31,56.5,58.75,56.25,58.25,37.216557,391500
2000-02-01,58.25,60.4375,58.25,59.6875,38.134991,531500
2000-02-02,59.4375,59.5,57.5625,57.625,36.817242,468300
2000-02-03,57.5625,58.25,57.0625,57.5625,36.777309,355000
2000-02-04,57.8125,58.1875,56.3125,56.375,36.0186,300100
2000-02-07,56.375,57.25,55.0,55.5625,35.499477,495300
2000-02-08,55.8125,56.1875,54.375,54.375,34.740765,372300
2000-02-09,55.0625,55.375,54.6875,54.9375,35.100163,355200
2000-02-10,55.0,55.4375,54.125,54.375,34.740765,288900
2000-02-11,54.9375,55.375,52.625,52.75,33.702553,253400
2000-02-14,51.75,53.875,50.5,52.9375,33.822353,741400
2000-02-15,53.0625,54.0625,51.9375,52.6875,33.662632,711000
2000-02-16,53.0625,54.125,53.0,54.0,34.501183000000005,493300
2000-02-17,54.0,58.4375,54.0,57.0,36.417908000000004,575000
2000-02-18,56.375,56.6875,54.3125,54.5,34.820648,487000
2000-02-22,54.5,55.25,54.25,54.5625,34.860584,473400
2000-02-23,54.5625,54.9375,54.125,54.1875,34.620979,467700
2000-02-24,54.1875,54.6875,52.5625,54.25,34.660923,673400
2000-02-25,53.875,54.4375,53.3125,53.375,34.316948,699900
2000-02-28,53.875,54.0,52.875,53.625,34.47768,291900
2000-02-29,53.125,55.0,53.125,54.3125,34.919708,486000
2000-03-01,54.3125,54.4375,51.75,53.4375,34.357128,317000
2000-03-02,53.1875,53.375,51.125,51.5,33.111431,353200
2000-03-03,51.5625,53.25,51.3125,52.1875,33.553459000000004,543900
2000-03-06,52.125,52.8125,52.125,52.3125,33.633831,321400
2000-03-07,52.0625,53.625,50.25,50.4375,32.428318,329400
2000-03-08,50.75,51.0,48.625,49.625,31.905912,392600
2000-03-09,49.625,52.1875,49.1875,51.6875,33.231978999999995,583700
2000-03-10,51.9375,52.4375,49.5,50.0625,32.187214000000004,276400
2000-03-13,49.5,50.625,49.0,49.5625,31.865734000000003,388000
2000-03-14,49.8125,50.4375,48.875,48.875,31.423721,409500
2000-03-15,49.125,56.375,49.125,54.0625,34.758965,650600
2000-03-16,56.0,58.625,55.4375,58.4375,37.571831,844400
2000-03-17,58.375,59.75,57.0,57.0625,36.687794,581700
2000-03-20,57.1875,57.6875,55.125,56.875,36.567238,486600
2000-03-21,56.875,61.9375,56.75,60.375,38.817528,611700
2000-03-22,59.375,59.625,56.375,57.625,37.049438,451700
2000-03-23,57.875,59.125,57.0,58.0,37.290546,237600
2000-03-24,58.0,59.25,56.75,56.8125,36.527042,301200
2000-03-27,56.875,58.1875,56.5,56.5,36.326138,311300
2000-03-28,55.875,57.875,55.75,56.1875,36.125221,240600
2000-03-29,55.9375,59.6875,55.75,58.9375,37.893307,320500
2000-03-30,59.0625,62.0,59.0,59.6875,38.375515,359800
2000-03-31,59.9375,60.5625,58.625,58.625,37.692383,325300
2000-04-03,58.8125,61.3125,58.75,59.375,38.174583,480700
2000-04-04,60.4375,64.0,59.9375,62.0625,39.902496,563600
2000-04-05,61.5,63.125,60.5,60.625,38.97826,315800
2000-04-06,60.375,61.9375,60.125,60.75,39.058613,361400
2000-04-07,60.625,60.8125,59.1875,60.1875,38.696979999999996,202900
2000-04-10,60.125,62.0,60.0,61.5,39.540825,229200
2000-04-11,61.75,62.9375,60.9375,61.3125,39.420288,268900
2000-04-12,61.5625,64.5,61.5625,63.875,41.067809999999994,426600
2000-04-13,64.0,64.75,63.75,64.0,41.14819,499100
2000-04-14,64.25,64.375,61.125,61.5,39.540825,455900
2000-04-17,61.375,62.25,60.5625,61.0,39.219376000000004,298300
2000-04-18,61.0,61.0,59.375,60.1875,38.696979999999996,377700
2000-04-19,60.625,61.0,57.25,58.0625,37.330738000000004,662900
2000-04-20,58.0,62.9375,58.0,61.75,39.701576,625200
2000-04-24,61.625,65.875,61.5625,64.125,41.228553999999995,518800
2000-04-25,65.125,67.4375,64.4375,66.625,42.835918,701100
2000-04-26,66.5625,67.5625,65.25,66.25,42.594795,657900
2000-04-27,64.5,65.6875,64.0625,64.375,41.389301,503000
2000-04-28,64.625,66.875,64.5,65.125,41.871506,545500
2000-05-01,66.4375,68.0,65.5625,67.0,43.077011,476300
2000-05-02,67.0625,68.3125,65.9375,66.5,42.755534999999995,504000
2000-05-03,65.875,68.1875,65.875,67.25,43.23774,509600
2000-05-04,67.125,67.8125,65.0,65.0,41.791138000000004,329300
2000-05-05,64.75,67.75,64.4375,66.8125,42.956459,263500
2000-05-08,67.0625,67.1875,62.875,63.25,40.665981,399300
2000-05-09,64.5,65.34369699999999,62.5625,63.5,40.826729,445100
2000-05-10,63.625,64.25,61.6875,61.875,39.781940000000006,298800
2000-05-11,62.25,66.125,62.125,65.6875,42.233135,291500
2000-05-12,65.5625,65.6875,63.5,63.75,40.987460999999996,252400
2000-05-15,63.625,65.1875,63.1875,65.0625,41.831291,304000
2000-05-16,64.6875,67.125,64.6875,65.125,42.09145,321300
2000-05-17,64.5,64.75,62.625,63.0625,40.758427000000005,289400
2000-05-18,64.0,65.75,63.75,64.875,41.929878,246400
2000-05-19,63.75,63.8125,61.625,61.9375,40.031319,576800
2000-05-22,62.0,62.6875,60.625,61.125,39.506187,352900
2000-05-23,61.375,62.9375,61.375,61.75,39.910140999999996,200300
2000-05-24,61.625,63.625,60.5,62.625,40.475658,364400
2000-05-25,62.375,63.25,60.375,61.0,39.4254,355600
2000-05-26,61.0,61.0,58.625,59.0,38.132763,498200
2000-05-30,60.125,60.9375,59.3125,60.6875,39.223408,337400
2000-05-31,60.0,60.75,56.6875,56.6875,36.638149,516300
2000-06-01,56.9375,57.25,56.375,56.5625,36.557365000000004,666900
2000-06-02,57.0,61.125,56.875,59.75,38.617489,378800
2000-06-05,59.75,60.4375,57.25,58.375,37.728813,330500
2000-06-06,57.875,57.9375,54.5625,55.296799,35.739304,926500
2000-06-07,55.8125,56.25,53.4375,53.9375,34.860764,724900
2000-06-08,54.0625,55.125,54.0625,54.1875,35.022331,186000
2000-06-09,54.875,55.375,53.6875,54.375,35.143536,330500
2000-06-12,54.375,56.5,54.375,55.25,35.709061,378100
2000-06-13,55.0,55.3125,53.3125,53.4375,34.537613,900100
2000-06-14,53.5625,56.0,53.375,53.8125,34.779968,450100
2000-06-15,53.8125,54.25,52.5,53.375,34.497223,408500
2000-06-16,53.25,53.3125,50.6875,51.5,33.28537,479100
2000-06-19,51.25,51.625,50.0,50.625,32.719845,748800
2000-06-20,51.0,51.0,49.1875,49.5625,32.033119,576300
2000-06-21,49.75,49.9375,48.5,48.625,31.427205999999998,437900
2000-06-22,48.75,51.625,48.6875,50.5625,32.679446999999996,601000
2000-06-23,50.5625,51.875,50.0,51.4375,33.244965,361500
2000-06-26,51.4375,52.25,49.5,49.5,31.992727000000002,370100
2000-06-27,50.375,52.375,50.375,51.875,33.527744,265600
2000-06-28,52.5,53.0625,50.875,51.359299,33.194431,305800
2000-06-29,51.375,52.8125,50.875,50.875,32.881409000000005,421700
2000-06-30,49.25,51.375,46.609299,46.625,30.134571,1455400
2000-07-03,47.25,50.9375,47.25,50.5,32.639057,417100
2000-07-05,50.625,51.5625,49.875,49.9375,32.275501,396900
2000-07-06,49.6875,51.625,49.6875,51.0,32.962208000000004,431600
2000-07-07,51.0,51.8125,50.0,50.5,32.639057,247800
2000-07-10,50.6875,52.9375,50.6875,52.5625,33.972088,278800
2000-07-11,52.0,53.75,52.0,53.6875,34.699192,337000
2000-07-12,53.25,53.375,52.0,53.3125,34.456825,543200
2000-07-13,53.25,54.0625,52.75,54.0625,34.94157,480700
2000-07-14,53.875,53.9375,52.75,53.25,34.416428,196400
2000-07-17,52.625,54.0625,52.0625,54.0625,34.94157,354300
2000-07-18,49.5,50.9375,49.0625,49.375,31.911960999999998,1390100
2000-07-19,49.375,49.625,47.5,48.125,31.104034000000002,659300
2000-07-20,47.875,48.75,47.3125,48.0,31.023273,729300
2000-07-21,47.625,48.125,47.25,47.6875,30.821289,527900
2000-07-24,47.4375,48.75,46.6875,46.9375,30.336541999999998,548000
2000-07-25,44.875,44.9375,41.0,43.125,27.872463,2039500
2000-07-26,43.25,43.8125,41.0,41.4375,26.781805,1374700
2000-07-27,41.5,42.0625,40.0625,40.5,26.175879000000002,1368800
2000-07-28,40.75,41.3125,40.5625,40.875,26.418243,990400
2000-07-31,40.75,43.875,40.75,43.1875,27.912851,613300
2000-08-01,42.25,43.0625,42.1875,42.3125,27.347332,468200
2000-08-02,42.0,42.8125,41.1875,41.1875,26.620213,480300
2000-08-03,41.1875,41.5,40.375,40.75,26.337456,533700
2000-08-04,41.0,41.25,39.9375,40.0625,25.893114,898000
2000-08-07,40.375,42.75,40.25,42.25,27.306936,623400
2000-08-08,41.25,43.875,41.25,42.625,27.549295,782300
2000-08-09,42.75,43.4375,42.375,42.5,27.468502,412400
2000-08-10,42.6875,43.6875,42.1875,42.375,27.387726,379100
2000-08-11,42.375,43.4375,42.375,43.1875,27.912851,310800
2000-08-14,45.9375,46.75,44.8125,45.5625,29.447848999999998,1001300
2000-08-15,45.5,45.875,44.625,45.0,29.084301,454000
2000-08-16,45.0,45.4375,44.0,44.0,28.437994,365100
2000-08-17,44.5,44.875,43.875,44.3125,28.639971000000003,282800
2000-08-18,44.8125,44.9375,43.625,43.625,28.195615999999998,355900
2000-08-21,43.875,44.125,43.3125,43.4375,28.074423,322600
2000-08-22,43.875,45.0625,43.5,44.5,28.761131,337400
2000-08-23,44.75,44.875,43.6875,43.75,28.276397999999997,281700
2000-08-24,44.5,45.625,43.875,43.9375,28.397586999999998,953900
2000-08-25,43.8125,43.875,42.625,42.8125,27.670485,574700
2000-08-28,38.625,39.375,37.125,38.125,24.838129000000002,2865800
2000-08-29,38.25,38.5625,37.125,37.875,24.675248999999997,1419800
2000-08-30,33.0,38.375,32.0,38.0,24.756683,2669900
2000-08-31,38.5625,38.75,37.0625,38.015598,24.766848,1065600
2000-09-01,38.0,38.375,37.3125,37.6875,24.553102,774000
2000-09-05,37.5,39.0,37.3125,38.4375,25.041716,1252100
2000-09-06,38.5625,41.125,38.5625,40.5,26.385417999999998,1268200
2000-09-07,41.0,41.4375,39.125,39.875,25.978237,743800
2000-09-08,39.8125,40.25,39.5,39.8125,25.937504,602600
2000-09-11,39.875,41.25,39.75,40.875,26.629728000000004,558000
2000-09-12,40.625,40.8125,39.5625,39.9375,26.018957,551200
2000-09-13,39.5625,40.1875,39.5625,40.125,26.141102,413300
2000-09-14,39.875,40.5625,39.3125,39.5625,25.774647,478300
2000-09-15,38.5,39.8125,38.5,38.8125,25.286022,980000
2000-09-18,38.875,39.0625,37.75,37.75,24.593817,369900
2000-09-19,37.5,39.25,37.5,38.875,25.32674,993200
2000-09-20,38.625,39.25,38.0,38.9375,25.367464000000002,925500
2000-09-21,38.8125,39.9375,38.8125,39.5,25.733931,877900
2000-09-22,39.5,39.875,39.3125,39.75,25.896791,585300
2000-09-25,39.5,40.875,39.4375,40.5,26.385417999999998,693600
2000-09-26,40.25,40.3125,39.0,39.0,25.408175,973400
2000-09-27,39.0,39.5625,39.0,39.25,25.571054,399100
2000-09-28,39.3125,39.875,38.625,39.25,25.571054,586400
2000-09-29,39.625,39.75,38.5625,38.875,25.32674,416200
2000-10-02,38.625,39.25,38.25,38.5,25.082426,406200
2000-10-03,38.5,38.8125,38.125,38.1875,24.878839000000003,410900
2000-10-04,38.375,39.0,37.8125,38.0625,24.797411,786600
2000-10-05,38.125,38.375,37.75,37.875,24.675248999999997,248900
2000-10-06,38.125,38.25,37.625,37.8125,24.634532999999998,362300
2000-10-09,37.875,38.25,37.625,37.8125,24.634532999999998,181100
2000-10-10,37.875,38.0,37.125,37.4375,24.390221,258200
2000-10-11,37.4375,37.75,36.5,36.6875,23.901604000000003,408300
2000-10-12,36.6875,36.75,35.1875,35.5,23.127962,348200
2000-10-13,35.0625,36.3125,35.0,35.9375,23.412987,264900
2000-10-16,36.0625,36.25,35.625,36.0625,23.494421,234700
2000-10-17,35.6875,36.0625,34.5625,34.8125,22.68005,466800
2000-10-18,34.8125,38.75,34.6875,38.5625,25.123146,839400
2000-10-19,38.4375,40.4375,38.4375,39.625,25.815365,651300
2000-10-20,39.0,40.5625,38.75,40.4375,26.344697999999998,509200
2000-10-23,40.375,40.625,39.875,40.0,26.059669,192600
2000-10-24,39.75,40.75,39.5625,40.3125,26.263265999999998,313700
2000-10-25,40.0625,40.125,39.1875,39.5625,25.774647,387800
2000-10-26,39.625,40.8125,39.5625,40.1875,26.181818,238900
2000-10-27,40.25,40.3125,39.375,40.1875,26.181818,194500
2000-10-30,40.3125,42.75,40.0,42.25,27.525524,359000
2000-10-31,42.5,43.9375,42.375,43.5,28.339886,406600
2000-11-01,43.3125,43.8125,43.0,43.125,28.095587,323700
2000-11-02,42.8125,43.125,42.125,42.8125,27.891987,336300
2000-11-03,42.9375,43.375,42.5625,43.1875,28.136298999999998,197600
