Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.625,19.625,18.9375,19.0,8.177794,2738600
2000-01-04,19.0625,19.5,19.0,19.4375,8.366098,425200
2000-01-05,19.4375,20.1875,19.4375,20.1875,8.688907,500200
2000-01-06,20.125,20.125,19.8125,20.0,8.608203,344100
2000-01-07,20.0,20.0,19.875,20.0,8.608203,469500
2000-01-10,20.0625,20.0625,19.875,20.0,8.608203,522000
2000-01-11,19.9375,20.0625,19.9375,20.0,8.608203,557400
2000-01-12,20.0,20.5625,20.0,20.4375,8.796508,410500
2000-01-13,20.375,20.5,20.25,20.375,8.769608,308000
2000-01-14,20.375,20.4375,20.125,20.4375,8.796508,659100
2000-01-18,20.3125,20.3125,19.6875,19.8125,8.527503,843200
2000-01-19,19.75,19.875,19.6875,19.8125,8.527503,578200
2000-01-20,19.8125,19.875,19.5625,19.625,8.446799,566200
2000-01-21,19.625,19.9375,19.625,19.75,8.5006,1021700
2000-01-24,19.75,19.8125,19.625,19.6875,8.473702000000001,649100
2000-01-25,19.6875,19.6875,19.3125,19.5,8.393001,344900
2000-01-26,19.625,19.625,19.0,19.125,8.231601,1137000
2000-01-27,19.25,19.5,19.1875,19.3125,8.312297000000001,493400
2000-01-28,19.3125,19.5,19.25,19.25,8.285397,289700
2000-01-31,19.25,19.375,19.125,19.25,8.285397,526700
2000-02-01,19.375,19.375,19.125,19.25,8.285397,446600
2000-02-02,19.375,19.4375,19.0625,19.0625,8.204697999999999,313200
2000-02-03,19.1875,19.6875,19.1875,19.625,8.446799,483400
2000-02-04,19.625,19.625,19.125,19.3125,8.312297000000001,336400
2000-02-07,19.3125,19.3125,19.0,19.0625,8.204697999999999,348300
2000-02-08,19.0625,19.1875,19.0,19.0625,8.204697999999999,364900
2000-02-09,19.125,19.5,19.0625,19.1875,8.2585,595500
2000-02-10,19.1875,19.3125,18.5625,18.8125,8.097095,503600
2000-02-11,18.9375,18.9375,18.5,18.875,8.123991,554500
2000-02-14,18.8125,18.9375,18.625,18.75,8.070192,374500
2000-02-15,18.5,18.6875,18.375,18.4375,7.935689999999999,627400
2000-02-16,18.5625,18.75,18.5,18.5,7.962588,284800
2000-02-17,18.6875,18.6875,18.3125,18.5625,7.989488000000001,202600
2000-02-18,18.4375,18.5,18.125,18.1875,7.828086999999999,469100
2000-02-22,18.3125,18.5625,18.25,18.3125,7.881889999999999,477300
2000-02-23,18.25,18.3125,18.0,18.0625,7.774285000000001,306300
2000-02-24,18.0625,18.125,17.6875,17.8125,7.666682000000001,367700
