Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.9583330000000005,8.0,7.7708330000000005,7.8333330000000005,6.742762,582200
2000-01-04,7.8333330000000005,7.9166669999999995,7.7916669999999995,7.8333330000000005,6.742762,317600
2000-01-05,7.8333330000000005,8.041667,7.8333330000000005,7.968733,6.859311,1188000
2000-01-06,7.875,8.020833,7.8333330000000005,7.9791669999999995,6.868289,534200
2000-01-07,7.9583330000000005,8.020833,7.7083330000000005,7.9583330000000005,6.850359,1401000
2000-01-10,7.9583330000000005,8.166667,7.8541669999999995,8.145833,7.011757000000001,613200
2000-01-11,8.083333,8.1875,8.083333,8.145833,7.011757000000001,581600
2000-01-12,8.156234,8.166667,7.9166669999999995,7.968733,6.859311,1068600
2000-01-13,7.9583330000000005,8.3125,7.9166669999999995,8.3125,7.155221000000001,847800
2000-01-14,8.333333,8.369766,8.083333,8.208333,7.065554,1164000
2000-01-18,8.083333,8.145833,8.020833,8.041667,6.922091,540000
2000-01-19,8.0,8.083333,7.9791669999999995,8.0,6.886226,622200
2000-01-20,8.0,8.125,7.7708330000000005,7.7708330000000005,6.688964,1163400
2000-01-21,7.8333330000000005,8.020833,7.7916669999999995,7.963533,6.8548350000000005,1942800
2000-01-24,7.9791669999999995,8.166667,7.9583330000000005,8.125,6.993824000000001,1599800
2000-01-25,8.208333,8.208333,7.9583330000000005,8.041667,6.922091,1480200
2000-01-26,8.0,8.125,7.9583330000000005,8.125,6.993824000000001,594600
2000-01-27,8.125,8.3125,8.0625,8.145833,7.011757000000001,715200
2000-01-28,8.145833,8.333333,8.145833,8.270833,7.1193550000000005,907800
2000-01-31,8.3125,8.333333,8.145833,8.25,7.10142,1355400
2000-02-01,8.25,8.375,8.125,8.333333,7.17315,2767200
2000-02-02,8.375,8.604167,8.333333,8.604167,7.406279,1298600
2000-02-03,8.5625,8.666667,8.5156,8.645833,7.442142,2058800
2000-02-04,8.666667,8.791667,8.583333,8.770833,7.5497440000000005,1044000
2000-02-07,8.833333,8.875,8.770833,8.833333,7.603541000000001,1508400
2000-02-08,8.8125,8.854167,8.666667,8.8125,7.585605,421800
2000-02-09,8.854167,8.875,8.625,8.708333,7.495943,1130000
2000-02-10,8.666667,8.708333,8.520833,8.541667,7.35248,1025600
2000-02-11,8.5,8.541667,8.333333,8.458333,7.280746000000001,1032200
2000-02-14,8.416667,8.479167,8.333333,8.354167,7.191084,753600
2000-02-15,8.395833,8.416667,8.208333,8.291667,7.137287,1576200
2000-02-16,8.333333,8.7656,8.25,8.458333,7.280746000000001,1548600
2000-02-17,8.604167,8.708333,8.1875,8.3229,7.1641710000000005,953000
2000-02-18,8.3125,8.333333,8.270833,8.333333,7.17315,1114200
2000-02-22,8.354167,8.458333,8.25,8.416667,7.244885000000001,656000
2000-02-23,8.416667,8.625,8.375,8.5625,7.3704149999999995,765200
2000-02-24,8.583333,8.604167,8.354167,8.395833,7.226952000000001,1198400
2000-02-25,8.338533,8.541667,8.333333,8.5,7.316617,879800
2000-02-28,8.5,8.541667,8.083333,8.3854,7.217969999999999,849600
2000-02-29,8.416667,8.625,7.8333330000000005,8.541667,7.35248,971600
2000-03-01,8.5625,8.625,8.375,8.604167,7.406279,814400
2000-03-02,8.541667,8.583333,8.4531,8.541667,7.35248,1179200
2000-03-03,8.458333,8.666667,8.458333,8.625,7.424214,491000
2000-03-06,8.458333,8.625,8.416667,8.416667,7.244885000000001,1859400
2000-03-07,8.5,8.5,8.25,8.416667,7.244885000000001,2130800
2000-03-08,8.375,8.458333,8.270833,8.291667,7.137287,1425600
2000-03-09,8.333333,8.583333,8.25,8.520833,7.3345460000000005,777800
2000-03-10,8.5,8.625,8.333333,8.4375,7.262817,799200
2000-03-13,8.343734,8.343734,8.0,8.3229,7.1641710000000005,847400
2000-03-14,8.208333,8.583333,8.208333,8.364567,7.200036999999999,1437800
2000-03-15,8.416667,9.083333,8.416667,8.708333,7.495943,675800
2000-03-16,8.666667,9.0,8.645833,9.0,7.747005000000001,822600
2000-03-17,8.666667,9.0,8.625,8.895833,7.657341000000001,621800
2000-03-20,8.791667,9.333333,8.791667,9.1875,7.908397999999999,842600
2000-03-21,9.125,9.458333,9.0,9.3125,8.016,582800
2000-03-22,9.3125,9.3125,8.875,9.1875,7.908397999999999,443400
2000-03-23,9.270833,9.270833,8.833333,9.083333,7.818739,859800
2000-03-24,9.0,9.125,8.895833,8.916667,7.675274000000001,311000
2000-03-27,9.031234,9.208333,8.958333,9.083333,7.818739,462000
2000-03-28,8.958333,9.5,8.958333,9.458333,8.141525999999999,1204800
2000-03-29,9.333333,9.541667,9.0,9.166667,7.942997,653000
2000-03-30,9.145833,9.333333,9.0,9.020833,7.816628,1941600
2000-03-31,9.0,9.625,9.0,9.458333,8.195729,2643600
2000-04-03,9.369766,9.375,9.083333,9.125,7.906891000000001,452600
2000-04-04,9.052067,9.5,9.041667,9.145833,7.924942999999999,837800
2000-04-05,9.166667,9.604167,9.125,9.166667,7.942997,749600
2000-04-06,9.291667,9.375,9.125,9.2031,7.974564,825200
2000-04-07,9.083333,9.333333,9.041667,9.270833,8.033259,425000
2000-04-10,9.208333,9.333333,9.125,9.125,7.906891000000001,489600
2000-04-11,9.041667,9.375,9.0,9.145833,7.924942999999999,581400
2000-04-12,9.041667,9.583333,9.041667,9.458333,8.195729,586400
2000-04-13,9.416667,9.645833,9.0,9.416667,8.159622,605600
2000-04-14,9.333333,9.583333,8.375,9.0,7.798578,1141400
2000-04-17,9.0,9.166667,8.833333,9.166667,7.942997,504600
2000-04-18,9.125,9.458333,9.083333,9.416667,8.159622,638000
2000-04-19,9.395833,9.583333,8.958333,9.020833,7.816628,1112000
2000-04-20,9.0,9.583333,8.958333,9.5729,8.295001,462200
2000-04-24,9.604167,9.645833,9.25,9.333333,8.087411999999999,278000
2000-04-25,9.291667,10.0,9.291667,9.729167,8.430406,795800
2000-04-26,9.625,9.875,9.416667,9.666667,8.376254,933200
2000-04-27,9.5,10.0,9.5,9.854167,8.538723,889800
2000-04-28,9.8125,9.854167,9.666667,9.6875,8.394302,333800
2000-05-01,9.708333,9.723933,9.4375,9.666667,8.376254,1041600
2000-05-02,9.541667,9.770833,9.416667,9.604167,8.322095,655200
2000-05-03,9.708333,9.75,9.395833,9.416667,8.159622,492800
2000-05-04,9.708333,10.125,9.666667,9.838533,8.525174,1190600
2000-05-05,9.875,10.041667,9.791667,9.979167,8.647032000000001,594600
2000-05-08,9.979167,10.25,9.875,10.166667,8.809503999999999,822800
2000-05-09,10.208333,10.291667,9.979167,10.145833,8.791454,750800
2000-05-10,10.125,10.145833,9.666667,10.020833,8.683137,345200
2000-05-11,10.125,10.333333,10.125,10.166667,8.809503999999999,683000
2000-05-12,10.166667,10.291667,9.9479,9.958333,8.628979,516200
2000-05-15,9.979167,10.875,9.875,10.875,9.423282,1012200
2000-05-16,10.666667,10.75,10.458333,10.583333,9.170551,911000
2000-05-17,10.583333,10.75,10.458333,10.604167,9.188606,774000
2000-05-18,10.458333,10.583333,10.333333,10.375,8.990026,726200
2000-05-19,10.291667,10.473933,10.291667,10.416667,9.026125,839400
2000-05-22,10.375,10.479167,9.895833,10.0,8.665088,754200
2000-05-23,10.125,10.333333,10.0,10.166667,8.809503999999999,519200
2000-05-24,10.166667,10.25,10.041667,10.25,8.881713000000001,381600
2000-05-25,10.166667,10.541667,10.166667,10.354167,8.971973,651800
2000-05-26,10.333333,10.520833,10.1875,10.4375,9.044184,217800
2000-05-30,10.375,10.458333,10.375,10.4375,9.044184,1296200
2000-05-31,10.395833,10.5,10.166667,10.229167,8.863665,594000
2000-06-01,10.375,10.375,10.208333,10.270833,8.899764999999999,753800
2000-06-02,10.333333,10.395833,10.213533,10.291667,8.917817999999999,956000
2000-06-05,10.375,10.375,10.083333,10.3125,8.935875,567600
2000-06-06,10.333333,10.458333,10.166667,10.395833,9.008080999999999,493200
2000-06-07,10.375,10.458333,10.208333,10.208333,8.845604,629400
2000-06-08,10.166667,10.354167,10.166667,10.354167,8.971973,522000
2000-06-09,10.354167,10.4375,10.333333,10.354167,8.971973,311400
2000-06-12,10.354167,10.416667,10.125,10.291667,8.917817999999999,639000
2000-06-13,10.208333,10.333333,10.125,10.3125,8.935875,290000
2000-06-14,10.166667,10.333333,10.020833,10.333333,8.953921000000001,504600
2000-06-15,10.25,10.458333,10.25,10.4375,9.044184,681200
2000-06-16,9.833333,10.375,9.833333,10.348933,8.967439,850200
2000-06-19,10.291667,10.75,10.291667,10.583333,9.170551,615800
2000-06-20,10.625,10.770833,10.458333,10.5625,9.152494,234800
2000-06-21,10.25,10.729167,10.25,10.541667,9.134446,306200
2000-06-22,10.541667,10.734366,10.375,10.5625,9.207133,1234200
2000-06-23,10.416667,10.666667,10.291667,10.458333,9.116332,799400
2000-06-26,10.458333,10.520833,10.291667,10.333333,9.007373,1331400
2000-06-27,10.270833,10.291667,9.583333,9.9375,8.662333,3701000
2000-06-28,9.958333,10.458333,9.958333,10.458333,9.116332,735600
2000-06-29,10.333333,10.791667,10.0625,10.604167,9.243452,513000
2000-06-30,10.583333,10.583333,10.229167,10.270833,8.952889,2000600
2000-07-03,10.166667,10.291667,9.833333,10.083333,8.789447000000001,323600
2000-07-05,10.020833,10.020833,9.916667,9.9375,8.662333,494400
2000-07-06,10.0625,10.375,9.916667,10.375,9.043688000000001,617000
2000-07-07,10.1875,10.916667,10.166667,10.5,9.152648,496200
2000-07-10,10.5,11.1354,10.416667,11.0625,9.64297,975600
2000-07-11,11.0625,11.291667,10.958333,11.020833,9.606648,1384200
2000-07-12,11.291667,11.333333,11.020833,11.0625,9.64297,1256400
2000-07-13,11.125,11.166667,10.791667,10.833333,9.44321,644000
2000-07-14,10.916667,10.916667,10.5625,10.6406,9.275205,1801400
2000-07-17,10.666667,11.458333,10.625,10.895833,9.497686,580800
2000-07-18,10.958333,11.020833,10.666667,10.8125,9.42505,314000
2000-07-19,10.875,10.875,10.625,10.645833,9.279771,411800
2000-07-20,10.666667,10.791667,10.645833,10.708333,9.334249,465800
2000-07-21,10.6875,11.041667,10.645833,11.0,9.588492,1212000
2000-07-24,11.041667,11.125,10.875,11.0,9.588492,821400
2000-07-25,10.875,11.0625,10.875,11.020833,9.606648,1798800
2000-07-26,10.958333,11.145833,10.958333,11.0625,9.64297,704600
2000-07-27,11.145833,11.395833,11.145833,11.333333,9.879050999999999,1314600
2000-07-28,11.364567,11.375,11.145833,11.333333,9.879050999999999,438000
2000-07-31,11.333333,11.354167,11.145833,11.270833,9.824569,1314800
2000-08-01,11.229167,11.708333,11.229167,11.520833,10.042489999999999,1431000
2000-08-02,11.5,12.0,11.5,11.8125,10.296731,1919000
2000-08-03,11.75,11.833333,11.479167,11.75,10.242249000000001,807200
2000-08-04,11.791667,12.416667,11.791667,12.270833,10.696249,2744400
2000-08-07,12.458333,12.458333,12.0,12.208333,10.641774,1489800
2000-08-08,12.208333,12.291667,12.083333,12.244766,10.673528,1468200
2000-08-09,12.166667,12.291667,12.0,12.0,10.460167,490800
2000-08-10,12.0625,12.104167,11.875,11.916667,10.38753,821400
